ASPECT RATIOS FOR SHAPE PARAMETERS
1.9546666666660042 #1, triangle 1
2.135416666666059 #2, triangle 1
1.4354166666662391 #3, triangle 1
8.321764734871635 #4, triangle 2
6.760743150009483 #5, triangle 2
6.187081115710204 #6, triangle 2
2.5090579710152157 #7, triangle 3
2.9438405797076665 #8, triangle 3
2.2297101449306935 #9, triangle 3
8.931652624189788 #10, triangle 4
10.60983851149635 #11, triangle 4
7.69020975952406 #12, triangle 4
5.959531512101915 #13, triangle 5
7.8574466810444346 #14, triangle 5
6.097831296429652 #15, triangle 5
5.570157711204789 #16, triangle 6
6.791983674116313 #17, triangle 6
4.7006260897142536 #18, triangle 6
1.400638356924763 #19, triangle 7
1.2315605051345744 #20, triangle 7
1.2567478490146864 #21, triangle 7
2.438511830634871 #22, triangle 8
3.2000311332499733 #23, triangle 8
3.4561021170606456 #24, triangle 8
1.6737572430618757 #25, triangle 9
1.5059850564199717 #26, triangle 9
1.2969274168953329 #27, triangle 9
13.33795940376285 #28, triangle 10
11.130194652657616 #29, triangle 10
8.814086958378555 #30, triangle 10
16.63309702530016 #31, triangle 11
12.419690019458793 #32, triangle 11
12.948463997773882 #33, triangle 11
6.698211986742236 #34, triangle 12
6.313833648341113 #35, triangle 12
4.5267003588352335 #36, triangle 12
3.578740910830353 #37, triangle 13
2.6989332185226536 #38, triangle 13
2.985672598545631 #39, triangle 13
13.08993974406774 #40, triangle 14
15.345810038514092 #41, triangle 14
9.714007951298296 #42, triangle 14
2.3710691823901007 #43, triangle 15
3.236045597484425 #44, triangle 15
2.858687106918343 #45, triangle 15
10.228568608325402 #46, triangle 16
7.984020810107767 #47, triangle 16
7.776645531399832 #48, triangle 16
1.798502604171451 #49, triangle 17
2.3844401041730583 #50, triangle 17
2.0041666666654954 #51, triangle 17
9.739925185466916 #52, triangle 18
11.746667924056702 #53, triangle 18
13.653731296369477 #54, triangle 18
15.346869328493081 #55, triangle 19
11.996823956457398 #56, triangle 19
17.229809437374936 #57, triangle 19
7.646505376345052 #58, triangle 20
8.565860215054814 #59, triangle 20
10.400537634414464 #60, triangle 20
3.6008720418756295 #61, triangle 21
5.594554411894155 #62, triangle 21
6.210993445940036 #63, triangle 21
6.806899224806438 #64, triangle 22
4.700096899224495 #65, triangle 22
6.2193992248064225 #66, triangle 22
5.552380952380688 #67, triangle 23
8.199742965369024 #68, triangle 23
8.435132575756379 #69, triangle 23
13.066762728147797 #70, triangle 24
15.631491654658051 #71, triangle 24
11.354654478865584 #72, triangle 24
5.312298138312053 #73, triangle 25
4.115674124148308 #74, triangle 25
6.278498041740525 #75, triangle 25
4.54686233646268 #76, triangle 26
6.577124580296283 #77, triangle 26
6.005745629269265 #78, triangle 26
3.9829895258658166 #79, triangle 27
4.88371511953337 #80, triangle 27
5.575727592545765 #81, triangle 27
4.332190271580471 #82, triangle 28
2.841434611358992 #83, triangle 28
4.812389825373214 #84, triangle 28
2.593350063817204 #85, triangle 29
2.204844941184258 #86, triangle 29
1.8756640449825015 #87, triangle 29
#The minimum value is 1.2315605051345744, which is in quad 20 {(0.2456, -0.7564)(0.2788, -0.748)(0.2784, -0.7326666666666667)(0.2616, -0.7292)}, which is in triangle 7 {(0.2456, -0.7564)(0.312, -0.7396)(0.2776, -0.702)}
#The maximum value is 17.229809437374936, which is in quad 57 {(0.6216, -0.7716)(0.6888000000000001, -0.7664)(0.6704, -0.7652)(0.6276, -0.7672)}, which is in triangle 19 {(0.756, -0.7612)(0.6336, -0.7628)(0.6216, -0.7716)}
#The mean average is 6.490378684981086

