SKEWS FOR SHAPE PARAMETERS
1.570785731239341 #1, triangle 1
1.5707913545726744 #2, triangle 1
1.570788232350452 #3, triangle 1
1.570824194572678 #4, triangle 2
1.5705713623485547 #5, triangle 2
1.570374981226874 #6, triangle 2
1.570813971239342 #7, triangle 3
1.5707936156837854 #8, triangle 3
1.5708344956837947 #9, triangle 3
1.5709502212399484 #10, triangle 4
1.5707614090171118 #11, triangle 4
1.5704862612343728 #12, triangle 4
1.571176117915138 #13, triangle 5
1.570810775683786 #14, triangle 5
1.570172691198917 #15, triangle 5
1.5706070790159892 #16, triangle 6
1.5707669590171147 #17, triangle 6
1.5706614979055993 #18, triangle 6
1.5708076512393414 #19, triangle 7
1.5707344623504127 #20, triangle 7
1.5707818445726738 #21, triangle 7
1.57066869679455 #22, triangle 8
1.570844256794915 #23, triangle 8
1.570771426794894 #24, triangle 8
1.5708084823504525 #25, triangle 9
1.5708313023504592 #26, triangle 9
1.5708149245726755 #27, triangle 9
1.5696692887785222 #28, triangle 10
1.5653807825458694 #29, triangle 10
1.5666509060331784 #30, triangle 10
1.5708162512393424 #31, triangle 11
1.570439044565073 #32, triangle 11
1.5702266223196346 #33, triangle 11
1.57111415902247 #34, triangle 12
1.570303867886103 #35, triangle 12
1.5721227249616034 #36, triangle 12
1.5708192423504541 #37, triangle 13
1.5704377890094372 #38, triangle 13
1.570619131238414 #39, triangle 13
1.5682069027900547 #40, triangle 14
1.571502747964762 #41, triangle 14
1.5686821896644587 #42, triangle 14
1.5707458379059862 #43, triangle 15
1.5708028879060079 #44, triangle 15
1.5707748323504505 #45, triangle 15
1.5708163012393423 #46, triangle 16
1.5701750289771474 #47, triangle 16
1.571871152557401 #48, triangle 16
1.5708072656837857 #49, triangle 17
1.5707993879060078 #50, triangle 17
1.570814531239342 #51, triangle 17
1.5702301323202008 #52, triangle 18
1.5710644623536651 #53, triangle 18
1.570716934572591 #54, triangle 18
1.5705973967935847 #55, triangle 19
1.5703408267791454 #56, triangle 19
1.570879056794991 #57, triangle 19
1.5715448368647909 #58, triangle 20
1.571185456804717 #59, triangle 20
1.5707320667948523 #60, triangle 20
1.57576563835806 #61, triangle 21
1.5654746127869856 #62, triangle 21
1.5732113846980909 #63, triangle 21
1.5705576379037414 #64, triangle 22
1.5719668548399715 #65, triangle 22
1.5712707990349213 #66, triangle 22
1.5703637578925176 #67, triangle 23
1.5706493656832565 #68, triangle 23
1.5709162212396284 #69, triangle 23
1.5714701757347815 #70, triangle 24
1.570938572350932 #71, triangle 24
1.5721315483027503 #72, triangle 24
1.57325895039511 #73, triangle 25
1.5727096635178608 #74, triangle 25
1.5702013056486743 #75, triangle 25
1.5704939023458422 #76, triangle 26
1.5708575990171572 #77, triangle 26
1.5706736412390332 #78, triangle 26
1.5704368712316004 #79, triangle 27
1.570957741240042 #80, triangle 27
1.570742619017093 #81, triangle 27
1.5714502779526183 #82, triangle 28
1.5713944657194516 #83, triangle 28
1.5705039723462875 #84, triangle 28
1.570859854572717 #85, triangle 29
1.571093444577046 #86, triangle 29
1.5709917056850284 #87, triangle 29
#The minimum value is 1.5653807825458694, which is in quad 29 {(0.3802666666666667, -0.4932)(0.4316, -0.3888)(0.4888, -0.2076)(0.3832, -0.4548)}, which is in triangle 10 {(0.4888, -0.2076)(0.2776, -0.702)(0.3744, -0.57)}
#The maximum value is 1.57576563835806, which is in quad 61 {(0.5744, -0.57)(0.6576, -0.6548)(0.6066666666666668, -0.5057333333333333)(0.5396000000000001, -0.3888)}, which is in triangle 21 {(0.5048, -0.2076)(0.5744, -0.57)(0.7408, -0.7396)}
#The mean average is 1.5707272026265569

