TAPERS FOR SHAPE PARAMETERS
0.0008339997335463063 0.0012762793146052643 #1, triangle 1
0.0013339842161318744 0.0006667187479655803 #2, triangle 1
0.001093700395700603 0.0008913550857481603 #3, triangle 1
0.006848869533644845 0.0008614022805222305 #4, triangle 2
0.006173172244118749 0.0024538518473798546 #5, triangle 2
0.0045602829468745715 0.00590546474791717 #6, triangle 2
0.0019614337159899946 0.0009629237883770945 #7, triangle 3
0.0021245914639969076 0.0007261006970264425 #8, triangle 3
0.0015336956093767544 0.0018490237664480183 #9, triangle 3
0.005316829934797229 0.0019044720761640767 #10, triangle 4
0.005794837261639815 0.0006634296412499651 #11, triangle 4
0.004933509287402398 0.003980098058536128 #12, triangle 4
0.007434024631531538 0.0034280298844798114 #13, triangle 5
0.008536083541192892 0.001091507622002186 #14, triangle 5
0.0075197887086155745 0.005327966049274558 #15, triangle 5
0.002791965158171735 0.004418529481374888 #16, triangle 6
0.00487912930529392 0.000810906557159495 #17, triangle 6
0.004059026292652572 0.0022484871457146218 #18, triangle 6
0.003348797462439961 0.002400231470319276 #19, triangle 7
0.003140174269756966 0.002831494501338655 #20, triangle 7
0.00254014982060337 0.0031721224930811153 #21, triangle 7
0.0031289974432715047 0.0028540541340348665 #22, triangle 8
0.0035844281273306523 0.0013975424859373308 #23, triangle 8
0.003725083891672755 0.0011559628021698405 #24, triangle 8
0.002469424134399596 0.0015071127658171347 #25, triangle 9
0.0018138740002791765 0.0023423931257489333 #26, triangle 9
0.0021737384591732378 0.0017593006817736368 #27, triangle 9
0.0033242584803899757 0.02634338679399025 #28, triangle 10
0.02406458035740054 0.014230273871027127 #29, triangle 10
0.01234005447493847 0.02141487670859809 #30, triangle 10
0.0005134307266917438 0.008153339465792156 #31, triangle 11
0.007045378706010862 0.0032198386778081196 #32, triangle 11
0.004980698857701866 0.007193795552033147 #33, triangle 11
0.011655509546037774 0.002435686647425088 #34, triangle 12
0.011316141985873275 0.0032573101547816595 #35, triangle 12
0.00958170275983246 0.008907058686482484 #36, triangle 12
0.0018150604520082612 0.006446790760611912 #37, triangle 13
0.005598536515118264 0.004508171592908915 #38, triangle 13
0.0027252420891446137 0.005888430275643243 #39, triangle 13
0.009549916375433622 0.017107578323979807 #40, triangle 14
0.002671778953763936 0.0185231405574518 #41, triangle 14
0.01473733448686619 0.00909335074533984 #42, triangle 14
0.0017669811040933923 0.002046677524401189 #43, triangle 15
0.002391027789233862 0.0007585164614047915 #44, triangle 15
0.0022472977600271216 0.0009875966900625714 #45, triangle 15
0.011060455711929523 0.0010872046214438565 #46, triangle 16
0.009771841632409291 0.0041579909678700466 #47, triangle 16
0.009644100816330844 0.007075098154011541 #48, triangle 16
0.0013850641782162981 0.0009147328085901469 #49, triangle 17
0.0015948049340838212 0.0006795116710631826 #50, triangle 17
0.0010666666666666602 0.0014621141466308308 #51, triangle 17
0.006560048483898755 0.0054362275011660185 #52, triangle 18
0.007204213658994646 0.0024056934782116677 #53, triangle 18
0.00776702878268839 0.0008554157533687404 #54, triangle 18
0.006502355342489429 0.00195847517216851 #55, triangle 19
0.004975062813673209 0.005749021655899356 #56, triangle 19
0.00688971153242256 0.0008503675675847044 #57, triangle 19
0.006102509729612024 0.007774678449941851 #58, triangle 20
0.008228798514971821 0.0031077524032649137 #59, triangle 20
0.009067317684960587 0.0009778803607804003 #60, triangle 20
0.015721751563430128 0.021325809220024534 #61, triangle 21
0.013384277675275572 0.02658180246375659 #62, triangle 21
0.007026981729179401 0.028008007287599345 #63, triangle 21
0.011043411811774576 0.002111147660502326 #64, triangle 22
0.008207825703422827 0.009176604461588876 #65, triangle 22
0.010556083685618627 0.003282159265551585 #66, triangle 22
0.005338747252138661 0.005154501808020767 #67, triangle 23
0.0016218345236868473 0.006487835840161796 #68, triangle 23
0.0013803431537926412 0.006580299934062434 #69, triangle 23
0.010995958853647573 0.003921450978627121 #70, triangle 24
0.0010669595951946838 0.01202677857024818 #71, triangle 24
0.008191259738960491 0.010250287936335391 #72, triangle 24
0.009791624113382701 0.016584457667078348 #73, triangle 25
0.014597569242095597 0.008926871107940122 #74, triangle 25
