ASPECT RATIOS FOR JACOBIAN
1.8537254940761947 #1, triangle 1
1.51437565621792 #2, triangle 1
2.0918072495093245 #3, triangle 1
1.2084000986115908 #4, triangle 2
1.1599325547833113 #5, triangle 2
1.040952103382394 #6, triangle 2
1.4723309522332229 #7, triangle 3
1.4369944900444147 #8, triangle 3
1.2272283651943807 #9, triangle 3
1.6638184871926838 #10, triangle 4
1.3520839582409607 #11, triangle 4
1.4788986226397198 #12, triangle 4
1.4139306523669775 #13, triangle 5
1.1525249752741904 #14, triangle 5
1.134439604978821 #15, triangle 5
1.0036075547743848 #16, triangle 6
1.115500764079481 #17, triangle 6
1.0422530210050476 #18, triangle 6
1.0704997984243585 #19, triangle 7
1.70310589884059 #20, triangle 7
1.2523835154969754 #21, triangle 7
1.0747249101149936 #22, triangle 8
1.0019736943985311 #23, triangle 8
1.3233653252851902 #24, triangle 8
1.965126386818629 #25, triangle 9
1.433559434860005 #26, triangle 9
1.1155426546350162 #27, triangle 9
1.1762890009609308 #28, triangle 10
1.1422475117270334 #29, triangle 10
1.419581759093891 #30, triangle 10
1.2248018661645865 #31, triangle 11
1.0928310570778073 #32, triangle 11
1.1748706699920852 #33, triangle 11
1.0784399838717402 #34, triangle 12
1.2924239960731936 #35, triangle 12
1.18298206863763 #36, triangle 12
1.2010175162459535 #37, triangle 13
1.0487547425261239 #38, triangle 13
1.201350101345484 #39, triangle 13
1.2447877819572037 #40, triangle 14
1.1038398031497947 #41, triangle 14
1.1976756227323093 #42, triangle 14
1.0102035414588424 #43, triangle 15
1.1156791857331358 #44, triangle 15
1.0550330037309725 #45, triangle 15
1.1284835548415413 #46, triangle 16
1.2491288433002266 #47, triangle 16
1.1018335711864793 #48, triangle 16
1.0756130539692432 #49, triangle 17
1.063501860101421 #50, triangle 17
1.0930782910359258 #51, triangle 17
1.1023166727072635 #52, triangle 18
1.1263340784620974 #53, triangle 18
1.256483349947436 #54, triangle 18
1.0210376567337613 #55, triangle 19
1.0318815147680132 #56, triangle 19
1.2433830200021625 #57, triangle 19
1.0393696741262817 #58, triangle 20
1.2276154068341434 #59, triangle 20
1.055563395978836 #60, triangle 20
1.0898647378558926 #61, triangle 21
1.037352577031917 #62, triangle 21
1.0347493916815873 #63, triangle 21
1.0368712149098331 #64, triangle 22
1.1040877855944324 #65, triangle 22
1.022631736299557 #66, triangle 22
1.272052587720237 #67, triangle 23
1.061079594807575 #68, triangle 23
1.067267465753788 #69, triangle 23
1.2748600265553083 #70, triangle 24
1.211477889656186 #71, triangle 24
1.5360924418392845 #72, triangle 24
1.4363618454890918 #73, triangle 25
1.4030290795896294 #74, triangle 25
1.6869141192393007 #75, triangle 25
1.228872239067533 #76, triangle 26
1.455947449692261 #77, triangle 26
1.2476436881410269 #78, triangle 26
1.5032091237257397 #79, triangle 27
1.510187110461286 #80, triangle 27
1.7482855854024846 #81, triangle 27
1.4813536902230355 #82, triangle 28
1.4737965687128338 #83, triangle 28
1.7509052026604681 #84, triangle 28
1.4265747452905804 #85, triangle 29
1.6490092181133567 #86, triangle 29
1.4334025872176623 #87, triangle 29
1.5100850558575203 #88, triangle 30
1.5102981184963213 #89, triangle 30
1.800393315059044 #90, triangle 30
1.2469134496939904 #91, triangle 31
1.4894288336872121 #92, triangle 31
1.252514056260926 #93, triangle 31
1.5285742075108157 #94, triangle 32
1.5304510589324791 #95, triangle 32
1.8278800382664293 #96, triangle 32
1.5236034053847267 #97, triangle 33
1.5243001914903767 #98, triangle 33
1.8255489351723582 #99, triangle 33
1.5296732295502435 #100, triangle 34
1.8055967027176056 #101, triangle 34
1.5247685597776872 #102, triangle 34
1.2482958290015742 #103, triangle 35
1.495567671267119 #104, triangle 35
1.2493635544415902 #105, triangle 35
1.4833565063553869 #106, triangle 36
1.2074259601521788 #107, triangle 36
1.1634501467685283 #108, triangle 36
1.2258997241627527 #109, triangle 37
1.459949170725549 #110, triangle 37
1.236182543589491 #111, triangle 37
1.056723683768918 #112, triangle 38
1.2706857861174197 #113, triangle 38
1.0523576221026414 #114, triangle 38
1.084706983938777 #115, triangle 39
1.3041093013570855 #116, triangle 39
1.0899757651353967 #117, triangle 39
1.1118910195457412 #118, triangle 40
1.3323731020575966 #119, triangle 40
1.1138260305863188 #120, triangle 40
1.1533468638985898 #121, triangle 41
1.4026534699574684 #122, triangle 41
1.1646463965516631 #123, triangle 41
1.085309619659676 #124, triangle 42
1.077610636593004 #125, triangle 42
1.2743649434986324 #126, triangle 42
1.4909283613631896 #127, triangle 43
