SKEWS FOR JACOBIAN
-0.016832950378776426 #1, triangle 1
0.44511263349517405 #2, triangle 1
-0.22480863311447666 #3, triangle 1
-0.40028505624578226 #4, triangle 2
0.3890601743204723 #5, triangle 2
-1.0360870242287394 #6, triangle 2
-0.5903421576040303 #7, triangle 3
0.38422592470756506 #8, triangle 3
1.055722466934037 #9, triangle 3
0.45275004974480965 #10, triangle 4
-0.28907282478145546 #11, triangle 4
0.01993930332145813 #12, triangle 4
-0.25196073921850004 #13, triangle 5
0.269501319353937 #14, triangle 5
0.8373583611172003 #15, triangle 5
-0.9226450520402806 #16, triangle 6
-0.33044731395770105 #17, triangle 6
0.38663196251016224 #18, triangle 6
0.4336313230481124 #19, triangle 7
0.7842341637998895 #20, triangle 7
-0.26123026857144593 #21, triangle 7
-0.27739086296905696 #22, triangle 8
0.3682921451433565 #23, triangle 8
-0.6976906476977137 #24, triangle 8
-1.0011644044308157 #25, triangle 9
0.24100098684389756 #26, triangle 9
0.7564649489668352 #27, triangle 9
-0.26305126311748117 #28, triangle 10
0.3129432635541904 #29, triangle 10
-0.6673684392280653 #30, triangle 10
-0.30846493953830084 #31, triangle 11
0.4561325964624855 #32, triangle 11
-0.9747568130306729 #33, triangle 11
0.9262393111966334 #34, triangle 12
-0.4314439900982088 #35, triangle 12
0.39374532769804993 #36, triangle 12
-0.2485364469669772 #37, triangle 13
0.48873797027451826 #38, triangle 13
-0.8958944740132627 #39, triangle 13
-0.31903348334940707 #40, triangle 14
0.45551379447096885 #41, triangle 14
-1.0040598287062463 #42, triangle 14
-0.924274428305901 #43, triangle 15
-0.3380865123928405 #44, triangle 15
0.38401399570089295 #45, triangle 15
0.3517413414849761 #46, triangle 16
-0.6948226984890943 #47, triangle 16
-0.24614780794081204 #48, triangle 16
-0.4279506661747098 #49, triangle 17
0.28749085354496356 #50, triangle 17
0.7923841844778069 #51, triangle 17
-0.2515875572646249 #52, triangle 18
0.34673452740733474 #53, triangle 18
-0.7005875223974996 #54, triangle 18
-0.3320048746650611 #55, triangle 19
0.31756471487010596 #56, triangle 19
0.7940975837208957 #57, triangle 19
0.314588147768383 #58, triangle 20
0.8029997972668895 #59, triangle 20
-0.32182670597328106 #60, triangle 20
-0.3218694675564012 #61, triangle 21
0.385777275183044 #62, triangle 21
-0.8866239726569581 #63, triangle 21
0.34456438556205127 #64, triangle 22
-0.8584329513075014 #65, triangle 22
-0.31661773180705544 #66, triangle 22
0.7564263095140343 #67, triangle 23
-0.330329223983021 #68, triangle 23
0.2963370969739085 #69, triangle 23
-0.22283775137653025 #70, triangle 24
0.31656070010631887 #71, triangle 24
-0.5820519037215384 #72, triangle 24
-0.19014352880331767 #73, triangle 25
0.28149311145463485 #74, triangle 25
-0.5167713769228354 #75, triangle 25
0.2696952995915474 #76, triangle 26
0.6838880757075426 #77, triangle 26
-0.26870409833243014 #78, triangle 26
-0.19271586233816115 #79, triangle 27
0.25010179765773327 #80, triangle 27
-0.5180315201479256 #81, triangle 27
-0.20524052039781454 #82, triangle 28
0.2462743990007803 #83, triangle 28
-0.5344883678897242 #84, triangle 28
0.2859321186437495 #85, triangle 29
-0.5137476310211144 #86, triangle 29
-0.1819388859853298 #87, triangle 29
-0.21426460929031074 #88, triangle 30
0.22720338808229268 #89, triangle 30
-0.5433283666851549 #90, triangle 30
0.2658220344957273 #91, triangle 31
0.6685689156752209 #92, triangle 31
-0.2676304637215802 #93, triangle 31
-0.2154888088901814 #94, triangle 32
0.22038069585978395 #95, triangle 32
-0.5422465248398339 #96, triangle 32
-0.21760177916175183 #97, triangle 33
0.2198576535104784 #98, triangle 33
-0.5455723967038575 #99, triangle 33
0.22893370660677603 #100, triangle 34
-0.5332781982043503 #101, triangle 34
-0.2076241901073505 #102, triangle 34
0.2658652623793445 #103, triangle 35
0.6664566895846354 #104, triangle 35
-0.26796760759488353 #105, triangle 35
-0.6663827628551658 #106, triangle 36
-0.27180969164675745 #107, triangle 36
0.2909334179593903 #108, triangle 36
0.27030084522721726 #109, triangle 37
0.6819224261617521 #110, triangle 37
-0.27124343049822036 #111, triangle 37
0.3139553275916166 #112, triangle 38
0.7842019374413562 #113, triangle 38
-0.3182412075343928 #114, triangle 38
0.3165980576585576 #115, triangle 39
-0.7496381023131905 #116, triangle 39
-0.2966015691929223 #117, triangle 39
0.29963032444208654 #118, triangle 40
0.7502415540914761 #119, triangle 40
-0.2994277403611635 #120, triangle 40
0.293792774797152 #121, triangle 41
-0.7041567234572219 #122, triangle 41
-0.2814872054871894 #123, triangle 41
-0.32037031234912206 #124, triangle 42
0.29606489592640284 #125, triangle 42
0.7598067762133454 #126, triangle 42
0.6682626020782352 #127, triangle 43
-0.267610641896056 #128, triangle 43
0.26596348823867494 #129, triangle 43
0.29614472885389126 #130, triangle 44
0.7611335257001346 #131, triangle 44
-0.31407853585361867 #132, triangle 44
0.7900768703223882 #133, triangle 45
-0.31936232976594386 #134, triangle 45
0.30877111479301617 #135, triangle 45
0.26879859562216807 #136, triangle 46
0.7445467114389154 #137, triangle 46
-0.35531311473019134 #138, triangle 46
0.3126088984269391 #139, triangle 47
-0.6700288144217129 #140, triangle 47
-0.24955870674533762 #141, triangle 47
0.311644730412672 #142, triangle 48
0.784290661444446 #143, triangle 48
-0.3170091696758695 #144, triangle 48
0.7552917943860515 #145, triangle 49
-0.31301941519890714 #146, triangle 49
0.29586678543483713 #147, triangle 49
0.2658374290546204 #148, triangle 50
0.6666922911705834 #149, triangle 50
-0.2672248758434997 #150, triangle 50
0.35321587279010236 #151, triangle 51
-0.8472755375564895 #152, triangle 51
-0.33014230805809164 #153, triangle 51
-0.3402463440604533 #154, triangle 52
0.339733993533697 #155, triangle 52
0.8498348037171373 #156, triangle 52
-0.5020439075460885 #157, triangle 53
-0.1846258947273808 #158, triangle 53
0.3201631544360246 #159, triangle 53
0.31107268078970135 #160, triangle 54
0.823072491971837 #161, triangle 54
-0.35621671625547585 #162, triangle 54
-0.2798836825424423 #163, triangle 55
0.411898103025081 #164, triangle 55
-0.9011554557385231 #165, triangle 55
-0.906496397742701 #166, triangle 56
-0.23872236284860687 #167, triangle 56
0.49505054035161455 #168, triangle 56
-2.0369920355862354 #169, triangle 57
-0.7317994920035783 #170, triangle 57
-0.0659550522392597 #171, triangle 57
-0.19374011722562662 #172, triangle 58
0.4421059947847153 #173, triangle 58
-0.8360699886102798 #174, triangle 58
-0.9222733341745604 #175, triangle 59
-0.25136194872169004 #176, triangle 59
0.5728565751542412 #177, triangle 59
-0.31740783049643867 #178, triangle 60
0.32488900308720786 #179, triangle 60
-0.8608733517616992 #180, triangle 60
-0.8923034585669459 #181, triangle 61
-0.3245570597821219 #182, triangle 61
0.3431045030375989 #183, triangle 61
0.6234300094136401 #184, triangle 62
-0.6153649467229994 #185, triangle 62
-0.05171568221769149 #186, triangle 62
-0.26395664974608074 #187, triangle 63
0.33648917800666317 #188, triangle 63
-0.7674755732093486 #189, triangle 63
-0.6659950831328576 #190, triangle 64
0.4920548178768698 #191, triangle 64
1.067017361507418 #192, triangle 64
-0.2715933753217392 #193, triangle 65
0.4287281778704273 #194, triangle 65
-0.8574561736302103 #195, triangle 65
-0.7888740398097177 #196, triangle 66
-0.24367842997150913 #197, triangle 66
0.43124420134373814 #198, triangle 66
-0.5218088557014038 #199, triangle 67
-0.0266774631127326 #200, triangle 67
-1.266254369397277 #201, triangle 67
-0.8540808976152108 #202, triangle 68
-0.44749928059097405 #203, triangle 68
0.5070203980376331 #204, triangle 68
0.40576623811310175 #205, triangle 69
-0.882740848580293 #206, triangle 69
-0.4352603870833101 #207, triangle 69
0.8530474736284601 #208, triangle 70
-0.921690117985213 #209, triangle 70
-0.3482677759828424 #210, triangle 70
0.36983022875203114 #211, triangle 71
-0.9555294061901446 #212, triangle 71
-0.3705517778701737 #213, triangle 71
-0.16470694561719973 #214, triangle 72
0.25170422003978904 #215, triangle 72
-1.0712765819557482 #216, triangle 72
-0.058792315468999976 #217, triangle 73
0.13326273350757506 #218, triangle 73
0.5527432268093432 #219, triangle 73
0.872521038684882 #220, triangle 74
-0.8921899548260174 #221, triangle 74
0.34643012433027637 #222, triangle 74
0.37781810279677314 #223, triangle 75
0.7558568427161712 #224, triangle 75
-0.5370106078799168 #225, triangle 75
-0.5449371092045737 #226, triangle 76
0.3554091754467026 #227, triangle 76
0.788707191474713 #228, triangle 76
-0.6058124412406954 #229, triangle 77
0.45394509004342337 #230, triangle 77
1.1731529529538052 #231, triangle 77
-0.9710122286310382 #232, triangle 78
-0.2603004120970762 #233, triangle 78
0.4409948921655181 #234, triangle 78
0.3144726043399914 #235, triangle 79
-0.8851419149866776 #236, triangle 79
-0.31880802355448895 #237, triangle 79
0.2813054311003268 #238, triangle 80
0.7389555001048339 #239, triangle 80
-0.26742211905483887 #240, triangle 80
0.5316394399141575 #241, triangle 81
-0.5088685607857442 #242, triangle 81
0.1258011178127291 #243, triangle 81
-0.26742761054267833 #244, triangle 82
0.39543747998733186 #245, triangle 82
-0.7336016633286607 #246, triangle 82
0.11195473698912187 #247, triangle 83
0.5801770708154 #248, triangle 83
1.2825262546276832 #249, triangle 83
-0.6821482599179666 #250, triangle 84
-0.2642540005109112 #251, triangle 84
0.30747161475815366 #252, triangle 84
-0.3386734582143027 #253, triangle 85
0.32751313082482253 #254, triangle 85
0.8439647487227825 #255, triangle 85
0.8376914798503023 #256, triangle 86
-0.3533907886024874 #257, triangle 86
0.3049913597140434 #258, triangle 86
-0.2939655305594987 #259, triangle 87
0.48856222409014466 #260, triangle 87
-0.842674180504189 #261, triangle 87
-0.4690938455136856 #262, triangle 88
0.28918682064272155 #263, triangle 88
0.8977569010112448 #264, triangle 88
-0.2562329177744947 #265, triangle 89
0.25291553209897827 #266, triangle 89
0.6358429851100291 #267, triangle 89
0.66033941842855 #268, triangle 90
-0.5060888253794693 #269, triangle 90
0.13889112705857887 #270, triangle 90
0.34345931535596647 #271, triangle 91
-0.8020182279627558 #272, triangle 91
-0.3293794804162237 #273, triangle 91
0.19406262921425357 #274, triangle 92
1.0876791190324981 #275, triangle 92
