TAPERS FOR JACOBIAN
0.3102485815947543 -0.257800917314417 #1, triangle 1
-0.047802530594606506 -0.418516934110034 #2, triangle 1
0.35724611605051954 0.13243591787471456 #3, triangle 1
0.18361131346886692 -0.33281302209129665 #4, triangle 2
-0.2157436424775758 -0.3338540509782377 #5, triangle 2
0.5264191511807438 0.0011684205108612772 #6, triangle 2
-0.1797707220828888 0.35023937836608826 #7, triangle 3
0.21925546741281884 0.3168454067446842 #8, triangle 3
0.47096172991137525 -0.0349376495696411 #9, triangle 3
0.18846393371744233 0.4383234757107049 #10, triangle 4
-0.4828409201684944 -0.15228731771239895 #11, triangle 4
-0.21121269043247157 0.24262794794537698 #12, triangle 4
0.2711488922976933 -0.3390637530935182 #13, triangle 5
-0.11345762184617743 -0.32765175035619076 #14, triangle 5
-0.6614147458122623 0.012516877897123498 #15, triangle 5
-0.5361175983614741 -0.020167868991458917 #16, triangle 6
-0.17784496120031604 0.32405806535470866 #17, triangle 6
0.22099232439596425 0.34273946794064725 #18, triangle 6
-0.28700100366612785 -0.36605056097837335 #19, triangle 7
-0.38312619169346035 -0.08390845760997682 #20, triangle 7
0.08881625221146336 -0.3021466198929844 #21, triangle 7
0.23200175301650808 -0.324529717567784 #22, triangle 8
-0.16521532015021467 -0.34225476032181246 #23, triangle 8
0.45282775090797406 0.019175097265267563 #24, triangle 8
-0.015462745614745862 0.37736641408235416 #25, triangle 9
0.3262792083829286 0.29202842606024115 #26, triangle 9
0.3404628975388581 -0.0804715319885432 #27, triangle 9
0.21505845882262928 -0.3273560768734932 #28, triangle 10
-0.18435247203866592 -0.33936466602662824 #29, triangle 10
0.47711724379354764 0.013153984269220867 #30, triangle 10
0.16539449440762505 -0.31296221210542385 #31, triangle 11
-0.23185003884864064 -0.3543465486976034 #32, triangle 11
0.5578229641959287 0.042582103305624286 #33, triangle 11
0.4501424628464201 -0.0002766230429322437 #34, triangle 12
-0.16291391826773743 0.3334563563136159 #35, triangle 12
0.2339393847411311 0.33321033305084274 #36, triangle 12
0.16363811368439915 -0.30173455915610664 #37, triangle 13
-0.23333186280096144 -0.3665043528426132 #38, triangle 13
0.5609724605135836 0.06356507295211704 #39, triangle 13
-0.16195568885296346 0.3140738702559787 #40, triangle 14
0.23474014859128478 0.35316573862691836 #41, triangle 14
-0.564010287332002 -0.04041490666403634 #42, triangle 14
-0.5294198161789443 -0.01657367481138245 #43, triangle 15
-0.18181337426859562 0.3257580038948813 #44, triangle 15
0.2173957028870506 0.34099573054655297 #45, triangle 15
0.20013144916126419 0.349233579855925 #46, triangle 16
-0.5002055074997992 -0.033019231584392246 #47, triangle 16
-0.1998685076273314 0.31780347956578636 #48, triangle 16
-0.18565453870158935 0.3494666866015335 #49, triangle 17
0.21384879298878426 0.3175811825842847 #50, triangle 17
0.47890892215073405 -0.033465512446777305 #51, triangle 17
0.19986841277512624 -0.3193322897546239 #52, triangle 18
-0.20013154395111551 -0.3476347285995824 #53, triangle 18
0.5002056557795014 0.02993086073165719 #54, triangle 18
-0.19489439587061658 0.33474736981304926 #55, triangle 19
0.2050412574670316 0.3319222897542593 #56, triangle 19
0.49219679390339127 -0.0031581370441740343 #57, triangle 19
-0.19473672468407255 -0.3317433451575027 #58, triangle 20
-0.5083058349866321 0.0035562692976167406 #59, triangle 20
0.20519491958586675 -0.3349271226684609 #60, triangle 20
0.18574057856724085 -0.3238324345160539 #61, triangle 21
-0.21376859107603838 -0.34297159030703683 #62, triangle 21
0.522892406883746 0.02064159591072876 #63, triangle 21
-0.2193755592874161 -0.33931722326809494 #64, triangle 22
0.5330782946447845 0.013053665927403512 #65, triangle 22
0.17963813437608764 -0.3274026759996612 #66, triangle 22
-0.49246919935801126 0.009446488890751467 #67, triangle 23
0.19507646882017116 -0.33762639978425096 #68, triangle 23
-0.2048636651621431 -0.32906773562404423 #69, triangle 23
-0.22690647698404728 0.32102173540935247 #70, triangle 24
0.1711531020248802 0.3458765722282216 #71, triangle 24
-0.4599777385675782 -0.02647861748379529 #72, triangle 24
0.2181056996979547 -0.31827872748493524 #73, triangle 25
-0.1810359047687973 -0.3487357552687547 #74, triangle 25
0.47263871039616334 0.03206276696253228 #75, triangle 25
-0.19418108303847156 -0.3328552666687631 #76, triangle 26
-0.5091923506115573 0.0010737250746638385 #77, triangle 26
0.20573548123886998 -0.33381174306552086 #78, triangle 26
-0.20471972735606142 0.32242306063834897 #79, triangle 27
0.19522391813333584 0.34442512778147727 #80, triangle 27
-0.4926901147537166 -0.023583240135310362 #81, triangle 27
0.206413107766005 -0.32600845056864997 #82, triangle 28
-0.19348239700808645 -0.3407395910522912 #83, triangle 28
0.4900985795093217 0.016040383975095027 #84, triangle 28
0.1868464615945542 0.35197588483115194 #85, triangle 29
-0.4805659616116159 -0.038206355165569646 #86, triangle 29
-0.21273477018370687 0.31519791747171605 #87, triangle 29
0.20141010196106152 -0.330889446122112 #88, triangle 30
-0.19858490948416085 -0.3357862123841692 #89, triangle 30
0.49780252567868427 0.005448810184524367 #90, triangle 30
-0.19848607318768507 -0.3328642675094359 #91, triangle 31
-0.5023722445278593 0.001053544921583064 #92, triangle 31
0.20150821848131992 -0.33380272942372713 #93, triangle 31
-0.2001009930646065 0.3323476588191895 #94, triangle 32
0.19989898142995516 0.33432046733672083 #95, triangle 32
-0.49984222821253393 -0.002209600356480966 #96, triangle 32
0.2000863702434338 -0.332884702937155 #97, triangle 33
-0.1999136111029892 -0.3337822658366619 #98, triangle 33
0.49986506834603206 0.0010077230344603268 #99, triangle 33
0.19876158524447832 0.3375484405845239 #100, triangle 34
-0.498075404527014 -0.009278660922760156 #101, triangle 34
-0.2012345924118721 0.3291447093312489 #102, triangle 34
-0.19987627335160982 -0.33296962452613604 #103, triangle 35
-0.5001933677470018 0.0008172301893782208 #104, triangle 35
0.20012368838951472 -0.3336972406749883 #105, triangle 35
0.47674295232031766 0.0028791982489256886 #106, triangle 36
