ASPECT RATIOS FOR SHAPE PARAMETERS
1.8683001880279348 #1, triangle 1
1.1742403509474522 #2, triangle 1
1.828630448924206 #3, triangle 1
1.164336202321309 #4, triangle 2
1.1244398042786532 #5, triangle 2
1.05468609543697 #6, triangle 2
1.3714543494995781 #7, triangle 3
1.4014367961141747 #8, triangle 3
1.0587640274902475 #9, triangle 3
1.691277415757334 #10, triangle 4
1.402063465289259 #11, triangle 4
1.4862864661130555 #12, triangle 4
1.550418824086659 #13, triangle 5
1.0569317613988383 #14, triangle 5
1.542475925138619 #15, triangle 5
1.125024115694785 #16, triangle 6
1.0964336334493383 #17, triangle 6
1.057372146632961 #18, triangle 6
1.3656153925716203 #19, triangle 7
1.6073545687260944 #20, triangle 7
1.3964926601561398 #21, triangle 7
1.133101212041734 #22, triangle 8
1.0113157169698046 #23, triangle 8
1.1248995491462834 #24, triangle 8
1.6326600621532992 #25, triangle 9
1.579520517920447 #26, triangle 9
1.1317011290816084 #27, triangle 9
1.2055471016399542 #28, triangle 10
1.1464958343760934 #29, triangle 10
1.102740976940792 #30, triangle 10
1.214773806291943 #31, triangle 11
1.0729259816578505 #32, triangle 11
1.2194956619572044 #33, triangle 11
1.1133367793103393 #34, triangle 12
1.2418970331776238 #35, triangle 12
1.16163213618946 #36, triangle 12
1.2136209894476946 #37, triangle 13
1.1456753964790578 #38, triangle 13
1.291379283759648 #39, triangle 13
1.2331228608307527 #40, triangle 14
1.0800110441803126 #41, triangle 14
1.2250067362596488 #42, triangle 14
1.101914007539209 #43, triangle 15
1.0920940643503676 #44, triangle 15
1.0383233585571694 #45, triangle 15
1.175062482903166 #46, triangle 16
1.0979884122020902 #47, triangle 16
1.1083160342310034 #48, triangle 16
1.0315654742744285 #49, triangle 17
1.042415547864408 #50, triangle 17
1.0213072024521037 #51, triangle 17
1.110341163553862 #52, triangle 18
1.1705582363125477 #53, triangle 18
1.0921970942173072 #54, triangle 18
1.0547704405858374 #55, triangle 19
1.0727281889886295 #56, triangle 19
1.0362373779112504 #57, triangle 19
1.0652378517389276 #58, triangle 20
1.0528123641176506 #59, triangle 20
1.098039113080087 #60, triangle 20
1.0693129656316331 #61, triangle 21
1.0508227056398238 #62, triangle 21
1.0988806243356224 #63, triangle 21
1.1113361259096601 #64, triangle 22
1.1196816543778985 #65, triangle 22
1.0119140384171685 #66, triangle 22
1.0344850650582316 #67, triangle 23
1.0927181464795008 #68, triangle 23
1.0982772791131339 #69, triangle 23
1.3039467936951836 #70, triangle 24
1.189060344554797 #71, triangle 24
1.174501845670228 #72, triangle 24
1.4381819648817684 #73, triangle 25
1.3654413286482117 #74, triangle 25
1.2032655549458129 #75, triangle 25
1.2274274475409672 #76, triangle 26
