SKEWS FOR SHAPE PARAMETERS
1.579968266820466 #1, triangle 1
1.5807050253933574 #2, triangle 1
1.5598066976990521 #3, triangle 1
1.5750765012270245 #4, triangle 2
1.5641148413395132 #5, triangle 2
1.570475921272676 #6, triangle 2
1.578371766340744 #7, triangle 3
1.564696748312735 #8, triangle 3
1.566775424446234 #9, triangle 3
1.5697432965338913 #10, triangle 4
1.5502471010187673 #11, triangle 4
1.5635587242660254 #12, triangle 4
1.5798499133423942 #13, triangle 5
1.5780691049813422 #14, triangle 5
1.5802878942593375 #15, triangle 5
1.5684722970282379 #16, triangle 6
1.5722435208433443 #17, triangle 6
1.5650142655639743 #18, triangle 6
1.5516721570804672 #19, triangle 7
1.572952724864407 #20, triangle 7
1.5640729915890204 #21, triangle 7
1.5756616160476635 #22, triangle 8
1.5701673248275108 #23, triangle 8
1.5654555444650269 #24, triangle 8
1.5787064334795007 #25, triangle 9
1.5601185426068622 #26, triangle 9
1.5630520281454432 #27, triangle 9
1.5727919349082105 #28, triangle 10
1.570545499416083 #29, triangle 10
1.563737998107018 #30, triangle 10
1.5715782131268738 #31, triangle 11
1.5608156950699332 #32, triangle 11
1.569840008453724 #33, triangle 11
1.5699251372806509 #34, triangle 12
1.574413436047543 #35, triangle 12
1.5625087887636246 #36, triangle 12
1.5697966793083689 #37, triangle 13
1.5594979270107716 #38, triangle 13
1.5688132462940438 #39, triangle 13
1.5716706310788666 #40, triangle 14
1.5604914963517684 #41, triangle 14
1.570221951808996 #42, triangle 14
1.5684594787595556 #43, triangle 15
1.5728126135144387 #44, triangle 15
1.5649997112101213 #45, triangle 15
1.5680560656127553 #46, triangle 16
1.5638564352782764 #47, triangle 16
1.5713544738975334 #48, triangle 16
1.5747641223661488 #49, triangle 17
1.5674155019138902 #50, triangle 17
1.573491997593503 #51, triangle 17
1.5714715240877657 #52, triangle 18
1.5681538908386663 #53, triangle 18
1.5638871964898835 #54, triangle 18
1.5729827663783233 #55, triangle 19
1.5680574888111936 #56, triangle 19
1.5754059953931883 #57, triangle 19
1.5690185207291278 #58, triangle 20
1.5759774722699722 #59, triangle 20
1.5736060633876616 #60, triangle 20
1.5726517122200745 #61, triangle 21
1.5653782566766468 #62, triangle 21
1.5679803745313134 #63, triangle 21
1.5658333603373082 #64, triangle 22
1.566297040567568 #65, triangle 22
1.5717030762839739 #66, triangle 22
1.5764216200148466 #67, triangle 23
1.5728529249310725 #68, triangle 23
1.5685624062717765 #69, triangle 23
1.5738442277938969 #70, triangle 24
1.5725364170800376 #71, triangle 24
1.558756934833514 #72, triangle 24
1.5710083711344305 #73, triangle 25
1.5738245283183419 #74, triangle 25
1.5531427280837689 #75, triangle 25
1.570909496670666 #76, triangle 26
1.5813423523347885 #77, triangle 26
1.5719676566139045 #78, triangle 26
1.5684070618874815 #79, triangle 27
1.573154954552092 #80, triangle 27
1.5509595191966483 #81, triangle 27
1.56916132908564 #82, triangle 28
1.5734038965133217 #83, triangle 28
1.5511820373265426 #84, triangle 28
1.5728764167938745 #85, triangle 29
1.5533700595105635 #86, triangle 29
1.5698550718924973 #87, triangle 29
1.568376315703161 #88, triangle 30
1.5733254187379202 #89, triangle 30
1.5503368844696581 #90, triangle 30
1.570577945112721 #91, triangle 31
1.581726108327532 #92, triangle 31
1.5714046599507607 #93, triangle 31
1.568086683490859 #94, triangle 32
1.5734022511977108 #95, triangle 32
1.549999161227714 #96, triangle 32
1.5681695970949214 #97, triangle 33
1.573388492749565 #98, triangle 33
1.5500647545875403 #99, triangle 33
1.573327767285422 #100, triangle 34
1.5501513291010056 #101, triangle 34
1.568083246511157 #102, triangle 34
1.5704117467007455 #103, triangle 35
1.5817334871557711 #104, triangle 35
1.5712578878380836 #105, triangle 35
1.5616766726018658 #106, triangle 36
1.5733368336632978 #107, triangle 36
1.5711670132460231 #108, triangle 36
1.5705519900532405 #109, triangle 37
1.5811248514758307 #110, triangle 37
1.5717436283228912 #111, triangle 37
1.5684061805626068 #112, triangle 38
1.5762591876383292 #113, triangle 38
1.572941638191413 #114, triangle 38
1.5689983620887087 #115, triangle 39
1.5646583965246303 #116, triangle 39
1.5728090333627225 #117, triangle 39
1.5692282591827735 #118, triangle 40
1.5774066024894 #119, triangle 40
1.5724803824554268 #120, triangle 40
1.5698426535776733 #121, triangle 41
1.5624467867272198 #122, triangle 41
1.5724499920265402 #123, triangle 41
1.5730617610075723 #124, triangle 42
1.5691385992860813 #125, triangle 42
1.5767993065559862 #126, triangle 42
1.5817083545744826 #127, triangle 43
1.5713697062694072 #128, triangle 43
1.5705383463702147 #129, triangle 43
1.569443482877275 #130, triangle 44
1.577046842997833 #131, triangle 44
1.5731535235715273 #132, triangle 44
1.5763599804725401 #133, triangle 45
1.5735068494943931 #134, triangle 45
1.569147828694968 #135, triangle 45
1.5699005140712723 #136, triangle 46
1.5764011276528294 #137, triangle 46
1.5740141228361728 #138, triangle 46
1.5692146523044683 #139, triangle 47
1.5621264176347474 #140, triangle 47
1.5711795416883314 #141, triangle 47
1.5687489973755468 #142, triangle 48
1.5762500127455012 #143, triangle 48
1.5730446647458807 #144, triangle 48
1.5771463458946073 #145, triangle 49
1.5729340730285455 #146, triangle 49
1.5692515641693698 #147, triangle 49
1.57047722046042 #148, triangle 50
1.5817806853409473 #149, triangle 50
1.5712871332903022 #150, triangle 50
1.567502951174116 #151, triangle 51
1.5674309895158443 #152, triangle 51
1.5733493528244806 #153, triangle 51
1.5736302937437832 #154, triangle 52
1.5679795325386126 #155, triangle 52
1.5742154813521918 #156, triangle 52
1.5567055329760586 #157, triangle 53
1.5745259528477638 #158, triangle 53
1.5750137308245253 #159, triangle 53
1.5689281728836366 #160, triangle 54
1.5747045573227687 #161, triangle 54
1.574321825754656 #162, triangle 54
1.5695537596379763 #163, triangle 55
1.5606646656815213 #164, triangle 55
1.5669904510095942 #165, triangle 55
1.5688924126660422 #166, triangle 56
1.568996581555836 #167, triangle 56
1.5589186612958712 #168, triangle 56
1.588609081591893 #169, triangle 57
1.5839956471343315 #170, triangle 57
1.5784833552740403 #171, triangle 57
1.5655268985621207 #172, triangle 58
1.5590552693162698 #173, triangle 58
1.5660829695620193 #174, triangle 58
1.5716244832137023 #175, triangle 59
1.5720207032829983 #176, triangle 59
1.5571970920057558 #177, triangle 59
1.5709375030692805 #178, triangle 60
1.5656128803540357 #179, triangle 60
1.5655472331631932 #180, triangle 60
1.5666845120634871 #181, triangle 61
1.5712594938618718 #182, triangle 61
1.565224074016939 #183, triangle 61
1.5589205891526474 #184, triangle 62
1.5658796472733163 #185, triangle 62
1.565586345144318 #186, triangle 62
1.5695927611473466 #187, triangle 63
1.566034439597441 #188, triangle 63
1.5642851937139681 #189, triangle 63
1.5761404818553255 #190, triangle 64
1.5579974791523634 #191, triangle 64
1.5628506331000525 #192, triangle 64
1.570811563827567 #193, triangle 65
1.5630756996801891 #194, triangle 65
1.5675921208436336 #195, triangle 65
1.5665817684437071 #196, triangle 66
1.570581867714168 #197, triangle 66
1.563942508058688 #198, triangle 66
1.5846341280529832 #199, triangle 67
1.583187273230199 #200, triangle 67
1.584517706914323 #201, triangle 67
1.578083784117102 #202, triangle 68
1.5927955743917703 #203, triangle 68
1.5709897495045284 #204, triangle 68
1.5707067157433101 #205, triangle 69
1.5734944986105814 #206, triangle 69
1.588028532406978 #207, triangle 69
1.5617735270423299 #208, triangle 70
1.5799977335086421 #209, triangle 70
1.5831593709391147 #210, triangle 70
1.5653552619750724 #211, triangle 71
1.5688789067964664 #212, triangle 71
1.5742788919429063 #213, triangle 71
1.5686044850715084 #214, triangle 72
1.5774496572589713 #215, triangle 72
1.5802365147926307 #216, triangle 72
1.5557620428715409 #217, triangle 73
1.5773389809173526 #218, triangle 73
1.581726422500907 #219, triangle 73
1.5606643795541528 #220, triangle 74
1.5789572640357203 #221, triangle 74
1.5562295112941882 #222, triangle 74
1.5506848694904427 #223, triangle 75
1.5652302031572705 #224, triangle 75
1.5699552230370473 #225, triangle 75
1.5726865300168362 #226, triangle 76
1.553511470511084 #227, triangle 76
1.566349257118423 #228, triangle 76
1.5802334717648368 #229, triangle 77
1.5615848085332489 #230, triangle 77
1.563847792824952 #231, triangle 77
1.567693270717033 #232, triangle 78
1.5668058498016129 #233, triangle 78
1.5555680572303636 #234, triangle 78
1.5649902933039872 #235, triangle 79
1.5655496147037484 #236, triangle 79
1.5698975983353682 #237, triangle 79
1.5721523693494777 #238, triangle 80
1.5789619251840405 #239, triangle 80
1.5735199104257724 #240, triangle 80
1.577308983184609 #241, triangle 81
1.5733510287932766 #242, triangle 81
1.569234954305209 #243, triangle 81
1.5735347540460118 #244, triangle 82
1.568001127316756 #245, triangle 82
1.5663598480308907 #246, triangle 82
1.5569926438012578 #247, triangle 83
1.5567087146353842 #248, triangle 83
1.5588649450114038 #249, triangle 83
1.5633431521555239 #250, triangle 84
1.5719869429504132 #251, triangle 84
1.5698490120640451 #252, triangle 84
1.5743165882563106 #253, triangle 85
1.5687213590490814 #254, triangle 85
1.5749075016570806 #255, triangle 85
1.5751066453158533 #256, triangle 86
1.5753562636365945 #257, triangle 86
1.5699767768382011 #258, triangle 86
1.575182406267118 #259, triangle 87
1.5646169877825045 #260, triangle 87
1.5700237280694986 #261, triangle 87
1.5792926321029608 #262, triangle 88
1.5691178320323902 #263, triangle 88
1.572193994753055 #264, triangle 88
1.5707221219370402 #265, triangle 89
1.5711321961276568 #266, triangle 89
1.5848064006614861 #267, triangle 89
1.5758723313667458 #268, triangle 90
1.5782733832587923 #269, triangle 90
1.573372394034668 #270, triangle 90
1.5689587096129172 #271, triangle 91
1.5669009685134683 #272, triangle 91
1.574830538619423 #273, triangle 91
1.5711688997352267 #274, triangle 92
1.5615756606095024 #275, triangle 92
1.56331977378686 #276, triangle 92
1.5689588056092099 #277, triangle 93
1.5706370901979485 #278, triangle 93
1.5814564114081906 #279, triangle 93
1.5686738652134185 #280, triangle 94
1.5869077906785534 #281, triangle 94
1.563402122044956 #282, triangle 94
1.5734370198601035 #283, triangle 95
1.5763678460088189 #284, triangle 95
1.557931737871553 #285, triangle 95
1.5824312309036674 #286, triangle 96
1.5651359356684595 #287, triangle 96
1.577078925112237 #288, triangle 96
1.570828227100214 #289, triangle 97
1.5760088942403607 #290, triangle 97
1.5883528794589004 #291, triangle 97
1.562301377153491 #292, triangle 98
1.5853876781804956 #293, triangle 98
1.5597858012147576 #294, triangle 98
1.5745283598162596 #295, triangle 99
1.5906549840617958 #296, triangle 99
1.570922589160381 #297, triangle 99
1.5929929445624236 #298, triangle 100
1.5686568710417674 #299, triangle 100
1.5746431232372213 #300, triangle 100
1.580894419573835 #301, triangle 101
1.5677116807790374 #302, triangle 101
1.5704989794235518 #303, triangle 101
1.562899080645608 #304, triangle 102
1.5623240124766904 #305, triangle 102
1.5664090985827137 #306, triangle 102
1.5750754318154454 #307, triangle 103
1.5737416377448878 #308, triangle 103
1.5680701270512298 #309, triangle 103
1.5537128436439203 #310, triangle 104
1.5637707369160112 #311, triangle 104
1.5676513256709208 #312, triangle 104
1.5746102905566044 #313, triangle 105
1.5685667500373215 #314, triangle 105
1.5741902022267016 #315, triangle 105
1.571309150149586 #316, triangle 106
1.5704064175527637 #317, triangle 106
1.5816788908839814 #318, triangle 106
1.5682086081478028 #319, triangle 107
1.5734205230110834 #320, triangle 107
1.591521446116427 #321, triangle 107
1.5703312266873837 #322, triangle 108
1.5598607987592759 #323, triangle 108
1.571177538295993 #324, triangle 108
1.568193325694216 #325, triangle 109
1.5735087318158838 #326, triangle 109
1.5915918740016433 #327, triangle 109
1.5682681280494413 #328, triangle 110
1.5731913024777566 #329, triangle 110
1.5912276169936934 #330, triangle 110
1.5599349296976985 #331, triangle 111
1.571246696124522 #332, triangle 111
1.5703462180453829 #333, triangle 111
1.5681752335760613 #334, triangle 112
1.572362070160906 #335, triangle 112
1.59033759596527 #336, triangle 112
1.5710029109297488 #337, triangle 113
1.5701687309704322 #338, triangle 113
1.5598816886936682 #339, triangle 113
1.568448630511555 #340, triangle 114
1.5731555478349106 #341, triangle 114
1.5905601654324055 #342, triangle 114
1.5677412121667953 #343, triangle 115
1.5704448819458765 #344, triangle 115
1.5882912423878637 #345, triangle 115
1.5735046766297998 #346, triangle 116
1.5914204318044411 #347, triangle 116
1.5682712120787852 #348, triangle 116
1.5602910904081475 #349, triangle 117
1.570651764734268 #350, triangle 117
1.569572734379807 #351, triangle 117
1.572847532580696 #352, triangle 118
1.5685492315132479 #353, triangle 118
1.565347653607151 #354, triangle 118
1.5711861558820812 #355, triangle 119
1.5702843735998757 #356, triangle 119
1.5599130409408744 #357, triangle 119
1.5672751668892344 #358, triangle 120
1.5669538072478908 #359, triangle 120
1.5727107395380722 #360, triangle 120
1.5724476710609652 #361, triangle 121
1.5680841975593494 #362, triangle 121
1.565238436446411 #363, triangle 121
1.572454210653015 #364, triangle 122
1.5685311152064438 #365, triangle 122
1.5647956000274028 #366, triangle 122
1.573088032511261 #367, triangle 123
1.5670471081104214 #368, triangle 123
1.5674176751324524 #369, triangle 123
1.5723702030550921 #370, triangle 124
1.5686499380075756 #371, triangle 124
1.5645072033253753 #372, triangle 124
1.571052306911271 #373, triangle 125
1.5702069304013988 #374, triangle 125
1.559907211550625 #375, triangle 125
1.5702011903712938 #376, triangle 126
1.5789901913733135 #377, triangle 126
1.5724932861780234 #378, triangle 126
1.5724034495593147 #379, triangle 127
1.569060529005264 #380, triangle 127
1.5642838263228716 #381, triangle 127
1.568711197161593 #382, triangle 128
1.5767959217066838 #383, triangle 128
1.572665152856392 #384, triangle 128
1.5684841997212318 #385, triangle 129
1.5645596622368456 #386, triangle 129
1.5721889548687784 #387, triangle 129
1.5598156727354104 #388, triangle 130
1.571116472759442 #389, triangle 130
1.5703057191352563 #390, triangle 130
1.5676002977081072 #391, triangle 131
1.5650851695086605 #392, triangle 131
1.5716334920647073 #393, triangle 131
1.5605931054277387 #394, triangle 132
1.5710441871763448 #395, triangle 132
1.569717412251764 #396, triangle 132
1.5681434029522092 #397, triangle 133
1.5734522865592653 #398, triangle 133
1.5915939782926554 #399, triangle 133
1.5666586539828928 #400, triangle 134
1.5667563764454728 #401, triangle 134
1.584471020843411 #402, triangle 134
1.5645229088508157 #403, triangle 135
1.5659465652094435 #404, triangle 135
1.570389206652019 #405, triangle 135
1.5688344455231218 #406, triangle 136
1.5673590766572736 #407, triangle 136
1.5826717777840555 #408, triangle 136
1.5639160223444095 #409, triangle 137
1.5610942574567441 #410, triangle 137
1.579480915414507 #411, triangle 137
1.5797960219093647 #412, triangle 138
1.5702950787184826 #413, triangle 138
1.5680457455161378 #414, triangle 138
1.5722138747685175 #415, triangle 139
1.5841726485655698 #416, triangle 139
1.5688497474761474 #417, triangle 139
1.575347420247341 #418, triangle 140
1.5641360053074294 #419, triangle 140
1.564302535212198 #420, triangle 140
1.5889677572089447 #421, triangle 141
1.5704325719142138 #422, triangle 141
1.5760191410422395 #423, triangle 141
1.5814007316818444 #424, triangle 142
1.5617008138198305 #425, triangle 142
1.5792173221968304 #426, triangle 142
1.5733818658033691 #427, triangle 143
1.5769952505876685 #428, triangle 143
1.5631960376640457 #429, triangle 143
1.5734070923862322 #430, triangle 144
1.5677941317766646 #431, triangle 144
1.5752485090912276 #432, triangle 144
1.5632347822889525 #433, triangle 145
1.5717628356319346 #434, triangle 145
1.5680931945935876 #435, triangle 145
1.5691783270021076 #436, triangle 146
1.5649991985378315 #437, triangle 146
1.5736644408132796 #438, triangle 146
1.5747574092788137 #439, triangle 147
1.5690948614538365 #440, triangle 147
1.5747111486249474 #441, triangle 147
1.5714315267443602 #442, triangle 148
1.5823416326358242 #443, triangle 148
1.5705552361176822 #444, triangle 148
1.5685772709305996 #445, triangle 149
1.5654586865862041 #446, triangle 149
1.5732433945660034 #447, triangle 149
1.5659110408358357 #448, triangle 150
1.5795792592733666 #449, triangle 150
1.564047408305777 #450, triangle 150
1.5589826335463732 #451, triangle 151
1.5597189688358137 #452, triangle 151
1.55849131937462 #453, triangle 151
1.5744923589582747 #454, triangle 152
1.5725016330091732 #455, triangle 152
1.578737898524723 #456, triangle 152
1.5721922114667264 #457, triangle 153
1.5774540400761246 #458, triangle 153
1.5658480030983037 #459, triangle 153
1.5747590059206218 #460, triangle 154
1.5720206614127255 #461, triangle 154
1.5787553175300062 #462, triangle 154
1.5781232326453025 #463, triangle 155
1.5789183645468514 #464, triangle 155
1.5757849199888954 #465, triangle 155
1.5627982171996624 #466, triangle 156
1.584827322766192 #467, triangle 156
1.5598824043979032 #468, triangle 156
1.5740912257784652 #469, triangle 157
1.5681400076526475 #470, triangle 157
1.574077804078429 #471, triangle 157
1.5687131301624722 #472, triangle 158
1.571627247911734 #473, triangle 158
1.588058271122973 #474, triangle 158
1.5807233211163065 #475, triangle 159
1.569297099405187 #476, triangle 159
1.5710787167568063 #477, triangle 159
1.568641694713009 #478, triangle 160
1.5634003436257033 #479, triangle 160
1.5661735020977532 #480, triangle 160
1.5665541381637367 #481, triangle 161
1.5715722690590697 #482, triangle 161
1.566093071111398 #483, triangle 161
1.5770772569071432 #484, triangle 162
1.5666744823735814 #485, triangle 162
1.5715125643909602 #486, triangle 162
1.572738270229937 #487, triangle 163
1.5628043776938478 #488, triangle 163
1.569329824214107 #489, triangle 163
1.5832522597746583 #490, triangle 164
1.585649447806086 #491, triangle 164
1.5849552431028118 #492, triangle 164
1.5674000403372343 #493, triangle 165
1.5667312559302744 #494, triangle 165
1.573011953268959 #495, triangle 165
1.5736467461860042 #496, triangle 166
1.5682002645293038 #497, triangle 166
1.5754023452020447 #498, triangle 166
1.5747742247980088 #499, triangle 167
1.5724210484321914 #500, triangle 167
1.5665819887314607 #501, triangle 167
1.578887245220279 #502, triangle 168
1.5805305081588363 #503, triangle 168
1.5715861876263062 #504, triangle 168
1.5646180228415967 #505, triangle 169
1.5725167417919095 #506, triangle 169
1.5681968368585333 #507, triangle 169
1.5681633922788614 #508, triangle 170
1.5840840092846802 #509, triangle 170
1.5649423744590658 #510, triangle 170
1.5697727513480486 #511, triangle 171
1.5683433604183707 #512, triangle 171
1.5627599612827974 #513, triangle 171
1.5758403078933492 #514, triangle 172
1.5763315707989312 #515, triangle 172
1.5713027008122245 #516, triangle 172
1.570720808075416 #517, triangle 173
1.5723112780913304 #518, triangle 173
1.5602504102223702 #519, triangle 173
1.581833542621796 #520, triangle 174
1.556544714105003 #521, triangle 174
1.5794190914882444 #522, triangle 174
1.5597574118867505 #523, triangle 175
1.5647509439849632 #524, triangle 175
1.57657228682362 #525, triangle 175
1.548888929616887 #526, triangle 176
1.5677005885746869 #527, triangle 176
1.5736748303482455 #528, triangle 176
1.5677857409086386 #529, triangle 177
1.5708291915185428 #530, triangle 177
1.5517883921622784 #531, triangle 177
1.5740987674235525 #532, triangle 178
1.5612543243334394 #533, triangle 178
1.571103502953431 #534, triangle 178
1.565758827151345 #535, triangle 179
1.578789198511827 #536, triangle 179
1.58411944711784 #537, triangle 179
1.5539683396441244 #538, triangle 180
1.5656308035550113 #539, triangle 180
1.5711985072726182 #540, triangle 180
1.5779792649810502 #541, triangle 181
1.555156714846502 #542, triangle 181
1.5730313887047118 #543, triangle 181
1.5791729803262204 #544, triangle 182
1.5890699189911612 #545, triangle 182
1.5745811422165656 #546, triangle 182
1.5790564302329955 #547, triangle 183
1.5792488954259742 #548, triangle 183
1.5755755211905125 #549, triangle 183
1.575747313310347 #550, triangle 184
1.5716341408106165 #551, triangle 184
1.5774401593030556 #552, triangle 184
1.5723575211107836 #553, triangle 185
1.5704757062669081 #554, triangle 185
1.5787112832293064 #555, triangle 185
1.5575700510349528 #556, triangle 186
1.558814360386852 #557, triangle 186
1.5576845568998738 #558, triangle 186
1.575478804928703 #559, triangle 187
1.5725560401451004 #560, triangle 187
1.578284872260494 #561, triangle 187
1.5762338876100588 #562, triangle 188
1.5710161227305401 #563, triangle 188
1.5762729925163101 #564, triangle 188
1.5644346062724088 #565, triangle 189
1.5863995526281112 #566, triangle 189
1.559695821128634 #567, triangle 189
1.5727676821568075 #568, triangle 190
1.5810740613545509 #569, triangle 190
1.5707034248847094 #570, triangle 190
1.5730722522347993 #571, triangle 191
1.5816075877241178 #572, triangle 191
1.5720443309577676 #573, triangle 191
1.5824602214328432 #574, triangle 192
