TAPERS FOR SHAPE PARAMETERS
0.02828789491445059 0.04788439525750411 #1, triangle 1
0.03621167968493744 0.03796200817029272 #2, triangle 1
0.029687500701289414 0.047373301443514954 #3, triangle 1
0.043325627956225625 0.03771936818060452 #4, triangle 2
0.042576873867804774 0.03911458148850493 #5, triangle 2
0.041235121234420934 0.039100071926971014 #6, triangle 2
0.042523245278329506 0.03294447414340214 #7, triangle 3
0.042985549363750084 0.03192887827783728 #8, triangle 3
0.037362447006903034 0.035924034750244534 #9, triangle 3
0.03269503010942797 0.0552596655018997 #10, triangle 4
0.05031351548768747 0.04403710153506993 #11, triangle 4
0.03593095903641115 0.0518026633068423 #12, triangle 4
0.03305186490218032 0.047852526319091385 #13, triangle 5
0.039111815150258196 0.03950970881179439 #14, triangle 5
0.04772979308411483 0.033346328917739025 #15, triangle 5
0.03924685761417893 0.03508111639615233 #16, triangle 6
0.0387449538872536 0.03541428180999521 #17, triangle 6
0.03721639138007831 0.03804853212325918 #18, triangle 6
0.043966518702018204 0.050668705251699184 #19, triangle 7
0.034287270626013416 0.054970723078375985 #20, triangle 7
0.051238326158909324 0.03759608389044275 #21, triangle 7
0.03772299327108991 0.04194732590879931 #22, triangle 8
0.0391981592573524 0.0396290176239874 #23, triangle 8
0.03800330662263679 0.04179523770891808 #24, triangle 8
0.047724224731709286 0.031012232889257623 #25, triangle 9
0.04694114008840669 0.032944047178759976 #26, triangle 9
0.0371627331393123 0.03973350454674022 #27, triangle 9
0.03322556888375639 0.03987711543091816 #28, triangle 10
0.03392158001163501 0.038888203828795403 #29, triangle 10
0.03646848203228852 0.03813892083733714 #30, triangle 10
0.04475899801270845 0.0368617134060025 #31, triangle 11
0.04191631392976221 0.042064673990952595 #32, triangle 11
0.04484590330697398 0.036798282990326725 #33, triangle 11
0.037438178253434054 0.04165588834231371 #34, triangle 12
0.043995262895187674 0.035796579679605235 #35, triangle 12
0.04254979102442684 0.03859912587631177 #36, triangle 12
0.04558803630572872 0.03758864432917322 #37, triangle 13
0.0418194155499008 0.04429351432546694 #38, triangle 13
0.04702580661924613 0.03651043305848559 #39, triangle 13
0.045103910952269524 0.03659703915854027 #40, triangle 14
0.04221094983567198 0.04195641512855205 #41, triangle 14
0.04495523424415008 0.03670663555160128 #42, triangle 14
0.0400728652342962 0.03654877917007226 #43, triangle 15
0.03989390666528849 0.036666056540935556 #44, triangle 15
0.03860396110563158 0.038899395825033226 #45, triangle 15
0.03548457323141094 0.04141243589990698 #46, triangle 16
0.04003125215624173 0.038034669719797735 #47, triangle 16
0.036298819961587916 0.04021907746144589 #48, triangle 16
0.038662542658525735 0.038024371846810956 #49, triangle 17
0.038865338383566095 0.037678229562088314 #50, triangle 17
0.0384698249751733 0.03792098679310194 #51, triangle 17
0.036257501041774165 0.040241353818480985 #52, triangle 18
0.03552340876127704 0.041318150693934914 #53, triangle 18
0.03991120783702942 0.038110204402684415 #54, triangle 18
0.0362607079964035 0.0380587543290873 #55, triangle 19
0.036056103557287826 0.038381367209356275 #56, triangle 19
0.03719625319383464 0.03772291293238058 #57, triangle 19
0.03642394383297438 0.03867930507897938 #58, triangle 20
0.038453055618029156 0.037482373993430844 #59, triangle 20
0.036042513259070125 0.03927030487856049 #60, triangle 20
0.039380672928585526 0.03694554732150577 #61, triangle 21
0.03814982342763285 0.03903870841613318 #62, triangle 21
0.03992141943660447 0.03659568375055296 #63, triangle 21
0.03738032371132864 0.040668136081615215 #64, triangle 22
0.040820548249717 0.037102409926299276 #65, triangle 22
0.03880640059531852 0.038377299041035776 #66, triangle 22
0.03821560522898872 0.03838096323228537 #67, triangle 23
0.03624614260242104 0.03944644184293061 #68, triangle 23
0.03618056325843385 0.0395466551535054 #69, triangle 23
0.0379710488910362 0.04925473021471859 #70, triangle 24
0.03962385860187402 0.047034870973549255 #71, triangle 24
0.04293243094688046 0.046746043732606594 #72, triangle 24
0.03718594649469015 0.053478970031376055 #73, triangle 25
0.03833519000341173 0.052108987796068075 #74, triangle 25
0.046490800187125786 0.04891666693895639 #75, triangle 25
0.03635792601265347 0.04462629228157239 #76, triangle 26
0.04239984664045463 0.04130371697662121 #77, triangle 26
0.03588164641286922 0.045264220828443044 #78, triangle 26
0.03662504312203117 0.054098881164409654 #79, triangle 27
0.03661383820430115 0.054111520670808703 #80, triangle 27
0.04830704901436379 0.04828439315938109 #81, triangle 27
0.03725037127517873 0.05454150505318344 #82, triangle 28
0.03759841933458091 0.05414201214952347 #83, triangle 28
0.048333868814748396 0.04904724400808824 #84, triangle 28
0.0371913517195988 0.05191434777800846 #85, triangle 29
0.04661149489905449 0.04747606474371778 #86, triangle 29
0.03677896365684346 0.052401720362805417 #87, triangle 29
0.037053803392364026 0.05490829048443302 #88, triangle 30
0.03709320888531323 0.054863928933076865 #89, triangle 30
0.04893183719412814 0.04901138803085731 #90, triangle 30
0.03623262120306801 0.0452772968596575 #91, triangle 31
0.04231997894464606 0.04198960518675189 #92, triangle 31
0.036088193518711904 0.04546913411593108 #93, triangle 31
0.03676247211337012 0.05498200928473786 #94, triangle 32
0.036724667198568775 0.05502410050806401 #95, triangle 32
0.048998197832255036 0.04892254004069733 #96, triangle 32
0.03687132929759412 0.0550033629909493 #97, triangle 33
0.03685877253405553 0.055017387791540424 #98, triangle 33
0.04901234363251026 0.0489871513542719 #99, triangle 33
0.03664823041486225 0.05487642431489145 #100, triangle 34
0.048894415305481616 0.04876155885270788 #101, triangle 34
0.03671454926061953 0.05480249131324958 #102, triangle 34
0.03622996856429019 0.045396609370351365 #103, triangle 35
0.04223385160588991 0.04216870383050624 #104, triangle 35
0.036201500419847085 0.04543444498974767 #105, triangle 35
0.03987752377624001 0.04240470594973661 #106, triangle 36
0.0360070894366716 0.044434029013562366 #107, triangle 36
0.03707409889343438 0.042946700330511046 #108, triangle 36
0.03623335144964327 0.04453010238589419 #109, triangle 37
0.041988504627520906 0.041386262942539866 #110, triangle 37
0.03597257770974282 0.04488109143965483 #111, triangle 37
0.036485399030087476 0.039599877989264 #112, triangle 38
0.03831915957333818 0.03854667492730412 #113, triangle 38
0.03657516099026529 0.03946162994985678 #114, triangle 38
0.03591584763579523 0.0398070884577213 #115, triangle 39
0.03831913647579275 0.03851876032249216 #116, triangle 39
0.035835682045950994 0.03992732102599417 #117, triangle 39
0.03531250365685466 0.03998552728635512 #118, triangle 40
0.03836755620573187 0.038259437000001506 #119, triangle 40
0.035268485874776906 0.040050223762104833 #120, triangle 40
0.03653264787894025 0.0425782134348626 #121, triangle 41
0.04018461493747725 0.04080199337980442 #122, triangle 41
0.036275123587137165 0.042943612745231424 #123, triangle 41
0.03581976311968444 0.03991776634285375 #124, triangle 42
0.03604626550035386 0.039576487449618884 #125, triangle 42
0.03864344907522759 0.03807766561785544 #126, triangle 42
0.04226448872340158 0.041997124967443185 #127, triangle 43
0.03608630449772676 0.045422563632930395 #128, triangle 43
0.03620317058452825 0.04526730579058019 #129, triangle 43
0.035999496213326 0.039674364785350996 #130, triangle 44
0.03891796517332724 0.03798511089558243 #131, triangle 44
0.03562388898348005 0.04023546101758663 #132, triangle 44
0.038795938255853056 0.037805635941255175 #133, triangle 45
0.0360817865892571 0.03976867229895973 #134, triangle 45
0.03647385833797509 0.039168043080791505 #135, triangle 45
0.03620895239919689 0.03849138706891206 #136, triangle 46
0.03900396920488098 0.036816491556855235 #137, triangle 46
0.035339671725343955 0.03981515547471677 #138, triangle 46
0.0351768947284142 0.042770467597506925 #139, triangle 47
0.04049015141399584 0.03941888064158801 #140, triangle 47
0.03563026103845814 0.04214036386828627 #141, triangle 47
0.036007836937513645 0.03905785393143006 #142, triangle 48
0.038060907318057204 0.03787182259617084 #143, triangle 48
0.03593299564814173 0.03917256090910591 #144, triangle 48
0.03887269003967591 0.03832401507319532 #145, triangle 49
0.03578664650350092 0.04029781221032992 #146, triangle 49
0.03600788150270507 0.039968002598267924 #147, triangle 49
0.03623467521097206 0.045414483852572206 #148, triangle 50
0.042297389490744866 0.042152163189369846 #149, triangle 50
0.03617115669389001 0.045498797002925286 #150, triangle 50
0.03628160206088248 0.037072585889991745 #151, triangle 51
0.037046580015383586 0.036325847606469897 #152, triangle 51
0.03655386922809601 0.03662411016671237 #153, triangle 51
0.036048449418550364 0.03664036341898044 #154, triangle 52
0.03605482889272105 0.03662990030661186 #155, triangle 52
