ASPECT RATIOS FOR JACOBIAN
1.1216216216216204 #1, triangle 1
1.1 #2, triangle 1
1.249999999999999 #3, triangle 1
1.1440079423920406 #4, triangle 2
1.2226726001307395 #5, triangle 2
1.2845311986636445 #6, triangle 2
1.0828221436843362 #7, triangle 3
1.182360002087254 #8, triangle 3
1.128125690365236 #9, triangle 3
1.0339413164155438 #10, triangle 4
1.0557863501483684 #11, triangle 4
1.0152131611533701 #12, triangle 4
1.0685702894578646 #13, triangle 5
1.5024467257268728 #14, triangle 5
1.3517739406523674 #15, triangle 5
1.0036438525047366 #16, triangle 6
1.1813856371439602 #17, triangle 6
1.1973659643785803 #18, triangle 6
1.0526315789473695 #19, triangle 7
1.0379746835443036 #20, triangle 7
1.1206896551724144 #21, triangle 7
1.222222222222222 #22, triangle 8
1.1794871794871802 #23, triangle 8
1.0303030303030312 #24, triangle 8
1.081081081081082 #25, triangle 9
1.0545454545454542 #26, triangle 9
1.1549295774647887 #27, triangle 9
1.5502165029842778 #28, triangle 10
1.2918470858202316 #29, triangle 10
1.5502165029842778 #30, triangle 10
1.2326832548755882 #31, triangle 11
1.060876020786934 #32, triangle 11
1.6158088235294126 #33, triangle 11
1.9426362597978584 #34, triangle 12
1.1918653340680407 #35, triangle 12
1.4814693755138824 #36, triangle 12
1.5555555555555547 #37, triangle 13
1.2222222222222214 #38, triangle 13
1.166666666666667 #39, triangle 13
5.4 #40, triangle 14
5.4 #41, triangle 14
4.499999999999999 #42, triangle 14
8.1 #43, triangle 15
8.1 #44, triangle 15
6.750000000000001 #45, triangle 15
1.8863976083707024 #46, triangle 16
1.2437810945273629 #47, triangle 16
1.544715447154471 #48, triangle 16
1.0 #49, triangle 17
1.0833333333333333 #50, triangle 17
1.375 #51, triangle 17
1.7720042417815478 #52, triangle 18
1.4307004470938904 #53, triangle 18
1.2909367859862912 #54, triangle 18
14.39999999999996 #55, triangle 19
14.39999999999999 #56, triangle 19
12.000000000000043 #57, triangle 19
1.494687310261081 #58, triangle 20
1.6542430618174502 #59, triangle 20
1.2520377064285204 #60, triangle 20
1.414481038782353 #61, triangle 21
1.1507633587786277 #62, triangle 21
1.9024113117030645 #63, triangle 21
1.4666666666666668 #64, triangle 22
1.4133333333333327 #65, triangle 22
1.3333333333333335 #66, triangle 22
1.321590682126001 #67, triangle 23
1.6534311608898813 #68, triangle 23
1.7980492256385392 #69, triangle 23
1.2857142857142865 #70, triangle 24
1.5428571428571423 #71, triangle 24
1.5428571428571423 #72, triangle 24
2.5030303030303025 #73, triangle 25
5.293333333333329 #74, triangle 25
1.6236559139784945 #75, triangle 25
1.4102564102564092 #76, triangle 26
2.490909090909091 #77, triangle 26
1.7500000000000004 #78, triangle 26
1.4565730877926948 #79, triangle 27
1.4921018163486437 #80, triangle 27
1.317436364782099 #81, triangle 27
1.0475638051044083 #82, triangle 28
1.13402463365951 #83, triangle 28
1.3189093403452605 #84, triangle 28
1.8032072273713782 #85, triangle 29
1.6580670606070846 #86, triangle 29
1.323251036573822 #87, triangle 29
1.2262325044387705 #88, triangle 30
1.0959671594632683 #89, triangle 30
1.1251608262659596 #90, triangle 30
10.671794256403388 #91, triangle 31
10.671794256403388 #92, triangle 31
8.893161880336208 #93, triangle 31
1.018190906213246 #94, triangle 32
1.3107348614393761 #95, triangle 32
1.0963730837930694 #96, triangle 32
1.954700189480481 #97, triangle 33
1.6289168245670673 #98, triangle 33
1.954700189480481 #99, triangle 33
1.0862953138815208 #100, triangle 34
1.0498442367601246 #101, triangle 34
1.051917404129794 #102, triangle 34
1.142415817114612 #103, triangle 35
1.2025005581603039 #104, triangle 35
1.1678825156153143 #105, triangle 35
1.575282969429795 #106, triangle 36
1.8644607337645651 #107, triangle 36
1.785759306499663 #108, triangle 36
1.5764206995192898 #109, triangle 37
1.3455166316275726 #110, triangle 37
1.696015291692968 #111, triangle 37
1.184925853021161 #112, triangle 38
1.4892488802612056 #113, triangle 38
1.4240870098504912 #114, triangle 38
1.8161523639564372 #115, triangle 39
1.783847636043563 #116, triangle 39
1.5807618197821869 #117, triangle 39
1.95814320894884 #118, triangle 40
1.95814320894884 #119, triangle 40
1.6317860074573665 #120, triangle 40
1.182360002087254 #121, triangle 41
1.0828221436843362 #122, triangle 41
1.128125690365236 #123, triangle 41
1.3035120497556862 #124, triangle 42
1.5642144597068235 #125, triangle 42
1.5642144597068235 #126, triangle 42
1.7841714662623942 #127, triangle 43
