SKEWS FOR JACOBIAN
-0.0945945945945949 #1, triangle 1
0.3571428571428573 #2, triangle 1
-1.0357142857142851 #3, triangle 1
1.0321243577622896 #4, triangle 2
-0.46391821508443276 #5, triangle 2
0.36997108714225174 #6, triangle 2
0.6031674354597887 #7, triangle 3
-0.4171254353891058 #8, triangle 3
-0.04235936833930549 #9, triangle 3
-0.30019941708851017 #10, triangle 4
0.09162450815064616 #11, triangle 4
0.8334204565255267 #12, triangle 4
0.5239488845867903 #13, triangle 5
-1.0624018631810792 #14, triangle 5
-0.2501706334323512 #15, triangle 5
-0.9054878277528025 #16, triangle 6
-0.34026306948644386 #17, triangle 6
0.45431612758637463 #18, triangle 6
-0.25 #19, triangle 7
0.1341463414634147 #20, triangle 7
1.0172413793103452 #21, triangle 7
-0.27272727272727276 #22, triangle 8
0.06521739130434778 #23, triangle 8
0.7941176470588228 #24, triangle 8
0.12500000000000028 #25, triangle 9
-1.051724137931035 #26, triangle 9
-0.23170731707317085 #27, triangle 9
0.5167388343280926 #28, triangle 10
1.2918470858202316 #29, triangle 10
-0.5167388343280926 #30, triangle 10
-0.18603382433169655 #31, triangle 11
0.4684484038604309 #32, triangle 11
-0.4869169510807734 #33, triangle 11
0.4412444002775127 #34, triangle 12
-0.337772343913349 #35, triangle 12
0.17944355232185988 #36, triangle 12
-0.21428571428571438 #37, triangle 13
0.27272727272727293 #38, triangle 13
0.8571428571428569 #39, triangle 13
-0.03703703703703704 #40, triangle 14
0.03703703703703704 #41, triangle 14
0.22222222222222224 #42, triangle 14
-2.6999999999999997 #43, triangle 15
2.6999999999999997 #44, triangle 15
6.750000000000001 #45, triangle 15
0.8998505231689082 #46, triangle 16
-0.9054726368159213 #47, triangle 16
-0.30429732868757287 #48, triangle 16
-0.3333333333333333 #49, triangle 17
0.08333333333333333 #50, triangle 17
1.125 #51, triangle 17
-0.4949132256134051 #52, triangle 18
-0.1927083333333336 #53, triangle 18
0.3038348082595871 #54, triangle 18
-0.013888888888888692 #55, triangle 19
0.01388888888888884 #56, triangle 19
0.08333333333333326 #57, triangle 19
0.08758348512446837 #58, triangle 20
0.8410980863640904 #59, triangle 20
-0.8008363455950102 #60, triangle 20
0.15504342591796383 #61, triangle 21
0.6719292158223457 #62, triangle 21
-1.0987249084711503 #63, triangle 21
-0.13636363636363635 #64, triangle 22
0.14150943396226423 #65, triangle 22
-0.7499999999999999 #66, triangle 22
-1.249835421668136 #67, triangle 23
-0.5103213559493324 #68, triangle 23
0.6441575070585066 #69, triangle 23
0.7777777777777773 #70, triangle 24
-0.12962962962962857 #71, triangle 24
0.12962962962962937 #72, triangle 24
0.26876513317191275 #73, triangle 25
0.40050377833753165 #74, triangle 25
-0.019867549668874294 #75, triangle 25
3.41025641025641 #76, triangle 26
0.6363636363636369 #77, triangle 26
1.4642857142857146 #78, triangle 26
-0.5802676387467628 #79, triangle 27
0.40262399596701615 #80, triangle 27
1.139792722002351 #81, triangle 27
