TAPERS FOR JACOBIAN
0.2972972972972963 0.22891566265060256 #1, triangle 1
0.3714285714285717 -0.16883116883116894 #2, triangle 1
-0.0714285714285711 0.457142857142857 #3, triangle 1
-0.5209781721180786 0.02444991430649702 #4, triangle 2
0.21268115338419183 -0.34485740807367965 #5, triangle 2
-0.18690365470723266 -0.3220050800492717 #6, triangle 2
-0.13328925784217496 -0.413280763866288 #7, triangle 3
0.4193135670957524 0.12670189233567253 #8, triangle 3
0.2571752360782531 -0.2619466729128036 #9, triangle 3
0.39438564196962717 0.1724028548770819 #10, triangle 4
0.2774030354131536 -0.22581602373887247 #11, triangle 4
-0.10402509147935202 -0.4615248540597914 #12, triangle 4
0.26518667035417903 0.3725817547418 #13, triangle 5
-0.6424915882726641 -0.07322137534242638 #14, triangle 5
-0.12212177403673127 0.2962670987191127 #15, triangle 5
-0.48159574535901223 -0.02444991430649702 #16, triangle 6
-0.21204473215134723 0.3220050800492717 #17, triangle 6
0.18758131862145902 0.34485740807367965 #18, triangle 6
0.3499999999999996 0.18421052631578955 #19, triangle 7
0.31707317073170754 -0.21518987341772158 #20, triangle 7
-0.03448275862068991 -0.4769230769230768 #21, triangle 7
-0.36363636363636387 -0.16666666666666666 #22, triangle 8
-0.30434782608695615 0.23076923076923078 #23, triangle 8
0.05882352941176445 0.45454545454545453 #24, triangle 8
-0.3499999999999996 0.21621621621621634 #25, triangle 9
0.03448275862068991 -0.5272727272727271 #26, triangle 9
-0.31707317073170754 -0.1830985915492959 #27, triangle 9
-0.2 -0.3333333333333333 #28, triangle 10
-0.5 0.0 #29, triangle 10
0.2 -0.3333333333333333 #30, triangle 10
-0.3060556464811785 0.30733019502353726 #31, triangle 11
0.055679287305122595 0.3603918824352695 #32, triangle 11
-0.36177474402730353 -0.053308823529411485 #33, triangle 11
-0.38389202086943525 0.035705657147039764 #34, triangle 12
0.08989574090990582 -0.3506447868793064 #35, triangle 12
-0.28633863146839367 -0.3164600318495654 #36, triangle 12
-0.285714285714286 0.3333333333333333 #37, triangle 13
0.09090909090909113 0.3333333333333333 #38, triangle 13
0.7142857142857139 0.0 #39, triangle 13
-0.3333333333333333 -0.20000000000000004 #40, triangle 14
-0.3333333333333333 0.20000000000000004 #41, triangle 14
0.0 0.49999999999999983 #42, triangle 14
0.19999999999999998 -0.3333333333333333 #43, triangle 15
-0.19999999999999998 -0.3333333333333333 #44, triangle 15
-0.5000000000000001 0.0 #45, triangle 15
-0.08520179372197302 -0.36925515055467506 #46, triangle 16
0.38059701492537307 0.06799999999999991 #47, triangle 16
0.2891986062717769 -0.29924812030075193 #48, triangle 16
0.3333333333333333 0.16666666666666666 #49, triangle 17
0.3333333333333333 -0.23076923076923078 #50, triangle 17
