ASPECT RATIOS FOR SHAPE PARAMETERS
1.135416666666663 #1, triangle 1
1.1354166666666603 #2, triangle 1
1.0416666666666639 #3, triangle 1
1.0976162516027692 #4, triangle 2
1.1743811766981755 #5, triangle 2
1.2437119574362692 #6, triangle 2
1.1317020600422487 #7, triangle 3
1.0405290514865915 #8, triangle 3
1.1317020600421819 #9, triangle 3
1.1126017115600484 #10, triangle 4
1.053479236812578 #11, triangle 4
1.151490600448934 #12, triangle 4
1.2293533681058255 #13, triangle 5
1.4894547899599848 #14, triangle 5
1.4116932818917562 #15, triangle 5
1.0124908494459683 #16, triangle 6
1.1505840901791553 #17, triangle 6
1.1413075186013388 #18, triangle 6
1.0119047619047639 #19, triangle 7
1.0186011904761896 #20, triangle 7
1.0186011904761902 #21, triangle 7
1.1403508771929844 #22, triangle 8
1.165021929824622 #23, triangle 8
1.0334429824561182 #24, triangle 8
1.0416666666666667 #25, triangle 9
1.1354166666666599 #26, triangle 9
1.135416666666665 #27, triangle 9
1.4775181410678804 #28, triangle 10
1.0329662552312238 #29, triangle 10
1.4775181410678082 #30, triangle 10
1.3444761595346428 #31, triangle 11
1.2137790463813807 #32, triangle 11
1.4787354187939048 #33, triangle 11
1.590636564270776 #34, triangle 12
1.0556732861709865 #35, triangle 12
1.5906365642708329 #36, triangle 12
1.7083333333333324 #37, triangle 13
1.0833333333333335 #38, triangle 13
1.7083333333333355 #39, triangle 13
5.0694444444444455 #40, triangle 14
5.0694444444444455 #41, triangle 14
2.361111111111113 #42, triangle 14
7.598379629629623 #43, triangle 15
7.598379629629632 #44, triangle 15
3.4490740740740753 #45, triangle 15
1.6103707107843128 #46, triangle 16
1.0600490196078436 #47, triangle 16
1.6103707107843102 #48, triangle 16
1.0000000000000044 #49, triangle 17
1.1562499999999956 #50, triangle 17
1.15625 #51, triangle 17
1.3444761595346324 #52, triangle 18
1.4787354187938975 #53, triangle 18
1.2137790463813898 #54, triangle 18
13.50260416666686 #55, triangle 19
13.50260416666686 #56, triangle 19
6.041666666666751 #57, triangle 19
1.532227724447846 #58, triangle 20
1.562768701991621 #59, triangle 20
1.2364389296853238 #60, triangle 20
1.5346735612776121 #61, triangle 21
1.0439074152244305 #62, triangle 21
1.5346735612775984 #63, triangle 21
1.4265046296296295 #64, triangle 22
1.3265046296296275 #65, triangle 22
1.1574074074074066 #66, triangle 22
1.1087015080691043 #67, triangle 23
1.6264838683359855 #68, triangle 23
1.6571447210509687 #69, triangle 23
1.03174603174603 #70, triangle 24
1.4707341269841263 #71, triangle 24
1.4707341269841263 #72, triangle 24
3.1751736111111124 #73, triangle 25
3.1751736111111106 #74, triangle 25
1.5840277777777656 #75, triangle 25
2.825000000000002 #76, triangle 26
2.8250000000000006 #77, triangle 26
1.4500000000000015 #78, triangle 26
1.374518998164667 #79, triangle 27
1.4411353642070712 #80, triangle 27
1.1133022109998494 #81, triangle 27
1.129878534448434 #82, triangle 28
1.140808567303861 #83, triangle 28
1.2289208731580992 #84, triangle 28
1.662970507300759 #85, triangle 29
1.6303406549004225 #86, triangle 29
1.1125330634483797 #87, triangle 29
1.041666666666672 #88, triangle 30
1.1354166666666778 #89, triangle 30
1.1354166666666803 #90, triangle 30
10.00832105118869 #91, triangle 31
10.008321051188373 #92, triangle 31
4.502803913136297 #93, triangle 31
1.0280448164590494 #94, triangle 32
1.1211370498045767 #95, triangle 32
1.1416840983071423 #96, triangle 32
1.8517159553736156 #97, triangle 33
1.121410856054194 #98, triangle 33
1.8517159553736116 #99, triangle 33
1.1126017115600466 #100, triangle 34
1.1514906004489336 #101, triangle 34
1.053479236812572 #102, triangle 34
1.1408085673038655 #103, triangle 35
1.1298785344484303 #104, triangle 35
1.228920873158103 #105, triangle 35
1.256536792794053 #106, triangle 36
1.6464823552666656 #107, triangle 36
1.7697706104232176 #108, triangle 36
1.5915453973093914 #109, triangle 37
1.2743637515087605 #110, triangle 37
1.5191431319536335 #111, triangle 37
1.0187080470636798 #112, triangle 38
1.3904350657642097 #113, triangle 38
1.390435065764175 #114, triangle 38
1.7387549005752865 #115, triangle 39
1.6781835357386488 #116, triangle 39
1.1662693102936976 #117, triangle 39
1.8549100538107421 #118, triangle 40
1.8549100538107421 #119, triangle 40
1.1223057304679571 #120, triangle 40
1.0405290514866123 #121, triangle 41
1.131702060042255 #122, triangle 41
1.1317020600422538 #123, triangle 41
1.0353351410768152 #124, triangle 42
1.4904247507375812 #125, triangle 42
1.490424750737556 #126, triangle 42
1.6787853234504608 #127, triangle 43
1.7381423249664814 #128, triangle 43
1.1645638560237148 #129, triangle 43
1.0144224453307007 #130, triangle 44
1.3593546616343084 #131, triangle 44
1.3593546616343142 #132, triangle 44
1.4990403720383403 #133, triangle 45
1.253459369523173 #134, triangle 45
1.3885126667672645 #135, triangle 45
1.4669334461154537 #136, triangle 46
1.0366304359520633 #137, triangle 46
1.4708361370919685 #138, triangle 46
1.1354166666666314 #139, triangle 47
1.0416666666666616 #140, triangle 47
1.1354166666666556 #141, triangle 47
6.608446229528326 #142, triangle 48
