SKEWS FOR SHAPE PARAMETERS
1.5700249101602273 #1, triangle 1
1.5715677434295658 #2, triangle 1
1.5738819979241674 #3, triangle 1
1.5703037392199413 #4, triangle 2
1.5745195608695093 #5, triangle 2
1.5689349319059462 #6, triangle 2
1.5699690802832598 #7, triangle 3
1.5676175883231136 #8, triangle 3
1.5716235733065342 #9, triangle 3
1.5687778167624316 #10, triangle 4
1.5709875080607736 #11, triangle 4
1.5695052062568606 #12, triangle 4
1.5650911043114837 #13, triangle 5
1.570875194046539 #14, triangle 5
1.5696799168082591 #15, triangle 5
1.5706800460315853 #16, triangle 6
1.5732665914393842 #17, triangle 6
1.568062508934054 #18, triangle 6
1.5690330880340198 #19, triangle 7
1.5723815461003112 #20, triangle 7
1.5692111074894821 #21, triangle 7
1.5677581276763601 #22, triangle 8
1.573122446514131 #23, triangle 8
1.5707488550066844 #24, triangle 8
1.5738819979241674 #25, triangle 9
1.5715677434295658 #26, triangle 9
1.5700249101602273 #27, triangle 9
1.5657899694732218 #28, triangle 10
1.5672307794023934 #29, triangle 10
1.5758026841165713 #30, triangle 10
1.5760076523181374 #31, triangle 11
1.5728991982202847 #32, triangle 11
1.5689338795135468 #33, triangle 11
1.5737550274798486 #34, triangle 12
1.568358910484903 #35, triangle 12
1.5678376261099445 #36, triangle 12
1.576764244164873 #37, triangle 13
1.5762217006327712 #38, triangle 13
1.576764244164873 #39, triangle 13
1.5449688026905395 #40, triangle 14
1.5966238508992538 #41, triangle 14
1.6042226900031937 #42, triangle 14
1.5969253608138325 #43, triangle 15
1.5446672927759608 #44, triangle 15
1.5364049026096278 #45, triangle 15
1.5653250934928866 #46, triangle 16
1.575391875799879 #47, triangle 16
1.5762675600969065 #48, triangle 16
1.5707963267948966 #49, triangle 17
1.5729325588884242 #50, triangle 17
1.568660094701369 #51, triangle 17
1.565585001271656 #52, triangle 18
1.5726587740762465 #53, triangle 18
1.5728991982202847 #54, triangle 18
1.5591112192993715 #55, triangle 19
1.5824814342904217 #56, triangle 19
1.5863134425470897 #57, triangle 19
1.572061366739185 #58, triangle 20
1.5699826980952132 #59, triangle 20
1.5780216244458642 #60, triangle 20
1.567935595591673 #61, triangle 21
1.568584746651364 #62, triangle 21
1.5736570579981202 #63, triangle 21
1.5678547671057417 #64, triangle 22
1.577155893859679 #65, triangle 22
1.568219284011921 #66, triangle 22
1.5757179957288527 #67, triangle 23
1.5769722651008486 #68, triangle 23
1.565566289246467 #69, triangle 23
1.5742685559941978 #70, triangle 24
1.5658660225325025 #71, triangle 24
1.5757266310572908 #72, triangle 24
1.5638578548417257 #73, triangle 25
1.5777347987480674 #74, triangle 25
1.5622651662125335 #75, triangle 25
1.5643401187485988 #76, triangle 26
1.5643401187485988 #77, triangle 26
1.563048853456921 #78, triangle 26
1.5766662122479955 #79, triangle 27
1.567150363721148 #80, triangle 27
1.5678757193573676 #81, triangle 27
1.574091174042937 #82, triangle 28
1.5709109172188342 #83, triangle 28
1.5697243719314564 #84, triangle 28
1.5655651401267796 #85, triangle 29
1.577035295324826 #86, triangle 29
1.5757652623070098 #87, triangle 29
1.5739209605379763 #88, triangle 30
1.571577484038993 #89, triangle 30
1.5700151695508002 #90, triangle 30
1.582453602090574 #91, triangle 31
1.5591390514992194 #92, triangle 31
1.5553682786775933 #93, triangle 31
1.5705612873929784 #94, triangle 32
1.5684813661569086 #95, triangle 32
1.5726296465566048 #96, triangle 32
1.5652396309931191 #97, triangle 33
1.5653196518570334 #98, triangle 33
1.576353022596674 #99, triangle 33
1.5687778167624316 #100, triangle 34
1.5695052062568606 #101, triangle 34
1.5709875080607736 #102, triangle 34
1.5706817363709589 #103, triangle 35
1.5675014795468563 #104, triangle 35
1.5697243719314564 #105, triangle 35
1.5759883129982606 #106, triangle 36
1.563157329247428 #107, triangle 36
1.5747669097218786 #108, triangle 36
1.5713100017329196 #109, triangle 37
1.5779027187059023 #110, triangle 37
1.569239011221427 #111, triangle 37
1.5728540264123365 #112, triangle 38
1.56734362158686 #113, triangle 38
1.574249032002933 #114, triangle 38
1.5753313499597463 #115, triangle 39
1.5646050313634652 #116, triangle 39
1.5756536799910772 #117, triangle 39
1.565235993983001 #118, triangle 40
1.5763566596067922 #119, triangle 40
1.5762846401602533 #120, triangle 40
1.5739750652666797 #121, triangle 41
1.5716235733065336 #122, triangle 41
1.5699690802832598 #123, triangle 41
1.567135798150049 #124, triangle 42
1.575832365938361 #125, triangle 42
1.5657602876514323 #126, triangle 42
1.5646213182466542 #127, triangle 43
1.5753482688095697 #128, triangle 43
1.5756546913683525 #129, triangle 43
1.5725888953356497 #130, triangle 44
1.5740823487261058 #131, triangle 44
1.5675103048636874 #132, triangle 44
1.5706200724462085 #133, triangle 45
1.5650576275546642 #134, triangle 45
1.569470508243957 #135, triangle 45
1.5658080672500256 #136, triangle 46
1.5742545512054458 #137, triangle 46
1.575659922747245 #138, triangle 46
1.5715558754790402 #139, triangle 47
1.5677581276763601 #140, triangle 47
