TAPERS FOR SHAPE PARAMETERS
0.027399883478540405 0.024196075435088567 #1, triangle 1
0.02739988347854036 0.024196075435088865 #2, triangle 1
0.026244328607742576 0.02624432860774252 #3, triangle 1
0.028098558488287233 0.025623056287706218 #4, triangle 2
0.029064530827941287 0.026011640199811465 #5, triangle 2
0.029910156186438473 0.02436160793413445 #6, triangle 2
0.0247763054403439 0.02796119895642398 #7, triangle 3
0.026811236378669986 0.026811236378669834 #8, triangle 3
0.024776305440343847 0.027961198956424172 #9, triangle 3
0.023609778923799382 0.021882746525549633 #10, triangle 4
0.021813861301720226 0.022973917059688678 #11, triangle 4
0.021127751782719986 0.024018852614065885 #12, triangle 4
0.025654582914955155 0.02706044721245291 #13, triangle 5
0.02978586828269652 0.019998517807908404 #14, triangle 5
0.028997915228610907 0.020681683479889645 #15, triangle 5
0.02775791516269851 0.027416722784162247 #16, triangle 6
0.029590375262185976 0.02624163897010124 #17, triangle 6
0.029470847814807393 0.026464870008363988 #18, triangle 6
0.02684313558344832 0.02684313558344816 #19, triangle 7
0.026694693142670468 0.02693180832275153 #20, triangle 7
0.026694693142670513 0.026931808322751258 #21, triangle 7
0.026811536825486943 0.029692068361956647 #22, triangle 8
0.02621200799374663 0.03001153794691661 #23, triangle 8
0.027351499397916628 0.02826600696105771 #24, triangle 8
0.026244328607742774 0.02624432860774252 #25, triangle 9
0.024196075435088477 0.027399883478540377 #26, triangle 9
0.024196075435088657 0.027399883478540256 #27, triangle 9
0.035663102315031225 0.02568228946155918 #28, triangle 10
0.02981918543516443 0.029819185435164257 #29, triangle 10
0.035663102315031225 0.025682289461559076 #30, triangle 10
0.024799929767006648 0.029971209173450242 #31, triangle 11
0.028477216029775376 0.023911249487539095 #32, triangle 11
0.02157623758858346 0.03143206757597091 #33, triangle 11
0.01818896760117822 0.02676331425445122 #34, triangle 12
0.021803146795906964 0.0218031467959076 #35, triangle 12
0.018188967601178326 0.026763314254450995 #36, triangle 12
0.02400923035753352 0.03728599235228232 #37, triangle 13
0.029692068361956765 0.029692068361956862 #38, triangle 13
0.03728599235228201 0.024009230357533582 #39, triangle 13
0.026811536825486978 0.07036070878180363 #40, triangle 14
0.026811536825486978 0.07036070878180363 #41, triangle 14
0.048018460715067116 0.04801846071506702 #42, triangle 14
0.07033393020470342 0.024993368140430704 #43, triangle 15
0.07033393020470353 0.024993368140430603 #44, triangle 15
0.047386611333181186 0.0473866113331814 #45, triangle 15
0.036263941685858087 0.024413535029988703 #46, triangle 16
0.029422193713012496 0.029422193713012836 #47, triangle 16
0.036263941685857885 0.02441353502998872 #48, triangle 16
0.024705294220065465 0.024705294220065427 #49, triangle 17
0.026565372087373914 0.023518739411703703 #50, triangle 17
0.026565372087373914 0.023518739411703703 #51, triangle 17
0.024799929767006866 0.029971209173450388 #52, triangle 18
0.02157623758858333 0.031432067575970724 #53, triangle 18
0.023911249487539043 0.028477216029775296 #54, triangle 18
0.0159604826460038 0.04687952090467412 #55, triangle 19
0.0159604826460038 0.046879520904674565 #56, triangle 19
0.03135831921560449 0.03135831921560449 #57, triangle 19
0.03179671465878723 0.020900395567460688 #58, triangle 20
0.0321120435310865 0.020609104029197488 #59, triangle 20
0.027993088415201543 0.028563204331121576 #60, triangle 20
0.026610277629719348 0.01859568040364804 #61, triangle 21
0.021946859897731437 0.021946859897731402 #62, triangle 21
0.026610277629719042 0.01859568040364751 #63, triangle 21
0.025839465654252804 0.03613867726428152 #64, triangle 22
0.02864028414527889 0.03484897789084885 #65, triangle 22
0.02855691692638206 0.0325520833333335 #66, triangle 22
0.029130713503689613 0.030268163271126417 #67, triangle 23
0.03666094276119981 0.024877820540875572 #68, triangle 23
0.03700487722726612 0.02401414022520017 #69, triangle 23
0.029692068361956453 0.029692068361956453 #70, triangle 24
0.02562326647676321 0.03545039945328661 #71, triangle 24
