ASPECT RATIOS FOR JACOBIAN
1.0 #1, triangle 1
4.0 #2, triangle 1
-0.7999999999999998 #3, triangle 1
1.1982014388489215 #4, triangle 2
8.992805755395684 #5, triangle 2
-0.4448889777955589 #6, triangle 2
1.8764070238631227 #7, triangle 3
6.331733653269346 #8, triangle 3
-0.7061315259980936 #9, triangle 3
2.2211115553778504 #10, triangle 4
6.000900090009001 #11, triangle 4
-0.7617415152553993 #12, triangle 4
-0.8748874887488751 #13, triangle 5
1.427653559496274 #14, triangle 5
-0.20036003600360033 #15, triangle 5
1.4383443518252366 #16, triangle 6
2.3449248120300745 #17, triangle 6
-0.2918163672654697 #18, triangle 6
463.5185185185696 #19, triangle 7
-0.2172743055555558 #20, triangle 7
1.2184495557989525 #21, triangle 7
8.739092495636996 #22, triangle 8
-0.3368651194080051 #23, triangle 8
2.1331203407880768 #24, triangle 8
5.90159104301709 #25, triangle 9
-0.6318611987381709 #26, triangle 9
5.212752114508793 #27, triangle 9
1.162755866200698 #28, triangle 10
16.974576271186585 #29, triangle 10
-0.4407388916625063 #30, triangle 10
16.097875080489388 #31, triangle 11
-0.7780000000000001 #32, triangle 11
9.465215333648839 #33, triangle 11
-0.5830833833233355 #34, triangle 12
4.666466706658667 #35, triangle 12
3.6658668266346726 #36, triangle 12
-0.6877812781278128 #37, triangle 13
4.750225022502251 #38, triangle 13
4.000900090009001 #39, triangle 13
1.213015230588987 #40, triangle 14
1.4042467138523766 #41, triangle 14
-0.6800468004680045 #42, triangle 14
11.831519167061103 #43, triangle 15
-0.22219999999999948 #44, triangle 15
-0.0055999999999997154 #45, triangle 15
2.7768892443022795 #46, triangle 16
-0.749820014398848 #47, triangle 16
-0.00014398848092151044 #48, triangle 16
-0.00027367268746560856 #49, triangle 17
1.2004110996916744 #50, triangle 17
-0.4111202410298551 #51, triangle 17
-0.7105737316263643 #52, triangle 18
4.519607843137253 #53, triangle 18
3.9958095238095384 #54, triangle 18
25.688524590163958 #55, triangle 19
1.3572975313988729 #56, triangle 19
-0.28040842373963026 #57, triangle 19
13.49698535745049 #58, triangle 20
1.7880473541577522 #59, triangle 20
-0.24467134652201664 #60, triangle 20
59.25249169435213 #61, triangle 21
1.3652282078270022 #62, triangle 21
-0.2631903560414916 #63, triangle 21
3.1233435270132563 #64, triangle 22
3.0283099799828412 #65, triangle 22
-0.9017848434604504 #66, triangle 22
-0.37556255625562557 #67, triangle 23
4.5004500450045 #68, triangle 23
3.001800180018002 #69, triangle 23
-0.2454068241469816 #70, triangle 24
1.9410382898754945 #71, triangle 24
-0.6917414308718677 #72, triangle 24
3.8619979402677536 #73, triangle 25
-0.7712082262210828 #74, triangle 25
10.771992818671222 #75, triangle 25
2.997601918465223 #76, triangle 26
1.7985611510791337 #77, triangle 26
-0.27800000000000047 #78, triangle 26
-0.09283333333333534 #79, triangle 27
2.456600065509343 #80, triangle 27
-0.2589333333333341 #81, triangle 27
1.9282868525896388 #82, triangle 28
5.81981981981982 #83, triangle 28
-0.30148095909732064 #84, triangle 28
1.352173913043479 #85, triangle 29
-0.20302713987473986 #86, triangle 29
4.945121951219502 #87, triangle 29
2.75471698113209 #88, triangle 30
2.4109589041095973 #89, triangle 30
-0.6249999999999977 #90, triangle 30
1.6000000000000059 #91, triangle 31
4.802631578947336 #92, triangle 31
-0.36301369863013505 #93, triangle 31
1.6706730769230869 #94, triangle 32
-0.16671664167916012 #95, triangle 32
1.3325344517675284 #96, triangle 32
1.2500000000000029 #97, triangle 33
-0.9999999999999858 #98, triangle 33
-0.2499999999999965 #99, triangle 33
-0.33313343328335554 #100, triangle 34
3.338341346153843 #101, triangle 34
2.6626722588376293 #102, triangle 34
1.0949278734295023 #103, triangle 35
-0.39926739926740423 #104, triangle 35
-0.9533011272141735 #105, triangle 35
-0.1205630354957164 #106, triangle 36
2.38922888616893 #107, triangle 36
1.3684210526315903 #108, triangle 36
2.616747181964593 #109, triangle 37
3.6882882882882924 #110, triangle 37
-0.2131398013750962 #111, triangle 37
3.9224137931034524 #112, triangle 38
-0.9257095158597639 #113, triangle 38
11.370407149950381 #114, triangle 38
-0.07043670758703995 #115, triangle 39
207.3076923077017 #116, triangle 39
2.2256875531613245 #117, triangle 39
77.67500000000216 #118, triangle 40
-0.0228273464658171 #119, triangle 40
1.3552951580809212 #120, triangle 40
4.760901162790696 #121, triangle 41
1.7922651933701659 #122, triangle 41
-0.36082474226804373 #123, triangle 41
3.2674650698602776 #124, triangle 42
3.954106280193242 #125, triangle 42
-0.3053145998778251 #126, triangle 42
1.4524444444444313 #127, triangle 43
3.1964006259780953 #128, triangle 43
-0.290544675642595 #129, triangle 43
3.4912187333688256 #130, triangle 44
2.9026548672566013 #131, triangle 44
-0.6707317073170754 #132, triangle 44
1.598440545808969 #133, triangle 45
-0.7417458163726788 #134, triangle 45
-0.4227893787058502 #135, triangle 45
6.151537884471137 #136, triangle 46
1.0374822078127481 #137, triangle 46
-0.44658536585365877 #138, triangle 46
1.5253203172666245 #139, triangle 47
-0.4738438210765713 #140, triangle 47
-0.3600230414746532 #141, triangle 47
-0.24552316116619757 #142, triangle 48
3.6324404761904714 #143, triangle 48
-0.13416934857396515 #144, triangle 48
-0.9798978940650919 #145, triangle 49
9.1051714119698 #146, triangle 49
8.609890109890113 #147, triangle 49
5.477709790209804 #148, triangle 50
-0.07462686567164001 #149, triangle 50
-0.5557335041639961 #150, triangle 50
-0.14239284988827935 #151, triangle 51
-0.05682171024032783 #152, triangle 51
1.6300336700336695 #153, triangle 51
6.737542955326449 #154, triangle 52
5.355527102005986 #155, triangle 52
-0.17003506534905918 #156, triangle 52
6.080950072709648 #157, triangle 53
76.87804878049617 #158, triangle 53
-0.4659200000000029 #159, triangle 53
6.571787358727492 #160, triangle 54
5.924528301886775 #161, triangle 54
-0.16656050955414003 #162, triangle 54
5.340136054421764 #163, triangle 55
-0.008359872611465109 #164, triangle 55
-0.1308917197452225 #165, triangle 55
1.619333858888452 #166, triangle 56
-0.1615032564689316 #167, triangle 56
-0.4730153490675031 #168, triangle 56
1.3380447585394595 #169, triangle 57
-0.23300144668538839 #170, triangle 57
2.1906187624750433 #171, triangle 57
-0.610975609756099 #172, triangle 58
2.9898419864559784 #173, triangle 58
-0.9288840262582062 #174, triangle 58
5.619621903520211 #175, triangle 59
1.404094348019581 #176, triangle 59
-0.40881960536479117 #177, triangle 59
-0.18503184713375773 #178, triangle 60
1.8547770700636959 #179, triangle 60
1.3235668789808925 #180, triangle 60
-0.09285258455647774 #181, triangle 61
6.8818620992533965 #182, triangle 61
-0.06126356094448005 #183, triangle 61
1.3803855990556761 #184, triangle 62
-0.7468622945023851 #185, triangle 62
-0.5355403011514607 #186, triangle 62
4.9910152740341545 #187, triangle 63
1.6255625562556264 #188, triangle 63
-0.7004500450045013 #189, triangle 63
-0.9999999999999978 #190, triangle 64
1.2500000000000029 #191, triangle 64
-0.24999999999999944 #192, triangle 64
2.247751798561146 #193, triangle 65
-0.16671664167916045 #194, triangle 65
-0.11119999999999994 #195, triangle 65
3.3383413461538525 #196, triangle 66
-0.3331334332833576 #197, triangle 66
2.6626722588376253 #198, triangle 66
7.4887690925426735 #199, triangle 67
-0.2727867779414176 #200, triangle 67
1.7150205761316866 #201, triangle 67
-0.22277015437392822 #202, triangle 68
4.7359870024370405 #203, triangle 68
-0.07444253859348196 #204, triangle 68
-0.17608333333333276 #205, triangle 69
4.357931435212083 #206, triangle 69
-0.10353333333333321 #207, triangle 69
107.14285714285623 #208, triangle 70
5.1885160843998674 #209, triangle 70
-0.14086666666666686 #210, triangle 70
-0.20098491843644187 #211, triangle 71
4.547872340425534 #212, triangle 71
-0.0881502000615578 #213, triangle 71
3.8755862749938346 #214, triangle 72
-0.3621815286624197 #215, triangle 72
-0.06012738853503244 #216, triangle 72
5.14800514800515 #217, triangle 73
6.4350064350064295 #218, triangle 73
-0.17759999999999967 #219, triangle 73
-0.7119704293431907 #220, triangle 74
4.582379862700219 #221, triangle 74
3.969422423556056 #222, triangle 74
3.024821683309559 #223, triangle 75
-0.7615727511715621 #224, triangle 75
7.466292134831491 #225, triangle 75
17.265193370165754 #226, triangle 76
1.1389521640091107 #227, triangle 76
-0.34239999999999987 #228, triangle 76
1.0999000000000008 #229, triangle 77
-0.2307337332718034 #230, triangle 77
-0.1999999999999992 #231, triangle 77
2.644758462044035 #232, triangle 78
1.5283723747980609 #233, triangle 78
-0.28127122096971197 #234, triangle 78
10.761625471302876 #235, triangle 79
22.087003222341465 #236, triangle 79
-0.08187726193719114 #237, triangle 79
3.674052894924957 #238, triangle 80
9.827915869980888 #239, triangle 80
-0.10311284046692641 #240, triangle 80
-0.2684824902723745 #241, triangle 81
12.506082725060871 #242, triangle 81
195.80952380952047 #243, triangle 81
2.5011256190904954 #244, triangle 82
-0.6877812781278136 #245, triangle 82
-0.04977497749774914 #246, triangle 82
2.1421228475970184 #247, triangle 83
-0.5830833833233352 #248, triangle 83
-0.1335332933413313 #249, triangle 83
4.799856011519079 #250, triangle 84
2.7768892443022786 #251, triangle 84
-0.9523483030510805 #252, triangle 84
1.4037721324095462 #253, triangle 85
1.3916517590936193 #254, triangle 85
-0.6373789372655091 #255, triangle 85
16.107421874999993 #256, triangle 86
-0.576214833759592 #257, triangle 86
5.4150382327952205 #258, triangle 86
2.516999460334589 #259, triangle 87
11.47637795275592 #260, triangle 87
-0.19845626072041184 #261, triangle 87
1.3987803658902331 #262, triangle 88
42.348668280872246 #263, triangle 88
-0.2619782732990284 #264, triangle 88
-0.9374437443744361 #265, triangle 89
2.2211115553778487 #266, triangle 89
-0.00018001800180135954 #267, triangle 89
1.797533401849951 #268, triangle 90
17.975334018499748 #269, triangle 90
-0.23047455688965168 #270, triangle 90
1.4276535594962738 #271, triangle 91
7.001800180018013 #272, triangle 91
-0.6151716500553702 #273, triangle 91
6.331733653269329 #274, triangle 92
-0.916766646670666 #275, triangle 92
5.332933413317328 #276, triangle 92
-0.3755625562556274 #277, triangle 93
4.5004500450045395 #278, triangle 93
3.0018001800180256 #279, triangle 93
1.1982014388489173 #280, triangle 94
8.992805755395697 #281, triangle 94
-0.44488897779555786 #282, triangle 94
1.0 #283, triangle 95
4.0 #284, triangle 95
-0.7999999999999943 #285, triangle 95
-0.9539048737522031 #286, triangle 96
2.568379446640315 #287, triangle 96
-0.6403232163973199 #288, triangle 96
8.426966292134834 #289, triangle 97
-0.9253333333333317 #290, triangle 97
9.836065573770478 #291, triangle 97
-0.9219773674806424 #292, triangle 98
2.51555352241537 #293, triangle 98
21.562105263157846 #294, triangle 98
#The minimum value is -0.9999999999999978, which is in quad 190 {(0.9814666666666666, 0.018533333333333332)(0.9722, 0.0)(1.0, 0.0)(1.0, 0.0278)}, which is in triangle 64 {(0.9444, 0.0)(1.0, 0.0)(1.0, 0.0556)}
