SKEWS FOR JACOBIAN
-0.2 #1, triangle 1
-1.25 #2, triangle 1
-0.8 #3, triangle 1
-0.1669168417892524 #4, triangle 2
-0.5559999999999999 #5, triangle 2
-0.444888977795559 #6, triangle 2
-0.37528140477262456 #7, triangle 3
-0.7896731406916153 #8, triangle 3
-0.7061315259980936 #9, triangle 3
-0.44422231107557003 #10, triangle 4
-0.8332083395830209 #11, triangle 4
-0.7617415152553995 #12, triangle 4
-1.1430041152263373 #13, triangle 5
-0.28553071189925483 #14, triangle 5
0.9982030548068286 #15, triangle 5
-1.436044840471399 #16, triangle 6
7.049812030075184 #17, triangle 6
-10.258549931600525 #18, triangle 6
-92.70370370371391 #19, triangle 7
1.086371527777779 #20, triangle 7
1.2184495557989525 #21, triangle 7
-1.747818499127399 #22, triangle 8
1.6843255970400255 #23, triangle 8
2.1331203407880768 #24, triangle 8
-1.180318208603418 #25, triangle 9
3.1593059936908543 #26, triangle 9
5.212752114508793 #27, triangle 9
0.8600257621296701 #28, triangle 10
-3.394915254237317 #29, triangle 10
0.45378341640235614 #30, triangle 10
-3.219575016097878 #31, triangle 11
6.426735218508995 #32, triangle 11
9.465215333648839 #33, triangle 11
-1.083383323335333 #34, triangle 12
0.6676664667066585 #35, triangle 12
-2.334133173365326 #36, triangle 12
-1.0624437443744377 #37, triangle 13
0.2488748874887477 #38, triangle 13
-1.9990999099910012 #39, triangle 13
0.3253807647246775 #40, triangle 14
-1.6291203235591507 #41, triangle 14
-0.5882742191635787 #42, triangle 14
-2.3663038334122213 #43, triangle 15
22.50225022502255 #44, triangle 15
-178.57142857143765 #45, triangle 15
-0.8398848092152629 #46, triangle 16
-1.0500359971202302 #47, triangle 16
-0.9599712023038158 #48, triangle 16
1.0960591133004915 #49, triangle 17
0.8578280232956484 #50, triangle 17
0.9600109559024931 #51, triangle 17
-0.9944997629208174 #52, triangle 18
-0.0007541478129700031 #53, triangle 18
-1.711619047619053 #54, triangle 18
0.6569240587109125 #55, triangle 19
0.4706445437141036 #56, triangle 19
0.5504786215698785 #57, triangle 19
0.4795788130185068 #58, triangle 20
0.29363433312061266 #59, triangle 20
0.3733248245054243 #60, triangle 20
0.6624614522007287 #61, triangle 21
0.4990888701990469 #62, triangle 21
0.5691056910569104 #63, triangle 21
-0.32008154943934847 #64, triangle 22
-1.0867799811142587 #65, triangle 22
-0.9473285745187116 #66, triangle 22
-1.124887488748875 #67, triangle 23
1.4977497749774968 #68, triangle 23
-2.9981998199819997 #69, triangle 23
3.2034120734908167 #70, triangle 24
1.5872680291284902 #71, triangle 24
2.072923855532557 #72, triangle 24
-0.7723995880535507 #73, triangle 25
3.856041131105414 #74, triangle 25
10.771992818671222 #75, triangle 25
-0.5995203836930446 #76, triangle 26
-8.992805755395668 #77, triangle 26
-3.597122302158267 #78, triangle 26
-10.771992818671222 #79, triangle 27
-0.4913200131018686 #80, triangle 27
0.7723995880535507 #81, triangle 27
1.5266932270916316 #82, triangle 28
-2.0720720720720736 #83, triangle 28
0.19181286549707635 #84, triangle 28
-2.0771704180064297 #85, triangle 29
-6.221079691516685 #86, triangle 29
-3.4969173859432816 #87, triangle 29
-0.550943396226418 #88, triangle 30
-2.073863636363629 #89, triangle 30
-1.6000000000000059 #90, triangle 30
1.6000000000000059 #91, triangle 31
-0.9605263157894671 #92, triangle 31
0.550943396226418 #93, triangle 31
-0.33413461538461736 #94, triangle 32
0.8335832083958006 #95, triangle 32
1.3325344517675286 #96, triangle 32
-0.25000000000000056 #97, triangle 33
5.000000000000071 #98, triangle 33
-4.000000000000057 #99, triangle 33
2.998199819982024 #100, triangle 34
0.9000900090009011 #101, triangle 34
1.1248874887488742 #102, triangle 34
-0.7892052698682531 #103, triangle 35
-9.299694189602333 #104, triangle 35
-2.3896940418679624 #105, triangle 35
-0.6309669522643826 #106, triangle 36
1.1554467564259583 #107, triangle 36
-1.906976744186061 #108, triangle 36
1.397538461538457 #109, triangle 37
0.10698583292623347 #110, triangle 37
0.24430863254392704 #111, triangle 37
-0.8056514913657775 #112, triangle 38
-1.1038635821607417 #113, triangle 38
-0.9616593886462901 #114, triangle 38
6.254285714285685 #115, triangle 39
0.5302411873840449 #116, triangle 39
0.6396178343949044 #117, triangle 39
-30.475000000000836 #118, triangle 40
0.8066048667439171 #119, triangle 40
0.9815660685154963 #120, triangle 40
-0.2479010838039996 #121, triangle 41
1.3680641183723856 #122, triangle 41
-1.3832625833838763 #123, triangle 41
0.10006108735491752 #124, triangle 42
-0.25656689065363497 #125, triangle 42
-0.10372632864996946 #126, triangle 42
1.492656058751544 #127, triangle 43
0.06609547123623012 #128, triangle 43
0.21894124847001256 #129, triangle 43
-0.22118902439024357 #130, triangle 44
1.5554878048780572 #131, triangle 44
-1.4902439024390275 #132, triangle 44
0.11707317073170642 #133, triangle 45
1.896951219512204 #134, triangle 45
-1.1542682926829348 #135, triangle 45
0.8115853658536578 #136, triangle 46
0.4562499999999993 #137, triangle 46
0.6085365853658534 #138, triangle 46
0.32200000000000045 #139, triangle 47
1.4896000000000038 #140, triangle 47
-0.5120000000000027 #141, triangle 47
-4.98071127185052 #142, triangle 48
-0.27827380952380915 #143, triangle 48
2.487179487179488 #144, triangle 48
1.0475430759412905 #145, triangle 49
0.30242501595405197 #146, triangle 49
0.38225909380982803 #147, triangle 49
-0.05681002154312573 #148, triangle 50
0.7770720863766254 #149, triangle 50
-0.657591287636131 #150, triangle 50
2.2639087018544934 #151, triangle 51
0.6582003353412406 #152, triangle 51
0.7379162191192269 #153, triangle 51
0.10710870258208448 #154, triangle 52
-0.07865795345871834 #155, triangle 52
0.0009563277016252272 #156, triangle 52
-0.07421283379832688 #157, triangle 53
0.7572969543147229 #158, triangle 53
-0.6732800000000018 #159, triangle 53
0.08910828025477702 #160, triangle 54
-0.09681528662420429 #161, triangle 54
-0.01713375796178325 #162, triangle 54
-0.0878980891719746 #163, triangle 55
-0.2734872611464964 #164, triangle 55
-0.19394904458598755 #165, triangle 55
0.5255279011744657 #166, triangle 56
1.8975476839236989 #167, triangle 56
0.2117934403349603 #168, triangle 56
-2.684683098591547 #169, triangle 57
-4.837472607742877 #170, triangle 57
-3.643735763097948 #171, triangle 57
4.876829268292678 #172, triangle 58
2.6525959367945804 #173, triangle 58
3.3367614879649916 #174, triangle 58
-0.734354628422427 #175, triangle 59
-2.6139461172741654 #176, triangle 59
-2.189453795946412 #177, triangle 59
-0.45063694267515997 #178, triangle 60
0.47898089171974345 #179, triangle 60
-1.114649681528667 #180, triangle 60
0.8701340140395679 #181, triangle 61
0.1250159540523287 #182, triangle 61
0.20485003190810544 #183, triangle 61
-0.7711822133542353 #184, triangle 62
-3.706272189349115 #185, triangle 62
-1.7518821966341889 #186, triangle 62
1.4003600360035995 #187, triangle 63
0.8748874887488745 #188, triangle 63
1.1000900090009 #189, triangle 63
5.000000000000025 #190, triangle 64
0.7999999999999982 #191, triangle 64
1.2500000000000062 #192, triangle 64
0.7504496402877681 #193, triangle 65
5.991007194244616 #194, triangle 65
-2.9928057553956657 #195, triangle 65
-0.6676682692307642 #196, triangle 66
1.66566716641679 #197, triangle 66
2.6626722588376293 #198, triangle 66
-1.4977538185085444 #199, triangle 67
1.363933889707087 #200, triangle 67
1.7150205761316866 #201, triangle 67
-4.488931665062557 #202, triangle 68
-0.9471974004874082 #203, triangle 68
2.686635944700462 #204, triangle 68
-5.6791292001893225 #205, triangle 69
-0.871586287042415 #206, triangle 69
1.9317450096587239 #207, triangle 69
107.14285714285623 #208, triangle 70
-1.0377032168799716 #209, triangle 70
1.4197823000473218 #210, triangle 70
-4.975497702909648 #211, triangle 71
-0.9095744680851097 #212, triangle 71
2.2688547486033492 #213, triangle 71
-0.44171974522293095 #214, triangle 72
-0.6273089171974521 #215, triangle 72
-0.547770700636943 #216, triangle 72
5.14800514800515 #217, triangle 73
-1.2870012870012837 #218, triangle 73
1.1261261261261262 #219, triangle 73
-0.9963036678987774 #220, triangle 74
-0.0011441647597252725 #221, triangle 74
-1.699886749716871 #222, triangle 74
-1.0847953216374258 #223, triangle 75
-1.5390965030766923 #224, triangle 75
-1.3172095023110808 #225, triangle 75
0.7779199999999996 #226, triangle 76
0.5444000000000004 #227, triangle 76
0.6444799999999999 #228, triangle 76
0.7669000000000005 #229, triangle 77
1.9324000000000046 #230, triangle 77
-0.06560000000000234 #231, triangle 77
-1.5684642147117305 #232, triangle 78
0.6970998216291213 #233, triangle 78
1.7583865272307453 #234, triangle 78
0.001596075988788104 #235, triangle 79
-0.10032582794339315 #236, triangle 79
-0.05666031054208711 #237, triangle 79
0.4647859922178994 #238, triangle 80
0.010466926070038792 #239, triangle 80
0.05914396887159564 #240, triangle 80
0.5719844357976673 #241, triangle 81
0.11848249027237368 #242, triangle 81
0.16707198443579746 #243, triangle 81
-0.800180018001801 #244, triangle 82
-1.0624437443744372 #245, triangle 82
-0.9500450045004502 #246, triangle 82
-0.7331733653269339 #247, triangle 83
-1.0833833233353338 #248, triangle 83
-0.9332933413317323 #249, triangle 83
0.0007199424046123477 #250, triangle 84
-0.8398848092152632 #251, triangle 84
-0.7498200143988469 #252, triangle 84
1.0085001370989854 #253, triangle 85
0.004370554460536269 #254, triangle 85
0.2782479713812059 #255, triangle 85
-4.388671875000009 #256, triangle 86
4.409462915601037 #257, triangle 86
6.049702633814763 #258, triangle 86
2.51699946033459 #259, triangle 87
-2.2952755905511837 #260, triangle 87
1.0077787381158159 #261, triangle 87
1.3987803658902338 #262, triangle 88
-8.46973365617445 #263, triangle 88
0.7634220864251408 #264, triangle 88
-1.0667306769083076 #265, triangle 89
-0.44422231107557186 #266, triangle 89
1110.9999999927259 #267, triangle 89
1.7975334018499518 #268, triangle 90
-3.59506680369995 #269, triangle 90
0.8677747457206632 #270, triangle 90
-0.285530711899252 #271, triangle 91
-0.7141020696747651 #272, triangle 91
-0.6151716500553711 #273, triangle 91
-0.7896731406916169 #274, triangle 92
-1.0907901194176344 #275, triangle 92
-0.9375703037120369 #276, triangle 92
-1.1248874887488745 #277, triangle 93
1.497749774977501 #278, triangle 93
-2.9981998199820286 #279, triangle 93
-0.1669168417892498 #280, triangle 94
-0.5560000000000032 #281, triangle 94
-0.44488897779555786 #282, triangle 94
-0.19999999999999615 #283, triangle 95
-1.2500000000000089 #284, triangle 95
-0.7999999999999943 #285, triangle 95
4.769524368761013 #286, triangle 96
2.568379446640314 #287, triangle 96
3.2016160819865984 #288, triangle 96
-1.6853932584269635 #289, triangle 97
5.4034582132564895 #290, triangle 97
9.836065573770478 #291, triangle 97
-1.1020845741512795 #292, triangle 98
-0.2264409881061287 #293, triangle 98
-6.858947368421027 #294, triangle 98
#The minimum value is -178.57142857143765, which is in quad 45 {(0.16666666666666666, 0.3740666666666666)(0.25, 0.39445)(0.5, 0.4)(0.25, 0.36665000000000003)}, which is in triangle 15 {(0.0, 0.3889)(0.0, 0.3333)(0.5, 0.4)}
#The maximum value is 1110.9999999927259, which is in quad 267 {(0.9259333333333334, 0.8333333333333334)(1.0, 0.75)(1.0, 0.7222)(0.8889, 0.8611)}, which is in triangle 89 {(1.0, 0.7778)(0.7778, 1.0)(1.0, 0.7222)}
#The mean average is 3.1557820157808254

