TAPERS FOR JACOBIAN
0.2 0.2 #1, triangle 1
0.5 -1.0 #2, triangle 1
0.2 0.5000000000000001 #3, triangle 1
-0.00030021014710293885 0.2 #4, triangle 2
0.3331999999999999 -1.0 #5, triangle 2
0.33346669333866763 0.5000000000000001 #6, triangle 2
-0.25033768572714965 0.2 #7, triangle 3
0.26309805779251544 -1.0 #8, triangle 3
0.41183945779942793 0.5000000000000001 #9, triangle 3
-0.33306677329068385 0.2 #10, triangle 4
0.2500374981250937 -1.0 #11, triangle 4
0.4285224545766199 0.5000000000000001 #12, triangle 4
0.714506172839506 0.5000000000000001 #13, triangle 5
-0.1426368542791058 0.2 #14, triangle 5
1.9973045822102429 0.2 #15, triangle 5
0.5159528600172462 0.00039968025579543065 #16, triangle 6
-0.7913533834586457 1.0016032064128255 #17, triangle 6
-1.303693570451434 0.9984031936127746 #18, triangle 6
122.3333333333469 0.19999999999999998 #19, triangle 7
0.1421875000000001 -1.0 #20, triangle 7
0.601314348302299 0.49999999999999994 #21, triangle 7
1.910994764397904 0.2 #22, triangle 8
0.08779011099899015 -1.0 #23, triangle 8
0.7220447284345083 0.4999999999999999 #24, triangle 8
0.9622863877430763 0.2 #25, triangle 9
-0.01009463722397366 -1.0 #26, triangle 9
1.0416395575797048 0.4999999999999999 #27, triangle 9
0.41047659939888376 0.4999999999999999 #28, triangle 10
4.65423728813564 0.2 #29, triangle 10
-0.24422292705029328 0.2 #30, triangle 10
1.1442369607211862 0.20000000000000004 #31, triangle 11
0.02879177377892141 -1.0 #32, triangle 11
0.893989588263132 0.49999999999999983 #33, triangle 11
0.5000000000000001 0.714506172839506 #34, triangle 12
-1.0 0.2857693790975704 #35, triangle 12
-1.0 0.09081983308787442 #36, triangle 12
0.5 0.6361851791264516 #37, triangle 13
-1.0 0.2630980577925154 #38, triangle 13
-1.0 0.12508436445444318 #39, triangle 13
0.2780913835339227 0.3170603213627185 #40, triangle 14
0.6853387259858444 -0.04003456221198146 #41, triangle 14
0.1029645314981473 0.3500135001350012 #42, triangle 14
0.5787979176526317 0.20000000000000004 #43, triangle 15
-0.40054005400539927 -1.0 #44, triangle 15
-6.946428571428872 0.49999999999999983 #45, triangle 15
0.19999999999999998 -0.33306677329068374 #46, triangle 16
0.49999999999999994 0.600096015362458 #47, triangle 16
0.19999999999999998 1667.0000000001833 #48, triangle 16
0.20032840722495854 -1001.0000000006655 #49, triangle 17
0.500513874614594 0.4286529680365297 #50, triangle 17
0.19967132292522538 -0.33377748167888094 #51, triangle 17
0.5004267425320063 0.5998932336847725 #52, triangle 18
-0.9932126696832562 0.24995828466544273 #53, triangle 18
-1.0068571428571447 0.1429116216989225 #54, triangle 18
0.20000000000000004 4.4688524590163965 #55, triangle 19
0.4999999999999999 0.4097011693373747 #56, triangle 19
0.20000000000000004 -0.24078288575329965 #57, triangle 19
0.20000000000000004 1.8682170542635688 #58, triangle 20
0.4999999999999999 0.38125802310654666 #59, triangle 20
0.20000000000000004 -0.13145539906103312 #60, triangle 20
0.2 10.063122923588033 #61, triangle 21
0.5 0.42034255095206186 #62, triangle 21
0.2 -0.2905837239028552 #63, triangle 21
-0.342507645259939 0.22437989556135773 #64, triangle 22
0.2487252124645889 -0.5727766657134683 #65, triangle 22
0.4302401038286835 0.4635716375694913 #66, triangle 22
0.5 0.9988016776512878 #67, triangle 23
-1.0 0.3332000000000001 #68, triangle 23
-1.0 0.0002998500749624857 #69, triangle 23
0.029527559055119255 -3.013368983957222 #70, triangle 24
0.34742776603241715 0.4544354350720076 #71, triangle 24
0.31953071083505963 -0.4991686065846357 #72, triangle 24
0.7147270854788892 0.2 #73, triangle 25
-0.14241645244215798 -1.0 #74, triangle 25
1.9946140035906172 0.5000000000000001 #75, triangle 25
0.3333333333333333 0.2 #76, triangle 26
1.0 -1.0 #77, triangle 26
0.0 0.5000000000000001 #78, triangle 26
1.9946140035906172 0.5000000000000001 #79, triangle 27
0.0907304290861438 0.2 #80, triangle 27
0.7147270854788892 0.2 #81, triangle 27
0.32749003984063635 0.4479338842975207 #82, triangle 28
0.9504504504504508 0.16099071207430343 #83, triangle 28
0.012865497076021954 0.23554301833568408 #84, triangle 28
0.33922829581993563 -0.45217391304347854 #85, triangle 29
1.0565552699228726 0.5657620041753654 #86, triangle 29
-0.013563501849566948 -4.073170731707313 #87, triangle 29
0.049056603773586054 0.19999999999999998 #88, triangle 30
0.35795454545454425 -1.0 #89, triangle 30
0.3095890410958924 0.49999999999999994 #90, triangle 30
0.3095890410958924 0.49999999999999994 #91, triangle 31
0.8289473684210471 0.19999999999999998 #92, triangle 31
0.049056603773586054 0.19999999999999998 #93, triangle 31
1.001201923076927 0.2 #94, triangle 32
0.0002998500749604878 -1.0 #95, triangle 32
0.9988016776512924 0.5000000000000001 #96, triangle 32
0.5 0.2 #97, triangle 33
-1.000000000000012 -1.0 #98, triangle 33
-1.000000000000012 0.5000000000000001 #99, triangle 33
-1.000000000000006 0.0002998500749624857 #100, triangle 34
0.20000000000000095 1.001201923076923 #101, triangle 34
0.5 0.9988016776512878 #102, triangle 34
0.3888652783680413 0.03396928804094928 #103, triangle 35
2.198776758409755 1.178266178266179 #104, triangle 35
-0.1578099838969396 0.8766891891891891 #105, triangle 35
0.5000000000000016 1.558375634517763 #106, triangle 36
-1.000000000000004 0.3709016393442624 #107, triangle 36
-1.000000000000004 -0.09838998211091192 #108, triangle 36
-1.0110769230769177 1.1642512077294724 #109, triangle 37
0.19956033219345373 0.348648648648648 #110, triangle 37
0.5006875477463717 -0.036559139784944523 #111, triangle 37
