ASPECT RATIOS FOR JACOBIAN
1.0 #1, triangle 1
1.25 #2, triangle 1
1.25 #3, triangle 1
1.1982014388489213 #4, triangle 2
8.992805755395684 #5, triangle 2
2.2477517985611515 #6, triangle 2
1.8764070238631239 #7, triangle 3
6.331733653269346 #8, triangle 3
1.416166766646671 #9, triangle 3
2.2211115553778504 #10, triangle 4
6.000900090009001 #11, triangle 4
1.3127812781278125 #12, triangle 4
1.6255625562556255 #13, triangle 5
1.427653559496274 #14, triangle 5
7.001800180018001 #15, triangle 5
1.4383443518252366 #16, triangle 6
1.6924638989169691 #17, triangle 6
1.6506713625357696 #18, triangle 6
463.5185185185696 #19, triangle 7
2.5191223832528187 #20, triangle 7
1.15331602077507 #21, triangle 7
8.739092495636996 #22, triangle 8
2.5959046137895316 #23, triangle 8
1.1297236322617048 #24, triangle 8
5.901591043017044 #25, triangle 9
3.0366889023650665 #26, triangle 9
1.6461886172179954 #27, triangle 9
1.162755866200698 #28, triangle 10
16.97457627118649 #29, triangle 10
2.2689170820117806 #30, triangle 10
16.09787508048942 #31, triangle 11
7.263219058686801 #32, triangle 11
3.6744442403086492 #33, triangle 11
1.083383323335333 #34, triangle 12
7.488769092542684 #35, triangle 12
2.142122847597019 #36, triangle 12
1.0624437443744377 #37, triangle 13
20.090415913200758 #38, triangle 13
2.5011256190904985 #39, triangle 13
1.213015230588987 #40, triangle 14
1.0688927507447865 #41, triangle 14
1.4704870301746962 #42, triangle 14
11.831519167061103 #43, triangle 15
8.647526807333069 #44, triangle 15
6.203473945409428 #45, triangle 15
2.7768892443022795 #46, triangle 16
1.0500359971202302 #47, triangle 16
6945.000000000764 #48, triangle 16
5.516528925619836 #49, triangle 17
1.2004110996916748 #50, triangle 17
2.4323784143904055 #51, triangle 17
1.0072470677982266 #52, triangle 18
4.5196078431372415 #53, triangle 18
2.937235699977745 #54, triangle 18
25.688524590163958 #55, triangle 19
1.3572975313988729 #56, triangle 19
3.5662266727355436 #57, triangle 19
13.49698535745049 #58, triangle 20
1.7880473541577522 #59, triangle 20
4.087115284298382 #60, triangle 20
59.25249169435213 #61, triangle 21
1.3652282078270022 #62, triangle 21
3.7995313165743485 #63, triangle 21
3.1233435270132572 #64, triangle 22
3.0283099799828412 #65, triangle 22
1.1089119619294836 #66, triangle 22
1.124887488748875 #67, triangle 23
3.338341346153847 #68, triangle 23
1.6676673671570097 #69, triangle 23
3.6324404761904887 #70, triangle 24
1.941038289875494 #71, triangle 24
1.4456268706351802 #72, triangle 24
3.8619979402677536 #73, triangle 25
2.456600065509343 #74, triangle 25
1.5436068947774666 #75, triangle 25
2.997601918465223 #76, triangle 26
2.997601918465223 #77, triangle 26
3.597122302158267 #78, triangle 26
1.5436068947774642 #79, triangle 27
2.456600065509338 #80, triangle 27
2.4066666666666725 #81, triangle 27
1.9282868525896357 #82, triangle 28
1.3521739130434787 #83, triangle 28
3.316959064327471 #84, triangle 28
1.3521739130434767 #85, triangle 29
1.9282868525896388 #86, triangle 29
