SKEWS FOR JACOBIAN
-0.2 #1, triangle 1
0.25 #2, triangle 1
-0.8000000000000002 #3, triangle 1
-0.16691684178925242 #4, triangle 2
-0.5559999999999999 #5, triangle 2
-0.4448889777955591 #6, triangle 2
-0.3752814047726248 #7, triangle 3
-0.7896731406916153 #8, triangle 3
-0.7061315259980938 #9, triangle 3
-0.44422231107557003 #10, triangle 4
-0.8332083395830209 #11, triangle 4
-0.7617415152553996 #12, triangle 4
-0.6151716500553711 #13, triangle 5
-0.28553071189925483 #14, triangle 5
-0.7141020696747655 #15, triangle 5
-1.436044840471399 #16, triangle 6
-0.5629512635379068 #17, triangle 6
0.5513977547875853 #18, triangle 6
-92.70370370371391 #19, triangle 7
0.5038244766505637 #20, triangle 7
0.8670650385381485 #21, triangle 7
-1.747818499127399 #22, triangle 8
0.5191809227579064 #23, triangle 8
1.1297236322617048 #24, triangle 8
-1.1803182086034087 #25, triangle 9
0.6073377804730133 #26, triangle 9
1.6461886172179954 #27, triangle 9
0.8600257621296701 #28, triangle 10
-3.394915254237298 #29, triangle 10
0.45378341640235614 #30, triangle 10
-3.2195750160978847 #31, triangle 11
1.4526438117373606 #32, triangle 11
3.6744442403086492 #33, triangle 11
-0.5830833833233355 #34, triangle 12
-0.9332933413317336 #35, triangle 12
-0.7331733653269346 #36, triangle 12
-0.6877812781278129 #37, triangle 13
-0.9500450045004498 #38, triangle 13
-0.8001800180017998 #39, triangle 13
0.3253807647246775 #40, triangle 14
0.8064104052955524 #41, triangle 14
-0.5882742191635787 #42, triangle 14
-2.3663038334122213 #43, triangle 15
1.729505361466614 #44, triangle 15
6.203473945409428 #45, triangle 15
-0.8398848092152628 #46, triangle 16
-0.749820014398848 #47, triangle 16
-0.9599712023038159 #48, triangle 16
0.0013774104683178783 #49, triangle 17
0.8578280232956489 #50, triangle 17
0.9600109559024931 #51, triangle 17
-0.7093628703966672 #52, triangle 18
-0.000754147812972513 #53, triangle 18
-0.7948018489050532 #54, triangle 18
0.6569240587109128 #55, triangle 19
0.4706445437141036 #56, triangle 19
0.5504786215698787 #57, triangle 19
0.4795788130185068 #58, triangle 20
0.29363433312061266 #59, triangle 20
0.3733248245054241 #60, triangle 20
0.6624614522007286 #61, triangle 21
0.4990888701990469 #62, triangle 21
0.5691056910569108 #63, triangle 21
-0.3200815494393493 #64, triangle 22
-1.0867799811142587 #65, triangle 22
-0.9473285745187119 #66, triangle 22
-0.37556255625562557 #67, triangle 23
-0.9000900090009002 #68, triangle 23
-0.6003600360036004 #69, triangle 23
0.27827380952381087 #70, triangle 24
1.5872680291284902 #71, triangle 24
2.072923855532557 #72, triangle 24
-0.7723995880535507 #73, triangle 25
0.4913200131018686 #74, triangle 25
1.5436068947774666 #75, triangle 25
-0.5995203836930446 #76, triangle 26
0.5995203836930446 #77, triangle 26
3.597122302158267 #78, triangle 26
-1.5436068947774637 #79, triangle 27
-0.49132001310186757 #80, triangle 27
-2.077562326869801 #81, triangle 27
1.5266932270916287 #82, triangle 28
2.0771704180064297 #83, triangle 28
0.19181286549707552 #84, triangle 28
-2.077170418006433 #85, triangle 29
-1.5266932270916316 #86, triangle 29
-0.19181286549707635 #87, triangle 29
-0.5509433962264169 #88, triangle 30
-2.073863636363629 #89, triangle 30
-1.600000000000003 #90, triangle 30
1.6000000000000059 #91, triangle 31
-0.9605263157894707 #92, triangle 31
0.550943396226418 #93, triangle 31
-0.33413461538461603 #94, triangle 32
0.16691684178925215 #95, triangle 32
0.44488897779555886 #96, triangle 32
-0.2499999999999998 #97, triangle 33
0.199999999999999 #98, triangle 33
0.799999999999996 #99, triangle 33
0.600360036003601 #100, triangle 34
-1.4977497749775013 #101, triangle 34
0.3755625562556259 #102, triangle 34
-0.7892052698682531 #103, triangle 35
-0.321302471557473 #104, triangle 35
0.5844027640671277 #105, triangle 35
-0.12056303549571626 #106, triangle 36
-0.47784577723378174 #107, triangle 36
-0.2736842105263156 #108, triangle 36
-0.07575942417957765 #109, triangle 37
0.10698583292623397 #110, triangle 37
-0.21255523388694228 #111, triangle 37
-0.8056514913657775 #112, triangle 38
-0.7079153747948196 #113, triangle 38
-0.23128158015617611 #114, triangle 38
0.411681855840928 #115, triangle 39
0.5302411873840452 #116, triangle 39
0.33815915627996174 #117, triangle 39
0.6264112903225804 #118, triangle 40
0.806604866743918 #119, triangle 40
0.5192881745120549 #120, triangle 40
0.21062299096892745 #121, triangle 41
-0.11060865314104117 #122, triangle 41
0.0728006851829196 #123, triangle 41
0.10006108735491752 #124, triangle 42
0.25290164935858245 #125, triangle 42
-0.10372632864996946 #126, triangle 42
-0.13769889840881275 #127, triangle 43
0.06609547123623012 #128, triangle 43
0.21894124847001253 #129, triangle 43
-0.22118902439024374 #130, triangle 44
-0.06890243902439035 #131, triangle 44
0.13414634146341484 #132, triangle 44
0.11707317073170678 #133, triangle 45
0.26963414634146327 #134, triangle 45
0.47304878048780463 #135, triangle 45
-0.8128048780487767 #136, triangle 46
0.4562500000000007 #137, triangle 46
0.6085365853658534 #138, triangle 46
0.32200000000000056 #139, triangle 47
0.42207999999999984 #140, triangle 47
-0.5120000000000013 #141, triangle 47
-1.5872680291284902 #142, triangle 48
-3.203412073490816 #143, triangle 48
-2.072923855532551 #144, triangle 48
0.1959795788130186 #145, triangle 49
0.30242501595405197 #146, triangle 49
0.11614550095724335 #147, triangle 49
-0.05681002154312627 #148, triangle 50
0.014993938620557272 #149, triangle 50
0.11063639841856879 #150, triangle 50
0.5657970348235837 #151, triangle 51
0.17267408945083895 #152, triangle 51
0.5050676824705805 #153, triangle 51
0.10710870258208491 #154, triangle 52
-0.07865795345871834 #155, triangle 52
0.0009563277016252272 #156, triangle 52
-0.07421283379832637 #157, triangle 53
-0.0026134625191221845 #158, triangle 53
0.09275657769000528 #159, triangle 53
0.08910828025477659 #160, triangle 54
-0.09681528662420429 #161, triangle 54
-0.0171337579617841 #162, triangle 54
-0.08789808917197418 #163, triangle 55
-0.008359872611465109 #164, triangle 55
-0.19394904458598755 #165, triangle 55
0.5255279011744658 #166, triangle 56
0.5806715388153524 #167, triangle 56
0.2117934403349609 #168, triangle 56
-2.684683098591547 #169, triangle 57
-2.2096652877021445 #170, triangle 57
-0.6811692726036731 #171, triangle 57
4.876829268292687 #172, triangle 58
2.6525959367945804 #173, triangle 58
3.3367614879649876 #174, triangle 58
-0.7343546284224227 #175, triangle 59
-2.6139461172741654 #176, triangle 59
-2.18945379594641 #177, triangle 59
-0.18503184713375825 #178, triangle 60
-0.3709554140127392 #179, triangle 60
-0.2647133757961785 #180, triangle 60
0.018570516911295125 #181, triangle 61
0.12501595405232913 #182, triangle 61
-0.06126356094447952 #183, triangle 61
-0.7711822133542365 #184, triangle 62
-0.39762423560835153 #185, triangle 62
0.4931688417618264 #186, triangle 62
1.4003600360036008 #187, triangle 63
0.8748874887488745 #188, triangle 63
1.1000900090009 #189, triangle 63
0.19999999999999954 #190, triangle 64
0.8000000000000006 #191, triangle 64
-0.24999999999999645 #192, triangle 64
0.7504496402877681 #193, triangle 65
1.1996402877697816 #194, triangle 65
1.7985611510791375 #195, triangle 65
1.1109999999999987 #196, triangle 66
0.33353347343140116 #197, triangle 66
0.888977795559111 #198, triangle 66
1.0714744825813098 #199, triangle 67
0.42842456951940466 #200, triangle 67
0.9230343300110732 #201, triangle 67
-2.170311772917636 #202, triangle 68
-3.3994169096209936 #203, triangle 68
-2.5682819383259914 #204, triangle 68
-2.20466654418519 #205, triangle 69
-3.856041131105389 #206, triangle 69
-2.7002700270027025 #207, triangle 69
-3.722084367245657 #208, triangle 70
-1.0377032168799716 #209, triangle 70
1.4197823000473262 #210, triangle 70
-2.18493611297915 #211, triangle 71
-3.597209920283437 #212, triangle 71
-2.6269404915912022 #213, triangle 71
-0.4417197452229305 #214, triangle 72
-0.3621815286624192 #215, triangle 72
-0.5477707006369434 #216, triangle 72
5.1480051480051605 #217, triangle 73
-1.2870012870012837 #218, triangle 73
1.1261261261261233 #219, triangle 73
-0.7131871261748791 #220, triangle 74
-0.9114701866181152 #221, triangle 74
-0.7982236392621272 #222, triangle 74
-1.0847953216374255 #223, triangle 75
-0.9447143936939859 #224, triangle 75
-1.3172095023110806 #225, triangle 75
-0.289599999999999 #226, triangle 76
0.5444000000000001 #227, triangle 76
0.6444799999999999 #228, triangle 76
0.7669000000000004 #229, triangle 77
0.8667999999999998 #230, triangle 77
-0.06560000000000082 #231, triangle 77
0.13202880944116588 #232, triangle 78
-0.6314313037934325 #233, triangle 78
-0.08932499460858288 #234, triangle 78
0.0015960759887883639 #235, triangle 79
0.04531516183986423 #236, triangle 79
-0.05666031054208686 #237, triangle 79
-0.0544357976653696 #238, triangle 80
0.010466926070038792 #239, triangle 80
0.05914396887159501 #240, triangle 80
0.05369649805447474 #241, triangle 81
0.11848249027237368 #242, triangle 81
0.005107003891050997 #243, triangle 81
-0.800180018001801 #244, triangle 82
-0.6877812781278134 #245, triangle 82
0.24887488748874526 #246, triangle 82
-0.7331733653269339 #247, triangle 83
-0.5830833833233358 #248, triangle 83
0.6676664667066519 #249, triangle 83
0.0007199424046099498 #250, triangle 84
-0.8398848092152632 #251, triangle 84
-0.7498200143988475 #252, triangle 84
-0.6394289933546641 #253, triangle 85
0.004370554460536556 #254, triangle 85
0.2782479713812059 #255, triangle 85
3.171923076923079 #256, triangle 86
4.40946291560103 #257, triangle 86
2.5835022294284578 #258, triangle 86
2.516999460334593 #259, triangle 87
3.0684210526315807 #260, triangle 87
1.0077787381158179 #261, triangle 87
1.3987803658902338 #262, triangle 88
1.5539760106619276 #263, triangle 88
0.7634220864251408 #264, triangle 88
-0.7617415152554003 #265, triangle 89
-0.9523401337219265 #266, triangle 89
-0.8332083395830198 #267, triangle 89
1.7975334018499487 #268, triangle 90
2.062743248024529 #269, triangle 90
0.867774745720666 #270, triangle 90
-0.9090165275732288 #271, triangle 91
-0.7141020696747662 #272, triangle 91
-0.6151716500553711 #273, triangle 91
-0.7896731406916151 #274, triangle 92
-0.7061315259980925 #275, triangle 92
-0.9375703037120375 #276, triangle 92
-0.37556255625562646 #277, triangle 93
1.497749774977498 #278, triangle 93
-0.600360036003602 #279, triangle 93
-0.833583208395806 #280, triangle 94
-0.5560000000000025 #281, triangle 94
-0.44488897779555653 #282, triangle 94
-0.19999999999999615 #283, triangle 95
0.24999999999999925 #284, triangle 95
-0.7999999999999918 #285, triangle 95
0.9698507462686561 #286, triangle 96
