TAPERS FOR JACOBIAN
-0.2 -0.2 #1, triangle 1
-0.5 0.2 #2, triangle 1
0.2 -0.5 #3, triangle 1
0.00030021014710293896 -0.2 #4, triangle 2
0.3331999999999999 -1.0 #5, triangle 2
0.3334666933386677 -0.5 #6, triangle 2
0.25033768572715 -0.2 #7, triangle 3
0.26309805779251544 -1.0 #8, triangle 3
0.411839457799428 -0.49999999999999994 #9, triangle 3
0.33306677329068385 -0.2 #10, triangle 4
0.2500374981250937 -1.0 #11, triangle 4
0.4285224545766199 -0.5 #12, triangle 4
0.3845514950166113 -0.5 #13, triangle 5
0.1426368542791058 -0.2 #14, triangle 5
0.2857693790975704 -1.0 #15, triangle 5
0.5159528600172462 0.00039968025579543065 #16, triangle 6
0.18998194945848404 -0.33315557925609923 #17, triangle 6
-0.2097732775698879 -0.3335111348179758 #18, triangle 6
-122.3333333333469 -0.19999999999999998 #19, triangle 7
0.3297101449275362 0.19999999999999998 #20, triangle 7
0.42790335151987485 0.49999999999999994 #21, triangle 7
-1.910994764397904 -0.2 #22, triangle 8
0.1353032659409011 0.2 #23, triangle 8
0.3824027072758053 0.4999999999999999 #24, triangle 8
-0.9622863877430686 -0.2 #25, triangle 9
-0.009702850212248771 0.2 #26, triangle 9
0.3289500719128827 0.4999999999999999 #27, triangle 9
0.41047659939888376 0.4999999999999999 #28, triangle 10
-4.654237288135608 -0.2 #29, triangle 10
0.24422292705029477 0.2 #30, triangle 10
-1.1442369607211886 -0.20000000000000004 #31, triangle 11
0.03253922138291813 0.20000000000000004 #32, triangle 11
0.34705125849715157 0.49999999999999983 #33, triangle 11
-0.49999999999999994 0.3845514950166113 #34, triangle 12
0.2 -1.9973045822102444 #35, triangle 12
-0.2 0.14263685427910577 #36, triangle 12
-0.5 0.41183945779942793 #37, triangle 13
0.2 -5.021699819168183 #38, triangle 13
-0.2 0.25033768572714976 #39, triangle 13
0.2780913835339227 0.3170603213627185 #40, triangle 14
0.3935663685983044 -0.034508440913604894 #41, triangle 14
-0.10296453149814709 0.3500135001350012 #42, triangle 14
-0.5787979176526317 -0.20000000000000004 #43, triangle 15
-0.1539259771705278 0.20000000000000004 #44, triangle 15
0.2413151364764249 0.49999999999999983 #45, triangle 15
-0.19999999999999998 0.33306677329068374 #46, triangle 16
-0.5000000000000001 0.4285224545766199 #47, triangle 16
0.19999999999999998 -1667.0000000001833 #48, triangle 16
-1.0082644628099164 -0.24993757802746566 #49, triangle 17
-0.5005138746145944 -0.42865296803652986 #50, triangle 17
-0.19967132292522538 -0.3337774816788807 #51, triangle 17
0.4995739846634476 -0.42862591780299425 #52, triangle 18
0.9932126696832536 -0.24995828466544273 #53, triangle 18
0.20027278927028816 -0.3336300912530598 #54, triangle 18
-0.20000000000000004 -4.4688524590163965 #55, triangle 19
0.4999999999999999 0.4097011693373747 #56, triangle 19
0.20000000000000004 0.24078288575329965 #57, triangle 19
-0.20000000000000004 -1.8682170542635688 #58, triangle 20
0.4999999999999999 0.38125802310654666 #59, triangle 20
0.20000000000000004 0.13145539906103312 #60, triangle 20
