ASPECT RATIOS FOR SHAPE PARAMETERS
1.083333333333334 #1, triangle 1
1.7083333333333326 #2, triangle 1
1.708333333333333 #3, triangle 1
2.5453454803724584 #4, triangle 2
4.419221379653037 #5, triangle 2
4.042195567870033 #6, triangle 2
6.688046399729053 #7, triangle 3
8.14612978305239 #8, triangle 3
6.018277110343703 #9, triangle 3
8.752932037808106 #10, triangle 4
10.159322676871987 #11, triangle 4
7.255854902036961 #12, triangle 4
4.85223738201158 #13, triangle 5
4.600438416143778 #14, triangle 5
6.16321969427158 #15, triangle 5
1.0790633762751562 #16, triangle 6
1.5988444783815254 #17, triangle 6
1.5813583912604858 #18, triangle 6
9.912112971941147 #19, triangle 7
8.6783434953131 #20, triangle 7
7.00580783540235 #21, triangle 7
5.921618957953937 #22, triangle 8
5.075388303935035 #23, triangle 8
4.283465688757045 #24, triangle 8
4.635593531624515 #25, triangle 9
4.136030376357407 #26, triangle 9
3.2938517524014013 #27, triangle 9
5.648751093982526 #28, triangle 10
7.794642755590873 #29, triangle 10
6.601432570867953 #30, triangle 10
9.847718093093137 #31, triangle 11
9.611593093093058 #32, triangle 11
6.450844579579641 #33, triangle 11
4.344832472354449 #34, triangle 12
5.843483551491127 #35, triangle 12
4.8019418598294745 #36, triangle 12
5.681878762200538 #37, triangle 13
7.934581464903258 #38, triangle 13
6.840690825839351 #39, triangle 13
1.2614453331679454 #40, triangle 14
1.1799292990022718 #41, triangle 14
1.3808293311462758 #42, triangle 14
9.483256010191866 #43, triangle 15
9.38600601019186 #44, triangle 15
6.150991846522825 #45, triangle 15
8.875935320857815 #46, triangle 16
7.003543169783817 #47, triangle 16
10.000845328057155 #48, triangle 16
10.121206580221815 #49, triangle 17
7.174178092380763 #50, triangle 17
8.82060526671012 #51, triangle 17
6.963814230105288 #52, triangle 18
9.999451519902983 #53, triangle 18
8.947591057771763 #54, triangle 18
8.405416764227382 #55, triangle 19
5.797571387688838 #56, triangle 19
7.650790089051902 #57, triangle 19
7.234998040478295 #58, triangle 20
4.9420531811326445 #59, triangle 20
6.701933267025818 #60, triangle 20
9.63287614780463 #61, triangle 21
6.583522652172801 #62, triangle 21
8.86314668326866 #63, triangle 21
6.500637157066543 #64, triangle 22
6.717755156138942 #65, triangle 22
4.45484283861845 #66, triangle 22
3.023216983860545 #67, triangle 23
3.7745683352119035 #68, triangle 23
2.836787057084086 #69, triangle 23
4.365650816031928 #70, triangle 24
2.9637927126603203 #71, triangle 24
4.176569557995446 #72, triangle 24
3.4675725725725437 #73, triangle 25
3.004655905905909 #74, triangle 25
2.55799644644648 #75, triangle 25
2.845001798561146 #76, triangle 26
2.845001798561146 #77, triangle 26
1.937561151079134 #78, triangle 26
2.557996446446471 #79, triangle 27
3.004655905905939 #80, triangle 27
3.4675725725725437 #81, triangle 27
2.621425915970835 #82, triangle 28
3.588741657125254 #83, triangle 28
3.7964517474656643 #84, triangle 28
3.5887416571252464 #85, triangle 29
2.6214259159708733 #86, triangle 29
3.7964517474657375 #87, triangle 29
3.561822459840338 #88, triangle 30
4.0455553365526375 #89, triangle 30
2.9213129496403396 #90, triangle 30
2.9213129496403365 #91, triangle 31
4.045555336552672 #92, triangle 31
3.5618224598403683 #93, triangle 31
4.4192213796530595 #94, triangle 32
2.5453454803725135 #95, triangle 32
4.042195567869937 #96, triangle 32
1.7083333333333293 #97, triangle 33
1.083333333333343 #98, triangle 33
