SKEWS FOR SHAPE PARAMETERS
1.5708499962393667 #1, triangle 1
1.5708553631838198 #2, triangle 1
1.5708553631838198 #3, triangle 1
1.5710160241056919 #4, triangle 2
1.5706787170724033 #5, triangle 2
1.5710270474045824 #6, triangle 2
1.5717231294449392 #7, triangle 3
1.570936214468964 #8, triangle 3
1.5725704124998223 #9, triangle 3
1.5722379896553977 #10, triangle 4
1.5712244475024193 #11, triangle 4
1.5738556079558546 #12, triangle 4
1.5716268138348068 #13, triangle 5
1.5713162835197143 #14, triangle 5
1.570753159746272 #15, triangle 5
1.5726907349592496 #16, triangle 6
1.5729837265079945 #17, triangle 6
1.5683800647562445 #18, triangle 6
1.571333983938856 #19, triangle 7
1.5692588886024132 #20, triangle 7
1.5674087883194698 #21, triangle 7
1.5709931045913055 #22, triangle 8
1.5700498039304187 #23, triangle 8
1.5692194216969224 #24, triangle 8
1.5710021436366275 #25, triangle 9
1.5702665575860884 #26, triangle 9
1.5695520083661556 #27, triangle 9
1.5687146964026597 #28, triangle 10
1.5710381251479473 #29, triangle 10
1.5697793716022468 #30, triangle 10
1.5728166942284085 #31, triangle 11
1.5683937310806357 #32, triangle 11
1.5636521504151715 #33, triangle 11
1.5720558607390338 #34, triangle 12
1.5707054167600492 #35, triangle 12
1.571450360626247 #36, triangle 12
1.5731699679647855 #37, triangle 13
1.5704690784383613 #38, triangle 13
1.571910490219854 #39, triangle 13
1.5676922391711765 #40, triangle 14
1.5698685857590338 #41, triangle 14
1.5718942111126746 #42, triangle 14
1.5728645222450184 #43, triangle 15
1.5685704238977767 #44, triangle 15
1.5638580955728287 #45, triangle 15
1.5724793093949405 #46, triangle 16
1.5746278347807132 #47, triangle 16
1.570126886606006 #48, triangle 16
1.5703812003767224 #49, triangle 17
1.568091309277325 #50, triangle 17
1.5695549999136047 #51, triangle 17
1.57409435232226 #52, triangle 18
1.571403940512839 #53, triangle 18
1.5722159314731017 #54, triangle 18
1.5715399108911978 #55, triangle 19
1.5671219488046841 #56, triangle 19
1.5692856938592386 #57, triangle 19
1.571497452980812 #58, triangle 20
1.5676199536237834 #59, triangle 20
1.5695543355033703 #60, triangle 20
1.5718390549352421 #61, triangle 21
1.565969964394358 #62, triangle 21
1.5688647015485522 #63, triangle 21
1.5716971383056144 #64, triangle 22
1.5715049871493503 #65, triangle 22
1.573425494112119 #66, triangle 22
1.5712840432552042 #67, triangle 23
1.5708336253192108 #68, triangle 23
1.5710963353063414 #69, triangle 23
1.5705272904027623 #70, triangle 24
1.569704391612629 #71, triangle 24
1.5704171505010884 #72, triangle 24
1.5708699271421853 #73, triangle 25
1.5704979225369957 #74, triangle 25
1.5701337389165537 #75, triangle 25
1.5709554124205676 #76, triangle 26
1.5706372411692255 #77, triangle 26
1.5702196292629302 #78, triangle 26
1.5714589146732396 #79, triangle 27
1.5710947310527974 #80, triangle 27
1.5708699271421853 #81, triangle 27
1.5699955587405672 #82, triangle 28
1.5705111792910325 #83, triangle 28
1.570615309762658 #84, triangle 28
1.5710814742987609 #85, triangle 29
1.571597094849226 #86, triangle 29
1.5709773438271353 #87, triangle 29
1.5712038893061797 #88, triangle 30
1.570929016795286 #89, triangle 30
1.5717283544298348 #90, triangle 30
1.5698642991599583 #91, triangle 31
1.570929016795286 #92, triangle 31
1.5703887642836134 #93, triangle 31
1.5706787170724033 #94, triangle 32
1.5705766294841015 #95, triangle 32
1.5705656061852107 #96, triangle 32
1.5707372904059735 #97, triangle 33
1.5707426573504264 #98, triangle 33
1.5707372904059735 #99, triangle 33
1.5704963182834517 #100, triangle 34
1.5708336253192108 #101, triangle 34
1.5703086103345891 #102, triangle 34
1.5709393458578842 #103, triangle 35
1.571315717755749 #104, triangle 35
1.570640417419265 #105, triangle 35
1.5715943999351705 #106, triangle 36
1.5706925242252658 #107, triangle 36
1.5711490552049887 #108, triangle 36
