TAPERS FOR SHAPE PARAMETERS
0.002953182134955821 0.0029531821349558216 #1, triangle 1
0.003708476120846526 0.002387965341503557 #2, triangle 1
0.0023879653415035595 0.003708476120846524 #3, triangle 1
0.00452263608929356 0.003517795934651016 #4, triangle 2
0.0018275334394265354 0.005959243811554911 #5, triangle 2
0.0028964584532115527 0.00569937110093566 #6, triangle 2
0.012693994856834753 0.004942184508596802 #7, triangle 3
0.0018295112858735876 0.014009555038561087 #8, triangle 3
0.009422967160764652 0.012041615889815109 #9, triangle 3
0.01678110632568337 0.005701380345777872 #10, triangle 4
0.0023145842709269065 0.01807907423921978 #11, triangle 4
0.01269033766843453 0.015278759880049932 #12, triangle 4
0.006150746623604165 0.008834863271594938 #13, triangle 5
0.008602574131271854 0.004215109282967764 #14, triangle 5
0.0016381313721313886 0.009957094697200965 #15, triangle 5
0.019449809456409107 0.01902492634060974 #16, triangle 6
0.023675272445964003 0.01589382772542934 #17, triangle 6
0.023545451806691837 0.016212057265543173 #18, triangle 6
0.0189362694984351 0.002607443355222617 #19, triangle 7
0.017718612978355173 0.005794704033431609 #20, triangle 7
0.013491864873016542 0.01591990290098301 #21, triangle 7
0.013104863066087385 0.002403819344134694 #22, triangle 8
0.012132404892720314 0.004528096723705734 #23, triangle 8
0.009217406917228516 0.01114576557611838 #24, triangle 8
0.011584412888092576 0.002734611696104573 #25, triangle 9
0.01094241580998822 0.004019377570015805 #26, triangle 9
0.00849801555930471 0.009765025426038309 #27, triangle 9
0.010414194706691924 0.012799366575039285 #28, triangle 10
0.015035240035508064 0.002175091044151272 #29, triangle 10
0.013836662697052974 0.005049172808525117 #30, triangle 10
0.02667679708700396 0.005453780006825339 #31, triangle 11
0.02635503333555196 0.006323128085427581 #32, triangle 11
0.02094928070832451 0.021591070268080034 #33, triangle 11
0.010240616470430132 0.008040342075710766 #34, triangle 12
0.002087926707053601 0.01187614513849904 #35, triangle 12
0.004409434182412489 0.010765842755014327 #36, triangle 12
0.013508243729460655 0.01123674532636192 #37, triangle 13
0.0023851876254669213 0.0159630148771156 #38, triangle 13
0.005173702366831309 0.014821866178517756 #39, triangle 13
0.02382866595469737 0.02056982793269196 #40, triangle 14
0.019692973335297133 0.02304589105715063 #41, triangle 14
0.02493075975813921 0.01826349874160819 #42, triangle 14
0.026202065215764608 0.005654318750257545 #43, triangle 15
0.026067369003785403 0.006016279365564107 #44, triangle 15
0.02083365999743929 0.02110227903700315 #45, triangle 15
0.005960052927850366 0.018894916139077608 #46, triangle 16
