ASPECT RATIOS FOR JACOBIAN
1.1599999999999826 #1, triangle 1
1.6447368421052484 #2, triangle 1
1.2019230769230762 #3, triangle 1
8.670212765957324 #4, triangle 2
6.0655737704918495 #5, triangle 2
4.273437499999996 #6, triangle 2
2.169811320754714 #7, triangle 3
3.108108108108061 #8, triangle 3
1.4838709677419506 #9, triangle 3
12.699999999999715 #10, triangle 4
10.373134328358192 #11, triangle 4
8.10958904109604 #12, triangle 4
8.519230769230683 #13, triangle 5
7.876923076923087 #14, triangle 5
6.938461538461545 #15, triangle 5
4.098765432098749 #16, triangle 6
6.477777777777711 #17, triangle 6
4.919191919191885 #18, triangle 6
1.4531250000000002 #19, triangle 7
1.175548589341693 #20, triangle 7
1.149019607843139 #21, triangle 7
3.3513513513513957 #22, triangle 8
3.7105263157894526 #23, triangle 8
3.4651162790697714 #24, triangle 8
1.4177215189873553 #25, triangle 9
1.0552995391705142 #26, triangle 9
1.189573459715634 #27, triangle 9
8.577712609970662 #28, triangle 10
1.3993203058623618 #29, triangle 10
3.248663101604279 #30, triangle 10
21.72222222222184 #31, triangle 11
1.593471810089014 #32, triangle 11
1.7619047619047614 #33, triangle 11
6.50232558139531 #34, triangle 12
7.8313953488372015 #35, triangle 12
5.344186046511598 #36, triangle 12
3.9487179487179596 #37, triangle 13
1.1068376068376067 #38, triangle 13
2.0320512820512864 #39, triangle 13
4.12159329140461 #40, triangle 14
43.97916666666655 #41, triangle 14
1.6729264475743348 #42, triangle 14
1.7096774193548545 #43, triangle 15
3.581081081081032 #44, triangle 15
2.5 #45, triangle 15
10.20769230769231 #46, triangle 16
11.230769230769114 #47, triangle 16
8.900000000000023 #48, triangle 16
1.523809523809529 #49, triangle 17
2.133333333333317 #50, triangle 17
1.066666666666681 #51, triangle 17
11.92424242424237 #52, triangle 18
15.140350877192642 #53, triangle 18
13.507246376811612 #54, triangle 18
13.684210526315894 #55, triangle 19
9.476190476190393 #56, triangle 19
19.642857142857746 #57, triangle 19
5.674418604651147 #58, triangle 20
7.8333333333333774 #59, triangle 20
10.939393939393954 #60, triangle 20
2.1978704525288393 #61, triangle 21
-0.04874651810585002 #62, triangle 21
4.17852348993289 #63, triangle 21
7.639534883720885 #64, triangle 22
4.576744186046521 #65, triangle 22
5.888372093023264 #66, triangle 22
3.4999999999999942 #67, triangle 23
6.470588235294107 #68, triangle 23
12.622950819672145 #69, triangle 23
2.541666666666654 #70, triangle 24
7.945312500000012 #71, triangle 24
1.1848404255319145 #72, triangle 24
3.620626151012884 #73, triangle 25
1.8087986463620986 #74, triangle 25
7.485815602836852 #75, triangle 25
3.6043165467625533 #76, triangle 26
7.709302325581351 #77, triangle 26
5.30578512396687 #78, triangle 26
4.412587412587459 #79, triangle 27
6.500000000000102 #80, triangle 27
5.445255474452521 #81, triangle 27
1.39068100358423 #82, triangle 28
1.3919156414762792 #83, triangle 28
-0.024161073825504063 #84, triangle 28
2.375816993464061 #85, triangle 29
1.3817663817663843 #86, triangle 29
1.7831978319783166 #87, triangle 29
#The minimum value is -0.04874651810585002, which is in quad 62 {(0.6066666666666668, -0.5057333333333333)(0.6228, -0.4736)(0.5048, -0.2076)(0.5396000000000001, -0.3888)}, which is in triangle 21 {(0.5048, -0.2076)(0.5744, -0.57)(0.7408, -0.7396)}
#The maximum value is 43.97916666666655, which is in quad 41 {(0.4316, -0.3888)(0.4456, -0.36946666666666667)(0.4812, -0.2692)(0.4888, -0.2076)}, which is in triangle 14 {(0.4888, -0.2076)(0.3744, -0.57)(0.4736, -0.3308)}
#The mean average is 5.703047810208641

