SKEWS FOR JACOBIAN
0.8620689655172524 #1, triangle 1
-0.3289473684210486 #2, triangle 1
0.24038461538461245 #3, triangle 1
-0.4574468085106303 #4, triangle 2
2.1967213114754256 #5, triangle 2
5.445312499999999 #6, triangle 2
-0.4339622641509428 #7, triangle 3
0.6216216216216122 #8, triangle 3
-1.4838709677419506 #9, triangle 3
-4.459999999999889 #10, triangle 4
0.6417910447761284 #11, triangle 4
6.465753424657657 #12, triangle 4
-3.8269230769230456 #13, triangle 5
-0.12307692307691928 #14, triangle 5
4.815384615384622 #15, triangle 5
6.469135802469124 #16, triangle 6
0.41111111111111254 #17, triangle 6
2.5353535353535164 #18, triangle 6
-0.5156249999999999 #19, triangle 7
0.3667711598746084 #20, triangle 7
0.8293515358361765 #21, triangle 7
2.9189189189189495 #22, triangle 8
-1.0789473684210433 #23, triangle 8
0.3953488372093009 #24, triangle 8
0.5569620253164606 #25, triangle 9
-0.7117903930130958 #26, triangle 9
-0.03317535545023909 #27, triangle 9
0.4099145299145301 #28, triangle 10
0.2738312082574374 #29, triangle 10
0.34403292181069967 #30, triangle 10
0.751918158567775 #31, triangle 11
0.5608308605341239 #32, triangle 11
0.7126600284495022 #33, triangle 11
-0.9209302325581313 #34, triangle 12
2.0406976744186025 #35, triangle 12
-4.869767441860439 #36, triangle 12
0.7597402597402597 #37, triangle 13
0.301158301158302 #38, triangle 13
0.49211356466876927 #39, triangle 13
0.30061037639877913 #40, triangle 14
0.32970156324017075 #41, triangle 14
0.20486435921421867 #42, triangle 14
1.7096774193548612 #43, triangle 15
-0.7162162162162176 #44, triangle 15
0.5 #45, triangle 15
-0.08461538461539461 #46, triangle 16
4.692307692307665 #47, triangle 16
-6.453846153846162 #48, triangle 16
-0.30476190476191056 #49, triangle 17
0.4266666666666479 #50, triangle 17
-1.066666666666681 #51, triangle 17
9.833333333333327 #52, triangle 18
-4.964912280701657 #53, triangle 18
1.101449275362332 #54, triangle 18
4.0000000000000435 #55, triangle 19
10.904761904761823 #56, triangle 19
-2.2142857142857766 #57, triangle 19
-7.162790697674427 #58, triangle 20
-2.7857142857142954 #59, triangle 20
0.6363636363636173 #60, triangle 20
-0.2595882115462244 #61, triangle 21
-0.4832869080779943 #62, triangle 21
-0.40700289110183074 #63, triangle 21
1.0813953488372 #64, triangle 22
-5.0232558139534955 #65, triangle 22
-1.5348837209302326 #66, triangle 22
0.09090909090909041 #67, triangle 23
0.1493506493506491 #68, triangle 23
0.22727272727272707 #69, triangle 23
-0.7083333333333321 #70, triangle 24
-1.0068829891838709 #71, triangle 24
-0.9517396184062866 #72, triangle 24
-0.15717192268565625 #73, triangle 25
0.06454630495790414 #74, triangle 25
-0.22453813358597777 #75, triangle 25
3.9064748201438424 #76, triangle 26
-1.1511627906976665 #77, triangle 26
1.3388429752065696 #78, triangle 26
3.6153846153846416 #79, triangle 27
-2.16037735849059 #80, triangle 27
0.42335766423356425 #81, triangle 27
-1.0438144329896923 #82, triangle 28
-0.6326889279437622 #83, triangle 28
-1.2322147651006714 #84, triangle 28
0.11437908496732445 #85, triangle 29
-1.7749287749287739 #86, triangle 29
-0.6558265582655823 #87, triangle 29
#The minimum value is -7.162790697674427, which is in quad 58 {(0.7108000000000001, -0.782)(0.7319999999999999, -0.7788)(0.698, -0.772)(0.6216, -0.7716)}, which is in triangle 20 {(0.7744, -0.7724)(0.6216, -0.7716)(0.8, -0.7924)}
#The maximum value is 10.904761904761823, which is in quad 56 {(0.6704, -0.7652)(0.6888000000000001, -0.7664)(0.756, -0.7612)(0.6948000000000001, -0.762)}, which is in triangle 19 {(0.756, -0.7612)(0.6336, -0.7628)(0.6216, -0.7716)}
#The mean average is 0.2720065331593338

