TAPERS FOR JACOBIAN
0.2413793103448338 0.5 #1, triangle 1
-0.5789473684210377 -0.19999999999999934 #2, triangle 1
-0.15384615384616063 0.19999999999999934 #3, triangle 1
-0.5319148936170085 -0.2368098159509203 #4, triangle 2
-0.18032786885246102 0.15945945945945963 #5, triangle 2
0.21875000000000833 0.5685557586837295 #6, triangle 2
0.13207547169812225 0.2 #7, triangle 3
0.621621621621601 -0.2 #8, triangle 3
-0.2580645161290466 0.5000000000000011 #9, triangle 3
0.5599999999999754 0.16220472440944855 #10, triangle 4
0.16417910447761844 -0.23453237410071873 #11, triangle 4
-0.2328767123287801 -0.4493243243243246 #12, triangle 4
0.500000000000004 0.13769751693002247 #13, triangle 5
0.19999999999999743 -0.25390625000000006 #14, triangle 5
-0.19999999999999743 -0.42350332594234996 #15, triangle 5
0.11111111111110883 0.6445783132530132 #16, triangle 6
-0.39999999999999813 -0.26586620926243537 #17, triangle 6
-0.2727272727272658 0.12114989733059532 #18, triangle 6
0.10156250000000178 -0.33870967741935426 #19, triangle 7
-0.2789968652037625 -0.328 #20, triangle 7
-0.39249146757679093 0.011764705882353286 #21, triangle 7
-0.13513513513514447 -0.4677419354838717 #22, triangle 8
0.4210526315789347 0.17730496453900607 #23, triangle 8
0.25581395348838276 -0.22147651006711283 #24, triangle 8
0.5569620253164632 -0.15178571428571436 #25, triangle 9
-0.23144104803492938 0.4377880184331798 #26, triangle 9
0.16587677725118163 0.24302788844621506 #27, triangle 9
-0.26769230769230823 -1.129032258064514 #28, triangle 10
0.6502732240437155 0.34579439252336486 #29, triangle 10
0.11851851851851887 0.029411764705881912 #30, triangle 10
-0.2659846547314574 -3.8333333333332735 #31, triangle 11
-0.23442136498516128 -0.16201117318435768 #32, triangle 11
-0.4082503556187762 -0.5639097744360888 #33, triangle 11
-0.2 -0.21459227467811176 #34, triangle 12
-0.49999999999999756 0.18485523385300667 #35, triangle 12
0.2 -0.47780678851174946 #36, triangle 12
-0.18831168831168796 -1.0000000000000053 #37, triangle 13
0.48262548262548294 0.3333333333333333 #38, triangle 13
0.21135646687697165 0.0 #39, triangle 13
-0.38250254323499483 -0.5597484276729559 #40, triangle 14
-0.28754144954997624 -3.3749999999999925 #41, triangle 14
-0.13564078578110378 -0.16431924882629068 #42, triangle 14
0.2580645161290466 0.5 #43, triangle 15
-0.621621621621601 -0.2 #44, triangle 15
-0.13207547169812225 0.2 #45, triangle 15
-0.19999999999999743 -0.24792765636774733 #46, triangle 16
-0.500000000000004 0.1455479452054806 #47, triangle 16
0.19999999999999743 -0.4312878133102839 #48, triangle 16
0.1428571428571508 0.19999999999999793 #49, triangle 17
0.5999999999999822 -0.19999999999999793 #50, triangle 17
-0.25000000000001044 0.5000000000000032 #51, triangle 17
-0.1818181818181864 -0.45616264294790343 #52, triangle 18
0.47368421052628273 0.16801853997682503 #53, triangle 18
0.21739130434783868 -0.22961373390558007 #54, triangle 18
-0.15789473684210373 0.17692307692307777 #55, triangle 19
0.2380952380952362 0.5376884422110532 #56, triangle 19
-0.5714285714285856 -0.22181818181818264 #57, triangle 19
-0.2093023255813982 0.5655737704918065 #58, triangle 20
0.19047619047619016 0.1610942249240111 #59, triangle 20
0.5151515151515177 -0.2354570637119099 #60, triangle 20
-0.09729511505853804 -0.10736468500443581 #61, triangle 21
0.3892757660167133 2.7285714285714016 #62, triangle 21
0.2817218117571471 -0.6751677852349014 #63, triangle 21
0.5 -0.21461187214611913 #64, triangle 22
-0.20000000000000154 0.524390243902439 #65, triangle 22
0.20000000000000154 0.1848341232227489 #66, triangle 22
-0.5000000000000007 -0.32954545454545336 #67, triangle 23
-0.19999999999999984 0.008403361344536875 #68, triangle 23
0.19999999999999984 0.967213114754102 #69, triangle 23
0.328124999999997 -0.1803278688524588 #70, triangle 24
0.25073746312684336 -1.7499999999999951 #71, triangle 24
0.4276094276094276 -0.5319148936170216 #72, triangle 24
0.382502543234995 -0.39226519337016325 #73, triangle 25
0.13564078578110378 -0.2791878172588845 #74, triangle 25
0.28754144954997624 -0.1702127659574496 #75, triangle 25
0.2517985611510729 0.520958083832338 #76, triangle 26
-0.6046511627906952 -0.21266968325791766 #77, triangle 26
-0.1404958677685914 0.18691588785046614 #78, triangle 26
-0.2167832167832186 -0.454833597464344 #79, triangle 27
