ASPECT RATIOS FOR JACOBIAN
1.2592830139360065 #1, triangle 1
1.0897171651652826 #2, triangle 1
-0.8263618828796345 #3, triangle 1
1.3154287892131837 #4, triangle 2
1.446044045466962 #5, triangle 2
-0.6966803421919276 #6, triangle 2
2.533480301423324 #7, triangle 3
1.0674520330052684 #8, triangle 3
-0.1691854538179729 #9, triangle 3
1.9058742917380596 #10, triangle 4
1.1667637791746281 #11, triangle 4
-0.6378713389482468 #12, triangle 4
1.5384166806511312 #13, triangle 5
1.1918327754013172 #14, triangle 5
-0.5753916047284646 #15, triangle 5
1.134121141552691 #16, triangle 6
2.071934909798648 #17, triangle 6
-0.92456082654712 #18, triangle 6
1.115589033576293 #19, triangle 7
1.013375147069763 #20, triangle 7
-0.9697701051917329 #21, triangle 7
1.8198710967884903 #22, triangle 8
1.2371113021048037 #23, triangle 8
-0.8037373533518413 #24, triangle 8
1.0390917210737 #25, triangle 9
1.1432074595725439 #26, triangle 9
-0.9873216061125603 #27, triangle 9
1.0636689662724514 #28, triangle 10
1.0133801467367478 #29, triangle 10
-0.9031725270187677 #30, triangle 10
1.1724905127281873 #31, triangle 11
4.512888131559452 #32, triangle 11
-0.7987664608109971 #33, triangle 11
1.2925161661910602 #34, triangle 12
1.0242345764625436 #35, triangle 12
-0.856348781940959 #36, triangle 12
1.000719324488919 #37, triangle 13
1.2379020320279863 #38, triangle 13
-0.8216111439137322 #39, triangle 13
1.181377302635775 #40, triangle 14
1.0735213493792375 #41, triangle 14
-0.8642908975985576 #42, triangle 14
1.0730404741970423 #43, triangle 15
1.2932651426648925 #44, triangle 15
-0.34403412241990455 #45, triangle 15
1.9305602521679117 #46, triangle 16
1.134829152537996 #47, triangle 16
-0.9022147154493846 #48, triangle 16
2.427594164674861 #49, triangle 17
1.1387876994420705 #50, triangle 17
-0.5585091307570978 #51, triangle 17
1.2268753065910198 #52, triangle 18
1.0957216987873681 #53, triangle 18
-0.8882292817394354 #54, triangle 18
1.2215679455608444 #55, triangle 19
1.2419527615035972 #56, triangle 19
-0.8558008732952406 #57, triangle 19
1.1818661642276074 #58, triangle 20
1.0006340364344428 #59, triangle 20
