SKEWS FOR JACOBIAN
0.7941026670997544 #1, triangle 1
-0.18353386217391832 #2, triangle 1
0.1652723765759252 #3, triangle 1
0.7583422176212717 #4, triangle 2
-0.8462953806853055 #5, triangle 2
-0.15859355283962634 #6, triangle 2
-7.381042502894561 #7, triangle 3
1.3235599154179543 #8, triangle 3
2.4688306740814725 #9, triangle 3
-3.2690795150334475 #10, triangle 4
1.0960650657841273 #11, triangle 4
2.6522958426602226 #12, triangle 4
-3.2500947648875997 #13, triangle 5
1.1918327754013172 #14, triangle 5
2.876958023642323 #15, triangle 5
-0.21576850368836833 #16, triangle 6
-3.0838149790872578 #17, triangle 6
-1.1587673933654212 #18, triangle 6
1.1155890335762997 #19, triangle 7
-0.19736027726583652 #20, triangle 7
0.19395402103834297 #21, triangle 7
2.2435581731303005 #22, triangle 8
-0.08892362341629106 #23, triangle 8
0.4221181977764849 #24, triangle 8
0.38730673180049513 #25, triangle 9
-0.7500185928900801 #26, triangle 9
-0.2625934537369739 #27, triangle 9
0.47066086289969183 #28, triangle 10
-0.7956841327201019 #29, triangle 10
-0.25296484888305215 #30, triangle 10
-0.725919058932037 #31, triangle 11
17.172657686900042 #32, triangle 11
-3.085181358529404 #33, triangle 11
-0.17704025745064234 #34, triangle 12
-5.965854347065567 #35, triangle 12
-1.2210676538174803 #36, triangle 12
0.9591283292978137 #37, triangle 13
-0.18293901644537902 #38, triangle 13
0.1429356101805511 #39, triangle 13
0.6590099636372878 #40, triangle 14
-0.6546767129465781 #41, triangle 14
-0.14609321401343223 #42, triangle 14
-2.8820469085366285 #43, triangle 15
1.5578352652136391 #44, triangle 15
4.025087642050792 #45, triangle 15
2.9184168256806524 #46, triangle 16
0.03623356635636318 #47, triangle 16
0.4365842965792873 #48, triangle 16
2.2607675378156875 #49, triangle 17
0.4333885115771508 #50, triangle 17
0.7954093723545059 #51, triangle 17
1.1815209794909096 #52, triangle 18
0.020660407436317498 #53, triangle 18
0.402843308314145 #54, triangle 18
1.2215679455608508 #55, triangle 19
-0.24839055230071538 #56, triangle 19
0.23369922401446208 #57, triangle 19
-3.6040193078983602 #58, triangle 20
1.2118738614376818 #59, triangle 20
2.5800023188782677 #60, triangle 20
-6.1350765660333515 #61, triangle 21
0.8874224066714133 #62, triangle 21
2.1038480270818507 #63, triangle 21
-6.292800893995005 #64, triangle 22
1.5012458842918521 #65, triangle 22
2.5928070936230307 #66, triangle 22
-5.577890157080234 #67, triangle 23
0.9709981704798019 #68, triangle 23
1.9544149673331763 #69, triangle 23
-0.9322610906009774 #70, triangle 24
4.58971245817173 #71, triangle 24
-5.026810769980701 #72, triangle 24
1.3949292053505482 #73, triangle 25
-0.29326441241461726 #74, triangle 25
0.27288270009166554 #75, triangle 25
-0.5333857720928618 #76, triangle 26
4.934570734511124 #77, triangle 26
-4.586607916472479 #78, triangle 26
0.18459541008291117 #79, triangle 27
-0.6964886399813466 #80, triangle 27
-0.38009090916406 #81, triangle 27
-0.07054922962159414 #82, triangle 28
-1.9494839847568157 #83, triangle 28
-0.87488458673029 #84, triangle 28
-0.8769708560309073 #85, triangle 29
3.3687772789447785 #86, triangle 29
-8.93464278982089 #87, triangle 29
-0.7834792744640906 #88, triangle 30
5.4047099811177235 #89, triangle 30
-4.2092548696280305 #90, triangle 30
-0.8722035365401241 #91, triangle 31
3.8825752617801936 #92, triangle 31
-8.961839438815963 #93, triangle 31
0.5497296239887056 #94, triangle 32
-0.926870801378768 #95, triangle 32
-0.24511404252356495 #96, triangle 32
3.6773569197486946 #97, triangle 33
0.3055663379501167 #98, triangle 33
0.7972446419285472 #99, triangle 33
-1.0167219291997924 #100, triangle 34
3.7002066055952905 #101, triangle 34
-8.846536390856883 #102, triangle 34
6.245159234379658 #103, triangle 35
0.41105920040376315 #104, triangle 35
0.9603333170356534 #105, triangle 35
0.25761272149680464 #106, triangle 36
-0.9529108682355923 #107, triangle 36
-0.4329625355902765 #108, triangle 36
0.3451052035649027 #109, triangle 37
-0.7944793784359085 #110, triangle 37
-0.311964539852774 #111, triangle 37
4.170176769916533 #112, triangle 38
0.12366627164436449 #113, triangle 38
0.7780442847881519 #114, triangle 38
1.1824591966775948 #115, triangle 39
-0.10962857402808976 #116, triangle 39
0.34002821779961057 #117, triangle 39
5.409267017769553 #118, triangle 40
0.5091259917960832 #119, triangle 40
1.0416419670034667 #120, triangle 40
3.1520571968163944 #121, triangle 41
0.37708120780602206 #122, triangle 41
0.7617277486910983 #123, triangle 41
0.38169749251819185 #124, triangle 42
-0.70500167998937 #125, triangle 42
-0.23927346320041953 #126, triangle 42
0.3071439378656428 #127, triangle 43
-0.745353792616495 #128, triangle 43
-0.29428333669558565 #129, triangle 43
-0.6641134768110837 #130, triangle 44
6.3955831283462174 #131, triangle 44
-3.213888533226134 #132, triangle 44
-0.8565488930829528 #133, triangle 45
4.264766376033841 #134, triangle 45
-6.494839854585251 #135, triangle 45
0.356946070750208 #136, triangle 46
-0.8912307167879192 #137, triangle 46
-0.3034406251091196 #138, triangle 46
0.3748646191342922 #139, triangle 47
-0.644555149280851 #140, triangle 47
-0.22726714221195196 #141, triangle 47
3.7141975537622387 #142, triangle 48
0.15643134994044677 #143, triangle 48
0.5958128492895884 #144, triangle 48
-0.67977528089888 #145, triangle 49
4.025500024332083 #146, triangle 49
-5.284832493498826 #147, triangle 49
2.943733285702315 #148, triangle 50
0.3977533097771189 #149, triangle 50
0.8124555676870291 #150, triangle 50
5.019135743913911 #151, triangle 51
0.3412793956588854 #152, triangle 51
0.8424782901147801 #153, triangle 51
4.740913285078467 #154, triangle 52
0.3423888125653559 #155, triangle 52
0.813659291763205 #156, triangle 52
0.39516986390128583 #157, triangle 53
-0.6155549673040924 #158, triangle 53
-0.18844658643505652 #159, triangle 53
0.415278608577348 #160, triangle 54
-0.7906428503626574 #161, triangle 54
-0.25769047548418267 #162, triangle 54
0.37348300140282364 #163, triangle 55
-0.7844470099180497 #164, triangle 55
-0.2651922863253778 #165, triangle 55
-0.7258461478485085 #166, triangle 56
4.665829673168907 #167, triangle 56
-4.687441084012679 #168, triangle 56
-0.8430645416673355 #169, triangle 57
4.05714540521433 #170, triangle 57
-6.38191933995526 #171, triangle 57
-0.6075278379580152 #172, triangle 58
7.289875720300482 #173, triangle 58
-3.21073378338713 #174, triangle 58
-0.7562673594544712 #175, triangle 59
4.636599644702807 #176, triangle 59
-4.718752206398354 #177, triangle 59
0.34790549954359146 #178, triangle 60
-0.7511469494381702 #179, triangle 60
-0.28730401988398274 #180, triangle 60
0.22135772154650865 #181, triangle 61
-0.9497336678275037 #182, triangle 61
-0.42456966914190836 #183, triangle 61
0.2923077185838999 #184, triangle 62
-0.8808801773994488 #185, triangle 62
-0.3856683738139515 #186, triangle 62
-0.9341657635104522 #187, triangle 63
5.469029852487408 #188, triangle 63
-4.590114891077142 #189, triangle 63
0.28247016395227753 #190, triangle 64
-0.9626369478813673 #191, triangle 64
-0.4127027795022357 #192, triangle 64
-0.8722833578267367 #193, triangle 65
5.981437033221981 #194, triangle 65
-4.330478380463285 #195, triangle 65
-0.8260820390335673 #196, triangle 66
4.600444136679503 #197, triangle 66
-5.5307287666468 #198, triangle 66
0.348328432165058 #199, triangle 67
-0.8206385515781227 #200, triangle 67
-0.31606779004625624 #201, triangle 67
0.3473550894775991 #202, triangle 68
-0.7959586266826232 #203, triangle 68
-0.3170063673994475 #204, triangle 68
0.3132355907981639 #205, triangle 69
-0.7945978074913326 #206, triangle 69
-0.3253694811413634 #207, triangle 69
0.2983213278633817 #208, triangle 70
-0.7933143293819228 #209, triangle 70
-0.32338960989369253 #210, triangle 70
-0.8442711837833238 #211, triangle 71
4.642733234089207 #212, triangle 71
-5.199149704036902 #213, triangle 71
-0.7497498164694827 #214, triangle 72
6.950344680370023 #215, triangle 72
-3.3056495658667364 #216, triangle 72
-0.7451199659339713 #217, triangle 73
6.00134248545163 #218, triangle 73
-3.3626461470868327 #219, triangle 73
6.875682635527907 #220, triangle 74
0.3125588378260289 #221, triangle 74
0.8163895276442277 #222, triangle 74
4.75155779384673 #223, triangle 75
0.2997092968533624 #224, triangle 75
0.8199416141881497 #225, triangle 75
-0.8747561548796059 #226, triangle 76
7.577381095292336 #227, triangle 76
-4.305931555822566 #228, triangle 76
0.2890919279537348 #229, triangle 77
-0.8736501790562586 #230, triangle 77
-0.3684803197380767 #231, triangle 77
0.24429988637214614 #232, triangle 78
-0.9489569806575464 #233, triangle 78
-0.3956165126739091 #234, triangle 78
-0.7592832652863452 #235, triangle 79
5.443879303763734 #236, triangle 79
-4.637969417631934 #237, triangle 79
-0.7628426809726939 #238, triangle 80
5.033941836925618 #239, triangle 80
-4.4172435370187175 #240, triangle 80
0.3458587761545878 #241, triangle 81
-0.7432693326794078 #242, triangle 81
-0.27442810735036666 #243, triangle 81
0.32466261171924304 #244, triangle 82
-0.8755975735500834 #245, triangle 82
-0.34664282980586647 #246, triangle 82
4.017227869620876 #247, triangle 83
0.24985937006170605 #248, triangle 83
0.723480864521203 #249, triangle 83
4.07732667495305 #250, triangle 84
0.2274677567093717 #251, triangle 84
0.6955303427444475 #252, triangle 84
0.330094905720869 #253, triangle 85
-0.8488877691625165 #254, triangle 85
-0.33708456331656106 #255, triangle 85
-0.7887196898326803 #256, triangle 86
2.9868056028990266 #257, triangle 86
-10.873248551286176 #258, triangle 86
3.2480010672329076 #259, triangle 87
0.1495866458254607 #260, triangle 87
0.5981340310662414 #261, triangle 87
0.3356705410674203 #262, triangle 88
-0.9538446303480238 #263, triangle 88
-0.42183046226297904 #264, triangle 88
1.0303395032128115 #265, triangle 89
-0.21475210762241853 #266, triangle 89
0.2004047884420744 #267, triangle 89
-8.696276840322085 #268, triangle 90
0.9406829861449024 #269, triangle 90
2.18626858753712 #270, triangle 90
-6.741177362275081 #271, triangle 91
1.5696811142447051 #272, triangle 91
2.781938251688178 #273, triangle 91
-5.602735849432715 #274, triangle 92
1.1418114544268099 #275, triangle 92
2.9987606776327755 #276, triangle 92
-6.567524862905377 #277, triangle 93
1.444066930642475 #278, triangle 93
3.0261612255885932 #279, triangle 93
-0.6417499563922956 #280, triangle 94
3.844887869004375 #281, triangle 94
-6.046279962644054 #282, triangle 94
1.221254116930606 #283, triangle 95
-0.20988188934795401 #284, triangle 95
0.2080306524203193 #285, triangle 95
5.009232645651803 #286, triangle 96
0.1462097475526592 #287, triangle 96
0.6375786040850803 #288, triangle 96
0.401677388239725 #289, triangle 97
-0.7330198889382877 #290, triangle 97
-0.21923010922895111 #291, triangle 97
-0.6005917159763304 #292, triangle 98
5.41975332005475 #293, triangle 98
-4.356175703761196 #294, triangle 98
0.3675872040670289 #295, triangle 99
-0.8410711773807785 #296, triangle 99
-0.2964641027444326 #297, triangle 99
3.50908316820928 #298, triangle 100
0.3019238323128872 #299, triangle 100
0.7652578613366124 #300, triangle 100
-0.84726471573676 #301, triangle 101
4.338363714403986 #302, triangle 101
-5.703401773842541 #303, triangle 101
0.4154137079141279 #304, triangle 102
-0.8653760756591908 #305, triangle 102
-0.3197334319972784 #306, triangle 102
0.31813215810831424 #307, triangle 103
-0.8346852414837622 #308, triangle 103
-0.31164415645914073 #309, triangle 103
-1.055380107522749 #310, triangle 104
3.2554665613003095 #311, triangle 104
-16.151284017380018 #312, triangle 104
-0.9928781120134371 #313, triangle 105
3.2713597088094675 #314, triangle 105
-15.689992088609618 #315, triangle 105
3.971451787077356 #316, triangle 106
0.24135563193973317 #317, triangle 106
0.6812811210147756 #318, triangle 106
3.550453869445333 #319, triangle 107
0.28564106405000567 #320, triangle 107
0.765246340511845 #321, triangle 107
5.662945863464048 #322, triangle 108
0.2660303168753836 #323, triangle 108
0.8225327903620754 #324, triangle 108
-0.892182090417195 #325, triangle 109
3.6345211528698553 #326, triangle 109
-9.366289909563225 #327, triangle 109
3.3357441464378996 #328, triangle 110
0.04825996405717397 #329, triangle 110
0.4681919568461153 #330, triangle 110
1.4823218202933408 #331, triangle 111
-0.2730497788465128 #332, triangle 111
0.2650803509790731 #333, triangle 111
-3.6239231132818746 #334, triangle 112
1.532509502940402 #335, triangle 112
3.2657909370635965 #336, triangle 112
-5.193444897251396 #337, triangle 113
0.9935723631515284 #338, triangle 113
2.4386402787145163 #339, triangle 113
-4.597848021568176 #340, triangle 114
1.4871268159486741 #341, triangle 114
2.8857469393409025 #342, triangle 114
-4.360649617323177 #343, triangle 115
1.071610392394935 #344, triangle 115
2.2990551828015784 #345, triangle 115
-0.8626364986285464 #346, triangle 116
5.082727598339658 #347, triangle 116
-3.5955872383121696 #348, triangle 116
1.4293127468397944 #349, triangle 117
-0.2858840347924267 #350, triangle 117
0.27042425180398677 #351, triangle 117
-0.4823423367740069 #352, triangle 118
5.87059400917593 #353, triangle 118
-3.354610820244345 #354, triangle 118
3.742325885988304 #355, triangle 119
0.40490852682751466 #356, triangle 119
0.8973372836112027 #357, triangle 119
-0.9861693912117973 #358, triangle 120
3.799759342319441 #359, triangle 120
-14.527990721948271 #360, triangle 120
-1.0939171225045792 #361, triangle 121
3.3673878086023734 #362, triangle 121
-11.37598974502111 #363, triangle 121
0.38673059404343824 #364, triangle 122
-0.9136062333495797 #365, triangle 122
-0.35084403696437505 #366, triangle 122
-0.9779187160901011 #367, triangle 123
3.4200150471737425 #368, triangle 123
-13.508226880225134 #369, triangle 123
-0.9666338426352351 #370, triangle 124
3.68966201780976 #371, triangle 124
-10.508701351534167 #372, triangle 124
-0.8528861334930309 #373, triangle 125
32.52750111490932 #374, triangle 125
-3.6101493871516874 #375, triangle 125
-0.8692447353257756 #376, triangle 126
3.718489227459019 #377, triangle 126
-8.456711996768357 #378, triangle 126
-0.9094953809882267 #379, triangle 127
3.586433315655238 #380, triangle 127
-8.128139081071671 #381, triangle 127
12.633880032324884 #382, triangle 128
0.6825915987343153 #383, triangle 128
1.3998667719459892 #384, triangle 128
0.29097260168352407 #385, triangle 129
-0.8665103032333753 #386, triangle 129
-0.3705858499197315 #387, triangle 129
0.3261490655148132 #388, triangle 130
-0.9213399088483964 #389, triangle 130
-0.4167146742297088 #390, triangle 130
0.2991473845230054 #391, triangle 131
-0.842992063452169 #392, triangle 131
-0.34928097389325746 #393, triangle 131
0.4800802063270914 #394, triangle 132
-0.8788805237486399 #395, triangle 132
-0.24723533078955953 #396, triangle 132
3.5829701547564756 #397, triangle 133
0.32245404103033565 #398, triangle 133
0.7728854569168223 #399, triangle 133
3.8454514874927357 #400, triangle 134
0.3611294562289091 #401, triangle 134
0.8198821147016881 #402, triangle 134
-0.8659219313484195 #403, triangle 135
3.8852010715048193 #404, triangle 135
-7.083614859778727 #405, triangle 135
0.3348551325598494 #406, triangle 136
-0.9238954406701358 #407, triangle 136
-0.39296973419210046 #408, triangle 136
0.3497447412835662 #409, triangle 137
-0.7861886161829814 #410, triangle 137
-0.3015770496590929 #411, triangle 137
-0.8900525166799669 #412, triangle 138
5.564667598597591 #413, triangle 138
-5.166793502060082 #414, triangle 138
-0.8746220872736621 #415, triangle 139
6.55547699245615 #416, triangle 139
-4.457358805422627 #417, triangle 139
0.2903267623497138 #418, triangle 140
-0.8784400447103589 #419, triangle 140
-0.38987222598128884 #420, triangle 140
-0.9200007388312349 #421, triangle 141
4.342007333755942 #422, triangle 141
-6.073675567309287 #423, triangle 141
-0.8052191964152112 #424, triangle 142
6.008328900447015 #425, triangle 142
-4.666314983275465 #426, triangle 142
-0.767618663602487 #427, triangle 143
5.5331245887939176 #428, triangle 143
-4.081483341230679 #429, triangle 143
3.4602772539326834 #430, triangle 144
0.34327161196722666 #431, triangle 144
0.7912662786278379 #432, triangle 144
3.352946126236534 #433, triangle 145
0.23335376841179173 #434, triangle 145
0.680326636407467 #435, triangle 145
0.3413651546868252 #436, triangle 146
-0.8174825030451878 #437, triangle 146
-0.3227238922779551 #438, triangle 146
0.3572971045557019 #439, triangle 147
-0.6185615730954297 #440, triangle 147
-0.20443293079645447 #441, triangle 147
5.427068932669638 #442, triangle 148
0.36825146999028235 #443, triangle 148
0.8746109473261436 #444, triangle 148
5.298492879650408 #445, triangle 149
0.2488002615470575 #446, triangle 149
0.7542444434302426 #447, triangle 149
-0.8135311772460779 #448, triangle 150
4.936320563041421 #449, triangle 150
-5.715245277528489 #450, triangle 150
0.25836374007442503 #451, triangle 151
-0.8399760672868888 #452, triangle 151
-0.37446219830500216 #453, triangle 151
0.3470672406025335 #454, triangle 152
-0.8950139667976286 #455, triangle 152
-0.3401031121868367 #456, triangle 152
0.4349249721954763 #457, triangle 153
-0.8710655206357673 #458, triangle 153
-0.28628984355857645 #459, triangle 153
5.54532731936266 #460, triangle 154
0.3926810636293252 #461, triangle 154
0.9305710785847604 #462, triangle 154
-0.6157817102039348 #463, triangle 155
9.319341679328264 #464, triangle 155
-3.0140374574061406 #465, triangle 155
0.3638558292165952 #466, triangle 156
-0.717318286858257 #467, triangle 156
-0.28503990309249294 #468, triangle 156
-0.8846719936001771 #469, triangle 157
7.848644188144129 #470, triangle 157
-4.137681884594629 #471, triangle 157
0.3857176361867043 #472, triangle 158
-0.8173897347640321 #473, triangle 158
-0.29081778565836497 #474, triangle 158
-0.9256839144431362 #475, triangle 159
4.418085947185661 #476, triangle 159
-6.199929334675145 #477, triangle 159
9.004895987154113 #478, triangle 160
0.5075191648364866 #479, triangle 160
1.1448714265462083 #480, triangle 160
-0.8156447536855215 #481, triangle 161
9.903968938740475 #482, triangle 161
-4.091748107179341 #483, triangle 161
-0.9170290286155459 #484, triangle 162
41.40837934590973 #485, triangle 162
-3.698464312429466 #486, triangle 162
0.49733590988029597 #487, triangle 163
-0.826088830058762 #488, triangle 163
-0.28851159825773093 #489, triangle 163
-0.9141078896734675 #490, triangle 164
4.93814577052069 #491, triangle 164
-5.957731295088935 #492, triangle 164
-0.8710449471987 #493, triangle 165
23.332540257232782 #494, triangle 165
-3.4870446315833448 #495, triangle 165
0.33708626082058624 #496, triangle 166
-0.7952866544404934 #497, triangle 166
-0.31931534655174937 #498, triangle 166
5.189488670997298 #499, triangle 167
0.3762622400350396 #500, triangle 167
0.891023746610106 #501, triangle 167
4.861595749131853 #502, triangle 168
0.32067197130841785 #503, triangle 168
0.8590095251322245 #504, triangle 168
-0.8253037371906609 #505, triangle 169
4.75191201719323 #506, triangle 169
-5.938816712130322 #507, triangle 169
0.31059474671325304 #508, triangle 170
-0.9501687581535513 #509, triangle 170
-0.4064798333508909 #510, triangle 170
-0.9946581533895658 #511, triangle 171
4.491267222976814 #512, triangle 171
-6.97247945432564 #513, triangle 171
3.8381211971626485 #514, triangle 172
0.301964001493391 #515, triangle 172
0.7289557148601754 #516, triangle 172
-0.7542414943235792 #517, triangle 173
4.044008636334762 #518, triangle 173
-5.533809240531449 #519, triangle 173
0.33234927259912966 #520, triangle 174
-0.8839038754917322 #521, triangle 174
-0.3467381582800279 #522, triangle 174
0.39238737419912173 #523, triangle 175
-0.8392348992679457 #524, triangle 175
-0.3081860681970515 #525, triangle 175
4.272502902005545 #526, triangle 176
0.33325995201725134 #527, triangle 176
0.8214318236204737 #528, triangle 176
-0.8434132769793835 #529, triangle 177
4.5007898099036145 #530, triangle 177
-5.369063902837588 #531, triangle 177
4.215302374279944 #532, triangle 178
0.3218121950988779 #533, triangle 178
0.8276429526151972 #534, triangle 178
-0.7419763746054587 #535, triangle 179
5.702713088520137 #536, triangle 179
-4.1922636849289905 #537, triangle 179
0.4128006758021164 #538, triangle 180
-0.8488157432273354 #539, triangle 180
-0.3016386169283167 #540, triangle 180
0.46393811824800885 #541, triangle 181
-0.7936009826020669 #542, triangle 181
-0.3015386124249027 #543, triangle 181
0.41784528392255266 #544, triangle 182
-0.86275566929285 #545, triangle 182
-0.29183909456299256 #546, triangle 182
4.429178045369533 #547, triangle 183
0.37579368973176197 #548, triangle 183
0.8654115797252249 #549, triangle 183
-0.7942837898934374 #550, triangle 184
5.784509063898783 #551, triangle 184
-4.213766858887469 #552, triangle 184
-0.88546176376367 #553, triangle 185
4.194775300638913 #554, triangle 185
-6.65656041512245 #555, triangle 185
-0.9508961245291724 #556, triangle 186
4.095407027479282 #557, triangle 186
-6.463051021019183 #558, triangle 186
5.236810120515079 #559, triangle 187
0.3759406669405623 #560, triangle 187
0.8967481083949619 #561, triangle 187
0.32803478230369093 #562, triangle 188
-0.6935160601668483 #563, triangle 188
-0.24986347891274419 #564, triangle 188
0.39590830922233267 #565, triangle 189
-0.6530448879922731 #566, triangle 189
