TAPERS FOR JACOBIAN
0.11951881884209975 0.4999999999999984 #1, triangle 1
0.4069955144202168 0.2000000000000005 #2, triangle 1
0.2670004856081604 0.2000000000000005 #3, triangle 1
0.2000000000000011 0.39412452879241117 #4, triangle 2
0.5 0.10368782795063133 #5, triangle 2
0.2000000000000011 0.27762225266543467 #6, triangle 2
1.9029386685524121 -0.4783500979608773 #7, triangle 3
0.08748921901322836 0.5599811219834507 #8, triangle 3
0.7227993334312207 -3.3981130888735986 #9, triangle 3
1.080848027611211 -1.3076136513374532 #10, triangle 4
0.01770677998747352 0.4848515366494079 #11, triangle 4
0.9327454638731887 -0.7895105096873652 #12, triangle 4
1.051879344526923 -1.0 #13, triangle 5
0.011890326983988614 0.5 #14, triangle 5
0.9540768170483543 -1.0 #15, triangle 5
0.344595866764492 0.1888230945714573 #16, triangle 6
1.11495725513629 -1.3473659776327154 #17, triangle 6
-0.026458146832204724 0.5178377347464505 #18, triangle 6
0.024817785367937426 0.5 #19, triangle 7
0.34504145607727105 0.1999999999999986 #20, triangle 7
0.32182728198167726 0.1999999999999986 #21, triangle 7
-0.1824291587954059 0.558202896497654 #22, triangle 8
0.2764620112469152 0.23202998726448565 #23, triangle 8
0.39550864356036536 0.16518195922937035 #24, triangle 8
0.2 0.35061180463249997 #25, triangle 9
0.5000000000000026 0.03564328744749458 #26, triangle 9
0.2 0.316491367177436 #27, triangle 9
0.19999999999999904 0.36062202570154184 #28, triangle 10
0.5 0.053705417142236325 #29, triangle 10
0.19999999999999904 0.3071177254531551 #30, triangle 10
0.4485362908026968 0.03721669759840466 #31, triangle 11
-3.9459591041874646 1.2013119529159526 #32, triangle 11
-0.4563586541485213 0.8660848486781411 #33, triangle 11
0.39085084455737074 0.19279315129460367 #34, triangle 12
2.306997895046866 -1.2061738307229766 #35, triangle 12
-0.16500428443703105 0.5114149495035286 #36, triangle 12
-0.0007923218296935671 0.48995456344827104 #37, triangle 13
0.3329818401213214 0.1933848549512654 #38, triangle 13
0.33368501196432265 0.20650752450250198 #39, triangle 13
0.15719477579605387 0.38945797887071704 #40, triangle 14
0.44366656115589687 0.09753989444989722 #41, triangle 14
0.2386673163406313 0.2815667587681788 #42, triangle 14
0.9084899889053514 -0.5231382453485603 #43, triangle 15
-0.027239744007205524 0.5511438284812152 #44, triangle 15
1.118655404565136 -2.674918910469307 #45, triangle 15
-0.6341392719982878 0.6279235616194119 #46, triangle 16
0.21967264214351007 0.26027972685040585 #47, triangle 16
0.47035498858979435 0.1290242807218466 #48, triangle 16
-0.26532299617748367 1.622056520621913 #49, triangle 17
0.2605013408066552 0.3733843765158948 #50, triangle 17
0.4150979452680833 -0.10604134675303163 #51, triangle 17
0.07929468053651684 0.6123947284891561 #52, triangle 18
0.3765762596334582 0.25471388114773796 #53, triangle 18
0.29272447578439353 0.1366161821626585 #54, triangle 18
0.07729054269978625 0.5 #55, triangle 19
0.3752428385908095 0.19999999999999876 #56, triangle 19
