ASPECT RATIOS FOR JACOBIAN
1.2592830139360065 #1, triangle 1
1.0897171651652853 #2, triangle 1
1.2101235798961212 #3, triangle 1
1.3154287892131908 #4, triangle 2
1.446044045466962 #5, triangle 2
1.4353785221695212 #6, triangle 2
1.1163515385236462 #7, triangle 3
1.0674520330052648 #8, triangle 3
1.3054326114233863 #9, triangle 3
1.0166140331434652 #10, triangle 4
1.1667637791746388 #11, triangle 4
1.029667132740957 #12, triangle 4
1.0132742497578997 #13, triangle 5
1.1918327754013172 #14, triangle 5
1.0215355604602847 #15, triangle 5
1.134121141552691 #16, triangle 6
1.1219314530890576 #17, triangle 6
1.047868734059008 #18, triangle 6
1.115589033576293 #19, triangle 7
1.0133751470697605 #20, triangle 7
1.0311722279810767 #21, triangle 7
1.2970668880077525 #22, triangle 8
1.2371113021048104 #23, triangle 8
1.2441875394115762 #24, triangle 8
1.0390917210737 #25, triangle 9
1.1432074595725439 #26, triangle 9
1.0128411996749054 #27, triangle 9
1.0636689662724463 #28, triangle 10
1.0133801467367478 #29, triangle 10
1.1072081690757798 #30, triangle 10
1.1724905127281815 #31, triangle 11
1.0231664120464403 #32, triangle 11
1.0919316059942772 #33, triangle 11
1.2925161661910602 #34, triangle 12
1.3791807680042785 #35, triangle 12
1.3594800685763302 #36, triangle 12
1.045917690756969 #37, triangle 13
1.2379020320279863 #38, triangle 13
1.21712078445834 #39, triangle 13
1.1813773026357874 #40, triangle 14
1.0735213493792375 #41, triangle 14
1.1570178544961098 #42, triangle 14
1.0941878225543054 #43, triangle 15
1.40477267318963 #44, triangle 15
1.158424739228392 #45, triangle 15
1.2118067086487483 #46, triangle 16
1.134829152537996 #47, triangle 16
1.1083836063368901 #48, triangle 16
1.0967720995304935 #49, triangle 17
1.1387876994420705 #50, triangle 17
1.204450744470129 #51, triangle 17
1.2268753065910125 #52, triangle 18
1.0957216987873681 #53, triangle 18
1.1258354352399715 #54, triangle 18
1.2215679455608444 #55, triangle 19
1.241952761503601 #56, triangle 19
1.1684961200723272 #57, triangle 19
1.0581949088395048 #58, triangle 20
1.000634036434446 #59, triangle 20
1.0485307113445286 #60, triangle 20
1.1448878779353775 #61, triangle 21
1.345020177011029 #62, triangle 21
1.0279311719203719 #63, triangle 21
1.000538298256084 #64, triangle 22
1.2061618731404389 #65, triangle 22
1.3484147991643713 #66, triangle 22
1.0696502646440595 #67, triangle 23
1.0298680578418227 #68, triangle 23
1.0031737027376135 #69, triangle 23
1.0793661098294818 #70, triangle 24
1.0680679859530084 #71, triangle 24
1.0148789138943235 #72, triangle 24
1.3949292053505513 #73, triangle 25
1.4663220620731021 #74, triangle 25
1.3644135004583278 #75, triangle 25
1.0594736977469918 #76, triangle 26
1.0064529710108379 #77, triangle 26
1.1120929923487295 #78, triangle 26
1.0160229641020024 #79, triangle 27
1.0905124903641974 #80, triangle 27
1.2827031350793527 #81, triangle 27
1.052419520205422 #82, triangle 28
1.0855220788139202 #83, triangle 28
1.0742040994793427 #84, triangle 28
1.128090201426039 #85, triangle 29
1.0095256156655188 #86, triangle 29
1.0541589272859657 #87, triangle 29
1.223553147713367 #88, triangle 30
1.068331508568188 #89, triangle 30
1.0453401367206656 #90, triangle 30
1.0537838506244648 #91, triangle 31
1.1244456027293475 #92, triangle 31
1.0318621556133933 #93, triangle 31
1.1336579708524845 #94, triangle 32
1.295356969414753 #95, triangle 32
1.2907319927781964 #96, triangle 32
1.1135291346638678 #97, triangle 33
1.0648142464777492 #98, triangle 33
1.1289147570907456 #99, triangle 33
1.1234210130839266 #100, triangle 34
1.0630265714641811 #101, triangle 34
1.0370551599476536 #102, triangle 34
1.0615069675626692 #103, triangle 35
1.0601852663159512 #104, triangle 35
1.0918196260936062 #105, triangle 35
1.0518623514204877 #106, triangle 36
1.0552540320111496 #107, triangle 36
