SKEWS FOR JACOBIAN
0.7941026670997544 #1, triangle 1
-0.18353386217391832 #2, triangle 1
0.16527237657592309 #3, triangle 1
0.7583422176212786 #4, triangle 2
-0.8462953806853055 #5, triangle 2
-0.15859355283962723 #6, triangle 2
0.38317820703567623 #7, triangle 3
1.3235599154179578 #8, triangle 3
-0.08945943968985136 #9, triangle 3
0.15787892606548215 #10, triangle 4
1.0960650657841409 #11, triangle 4
-0.23356850125727407 #12, triangle 4
0.20265484995157992 #13, triangle 5
1.1918327754013172 #14, triangle 5
-0.20430711209205696 #15, triangle 5
-0.2157685036883661 #16, triangle 6
0.1394984091769568 #17, triangle 6
0.9780816872676593 #18, triangle 6
1.1155890335762997 #19, triangle 7
-0.19736027726583974 #20, triangle 7
0.19395402103834297 #21, triangle 7
-1.0521209426868785 #22, triangle 8
-0.08892362341628879 #23, triangle 8
0.4221181977764849 #24, triangle 8
0.38730673180049724 #25, triangle 9
-0.7500185928900801 #26, triangle 9
-0.262593453736976 #27, triangle 9
0.4706608628996944 #28, triangle 10
-0.7956841327201019 #29, triangle 10
-0.2529648488830485 #30, triangle 10
-0.7259190589320381 #31, triangle 11
-0.268882990724086 #32, triangle 11
0.4430930286376499 #33, triangle 11
-0.17704025745064017 #34, triangle 12
0.1244817239396368 #35, triangle 12
0.7034556854384458 #36, triangle 12
-0.9961241888073775 #37, triangle 13
-0.18293901644537902 #38, triangle 13
0.14293561018055168 #39, triangle 13
0.6590099636372947 #40, triangle 14
-0.6546767129465781 #41, triangle 14
-0.14609321401342987 #42, triangle 14
0.35381376782783563 #43, triangle 15
-1.1661974614210475 #44, triangle 15
-0.09901340641291029 #45, triangle 15
-0.5458869188687097 #46, triangle 16
0.03623356635636534 #47, triangle 16
0.4365842965792873 #48, triangle 16
-0.19984091089653674 #49, triangle 17
0.4333885115771508 #50, triangle 17
-0.8457239274695545 #51, triangle 17
1.1815209794909136 #52, triangle 18
0.020660407436317498 #53, triangle 18
0.40284330831414544 #54, triangle 18
1.2215679455608508 #55, triangle 19
-0.2483905523007192 #56, triangle 19
0.23369922401446208 #57, triangle 19
0.3098956803707726 #58, triangle 20
1.2118738614376818 #59, triangle 20
-0.08549873642911571 #60, triangle 20
-0.04864391157570165 #61, triangle 21
0.8874224066714133 #62, triangle 21
-0.49937178855666575 #63, triangle 21
0.6170321335370734 #64, triangle 22
1.5012458842918428 #65, triangle 22
0.1766659149178597 #66, triangle 22
0.18697700230696682 #67, triangle 23
0.9709981704798019 #68, triangle 23
-0.1993672675571633 #69, triangle 23
0.669948188754463 #70, triangle 24
-0.44949899851481967 #71, triangle 24
0.19137948696317827 #72, triangle 24
1.3949292053505482 #73, triangle 25
-0.2932644124146204 #74, triangle 25
0.27288270009166554 #75, triangle 25
-0.5333857720928589 #76, triangle 26
-0.05542486836914844 #77, triangle 26
0.5791032188619579 #78, triangle 26
0.18459541008291627 #79, triangle 27
0.7758263606991835 #80, triangle 27
-0.38009090916406163 #81, triangle 27
-0.07054922962159171 #82, triangle 28
0.309969976101377 #83, triangle 28
-0.8748845867302879 #84, triangle 28
-0.8769708560309073 #85, triangle 29
-0.33168719310270806 #86, triangle 29
0.3207464697514221 #87, triangle 29
0.7938153196436425 #88, triangle 30
-0.32416666282834666 #89, triangle 30
0.30651470223121663 #90, triangle 30
-0.8722035365401273 #91, triangle 31
-0.2820403714935598 #92, triangle 31
0.43180831014986937 #93, triangle 31
0.5497296239887056 #94, triangle 32
-0.926870801378768 #95, triangle 32
-0.24511404252356245 #96, triangle 32
-0.42372047062980456 #97, triangle 33
0.3055663379501167 #98, triangle 33
0.7972446419285356 #99, triangle 33
0.7504476586923697 #100, triangle 34
-0.4359566327119324 #101, triangle 34
0.26829276832647037 #102, triangle 34
-0.29725372795554156 #103, triangle 35
0.4110592004037612 #104, triangle 35
-0.8112836219504438 #105, triangle 35
0.25761272149680464 #106, triangle 36
0.7735384324404457 #107, triangle 36
-0.4329625355902765 #108, triangle 36
0.3451052035649027 #109, triangle 37
-0.7944793784359041 #110, triangle 37
-0.311964539852774 #111, triangle 37
-0.8939652071528714 #112, triangle 38
0.12366627164436449 #113, triangle 38
0.7780442847881435 #114, triangle 38
1.1824591966775948 #115, triangle 39
-0.10962857402808585 #116, triangle 39
0.34002821779961057 #117, triangle 39
-0.20374704754160397 #118, triangle 40
0.5091259917960809 #119, triangle 40
-0.74055292438991 #120, triangle 40
-0.1817386608249847 #121, triangle 41
0.37708120780602206 #122, triangle 41
-0.639910615408946 #123, triangle 41
0.38169749251818613 #124, triangle 42
-0.70500167998937 #125, triangle 42
-0.23927346320041645 #126, triangle 42
0.3071439378656415 #127, triangle 43
-0.745353792616495 #128, triangle 43
-0.2942833366955844 #129, triangle 43
-0.6641134768110922 #130, triangle 44
-0.2663843607935653 #131, triangle 44
0.30545798701330873 #132, triangle 44
-0.8565488930829537 #133, triangle 45
-0.3164042298000683 #134, triangle 45
0.3684947953014649 #135, triangle 45
0.3569460707502087 #136, triangle 46
-0.8912307167879192 #137, triangle 46
-0.30344062510912057 #138, triangle 46
0.3748646191342905 #139, triangle 47
-0.644555149280851 #140, triangle 47
-0.22726714221195196 #141, triangle 47
-0.45557050773430025 #142, triangle 48
0.15643134994044888 #143, triangle 48
0.5958128492895884 #144, triangle 48
-0.6797752808988837 #145, triangle 49
-0.20856976232287175 #146, triangle 49
0.3970442471962603 #147, triangle 49
-0.24946540164185468 #148, triangle 50
0.3977533097771189 #149, triangle 50
-0.8241737569146292 #150, triangle 50
-0.3269857969489732 #151, triangle 51
0.3412793956588854 #152, triangle 51
-0.8281846914048758 #153, triangle 51
-0.2859718263651122 #154, triangle 52
0.34238881256535664 #155, triangle 52
-0.7572423055629534 #156, triangle 52
0.3951698639012875 #157, triangle 53
-0.6155549673040924 #158, triangle 53
-0.1884465864350573 #159, triangle 53
0.415278608577348 #160, triangle 54
-0.7906428503626574 #161, triangle 54
-0.2576904754841791 #162, triangle 54
0.37348300140282364 #163, triangle 55
-0.7844470099180421 #164, triangle 55
-0.2651922863253778 #165, triangle 55
-0.7258461478485085 #166, triangle 56
-0.25673030901067906 #167, triangle 56
0.3666971245520282 #168, triangle 56
-0.8430645416673432 #169, triangle 57
-0.32045533501831386 #170, triangle 57
0.34022887396856066 #171, triangle 57
-0.6075278379580172 #172, triangle 58
-0.19028629584269627 #173, triangle 58
0.415071699406049 #174, triangle 58
-0.756267359454467 #175, triangle 59
-0.28704696424239035 #176, triangle 59
0.33651914884565093 #177, triangle 59
0.34790549954359146 #178, triangle 60
-0.751146949438166 #179, triangle 60
-0.28730401988398274 #180, triangle 60
0.22135772154650987 #181, triangle 61
0.6694498963441842 #182, triangle 61
-0.4245696691419103 #183, triangle 61
0.29230771858389765 #184, triangle 62
0.8145739631871418 #185, triangle 62
-0.38566837381395097 #186, triangle 62
0.7220805172776216 #187, triangle 63
-0.4501256499597077 #188, triangle 63
0.2121806054043912 #189, triangle 63
0.28247016395227986 #190, triangle 64
0.7773673682164753 #191, triangle 64
-0.4127027795022361 #192, triangle 64
0.79686309804739 #193, triangle 65
-0.3914146993002949 #194, triangle 65
0.27578263315376145 #195, triangle 65
-0.8260820390335731 #196, triangle 66
-0.3127335592720085 #197, triangle 66
0.3564082618095549 #198, triangle 66
0.34832843216505704 #199, triangle 67
-0.8206385515781227 #200, triangle 67
-0.31606779004625474 #201, triangle 67
0.3473550894775998 #202, triangle 68
-0.7959586266826232 #203, triangle 68
-0.31700636739944826 #204, triangle 68
0.3132355907981712 #205, triangle 69
0.8022054181575519 #206, triangle 69
-0.3253694811413634 #207, triangle 69
0.2983213278633817 #208, triangle 70
0.7610031939276196 #209, triangle 70
-0.32338960989369253 #210, triangle 70
0.7916225358983753 #211, triangle 71
-0.34745337578789715 #212, triangle 71
0.3068617961722618 #213, triangle 71
0.7367923707872128 #214, triangle 72
-0.340912096100514 #215, triangle 72
0.25185055729051053 #216, triangle 72
0.682256159192719 #217, triangle 73
-0.34591253013019935 #218, triangle 73
0.22387002459063896 #219, triangle 73
-0.3098102089225962 #220, triangle 74
0.3125588378260312 #221, triangle 74
