TAPERS FOR JACOBIAN
0.11951881884209975 0.4999999999999984 #1, triangle 1
-0.4069955144202168 -0.20000000000000104 #2, triangle 1
-0.2670004856081604 0.20000000000000104 #3, triangle 1
-0.2000000000000022 -0.39412452879241117 #4, triangle 2
0.5 0.10368782795063133 #5, triangle 2
0.2000000000000022 -0.27762225266543467 #6, triangle 2
0.2878114452696264 -0.16418961818639347 #7, triangle 3
-0.08748921901322836 -0.5599811219834526 #8, triangle 3
0.38219138772133593 0.23286785566197962 #9, triangle 3
0.3252243465988541 -0.20987451705605395 #10, triangle 4
-0.017706779987473633 -0.48485153664940656 #11, triangle 4
0.3415421680657446 0.18987554775295443 #12, triangle 4
-0.32794190039508275 0.2 #13, triangle 5
0.011890326983988614 0.5 #14, triangle 5
-0.33876872308055095 -0.2 #15, triangle 5
-0.344595866764492 -0.1888230945714573 #16, triangle 6
-0.32225790595877707 0.21087308677212185 #17, triangle 6
0.023925996697308317 0.4833502411792999 #18, triangle 6
0.024817785367937426 0.5 #19, triangle 7
-0.34504145607727266 -0.2000000000000014 #20, triangle 7
-0.32182728198167726 0.19999999999999907 #21, triangle 7
0.10546765584887144 -0.4527884900182168 #22, triangle 8
-0.2764620112469167 -0.23202998726448565 #23, triangle 8
-0.39550864356036536 0.16518195922937035 #24, triangle 8
-0.2 -0.35061180463249997 #25, triangle 9
0.5000000000000026 0.03564328744749458 #26, triangle 9
0.2 -0.316491367177436 #27, triangle 9
-0.19999999999999807 -0.36062202570154184 #28, triangle 10
0.5 0.053705417142236325 #29, triangle 10
0.19999999999999807 -0.3071177254531551 #30, triangle 10
-0.448536290802699 -0.03721669759840466 #31, triangle 11
-0.23510471659802176 0.31569874351775784 #32, triangle 11
0.16151803742626966 0.35144706550420113 #33, triangle 11
-0.39085084455737074 -0.19279315129460367 #34, triangle 12
-0.2803840855406279 0.20707930009360948 #35, triangle 12
0.09939914515633541 0.4890834958700678 #36, triangle 12
-0.0007898186674068382 0.5104659778161412 #37, triangle 13
0.3329818401213214 0.1933848549512654 #38, triangle 13
