ASPECT RATIOS FOR SHAPE PARAMETERS
1.3492031818682464 #1, triangle 1
1.1970647334154811 #2, triangle 1
1.2264972165878092 #3, triangle 1
1.206704545538046 #4, triangle 2
1.3484230765163938 #5, triangle 2
1.4316102948310747 #6, triangle 2
1.0807374298828971 #7, triangle 3
1.4274187884325682 #8, triangle 3
1.466470751193744 #9, triangle 3
1.0261437280401302 #10, triangle 4
1.0180771946200782 #11, triangle 4
1.0194677506088448 #12, triangle 4
1.0440968324553093 #13, triangle 5
1.0401743557216383 #14, triangle 5
1.0690380977682856 #15, triangle 5
1.0863340632145826 #16, triangle 6
1.0942642547525339 #17, triangle 6
1.0125752356753328 #18, triangle 6
1.058528925065362 #19, triangle 7
1.0531836141633897 #20, triangle 7
1.011821898721418 #21, triangle 7
1.1058240201878886 #22, triangle 8
1.2367580256153423 #23, triangle 8
1.2663928006736123 #24, triangle 8
1.1059453148434952 #25, triangle 9
1.0864165823266112 #26, triangle 9
1.027999516053812 #27, triangle 9
1.0550357974917521 #28, triangle 10
1.1204352132858804 #29, triangle 10
1.0933742308480994 #30, triangle 10
1.0682734156967342 #31, triangle 11
1.0318627010658485 #32, triangle 11
1.0551149024682251 #33, triangle 11
1.1807969698502672 #34, triangle 12
1.371925944409358 #35, triangle 12
1.289397953263589 #36, triangle 12
1.022158230790638 #37, triangle 13
1.1898884242687324 #38, triangle 13
1.173640673845777 #39, triangle 13
1.0753439970445238 #40, triangle 14
1.1087372976687244 #41, triangle 14
1.1521989343986458 #42, triangle 14
1.091875540367393 #43, triangle 15
1.1344030459536363 #44, triangle 15
1.200397896623806 #45, triangle 15
1.3250641439747142 #46, triangle 16
1.1306790841058805 #47, triangle 16
1.2360970448458453 #48, triangle 16
1.2048562174560762 #49, triangle 17
1.3813175864265808 #50, triangle 17
1.5064492653355057 #51, triangle 17
1.4773234951857261 #52, triangle 18
1.342488603130854 #53, triangle 18
1.2144121518096838 #54, triangle 18
1.20661363848866 #55, triangle 19
1.3125241413751476 #56, triangle 19
1.154345173556245 #57, triangle 19
1.067986942633253 #58, triangle 20
1.2164213587165857 #59, triangle 20
1.1673672188848687 #60, triangle 20
1.1846986013108096 #61, triangle 21
1.1711375989943782 #62, triangle 21
1.0184336668473546 #63, triangle 21
1.2581096472064548 #64, triangle 22
1.7840954725271336 #65, triangle 22
1.6622535616696217 #66, triangle 22
1.0711398802604333 #67, triangle 23
1.1929396315299714 #68, triangle 23
1.141375928717685 #69, triangle 23
1.159336352769413 #70, triangle 24
1.1693488452159853 #71, triangle 24
1.0134655700050066 #72, triangle 24
1.2839860286528295 #73, triangle 25
1.499958949806795 #74, triangle 25
1.3407801167499018 #75, triangle 25
1.3375301765020435 #76, triangle 26
1.0361477979501694 #77, triangle 26
1.318563779175549 #78, triangle 26
1.1391511306285464 #79, triangle 27
1.579321409650147 #80, triangle 27
1.5117640600698128 #81, triangle 27
1.0421032305835838 #82, triangle 28
1.0265914406529268 #83, triangle 28
1.0279688841724506 #84, triangle 28
1.1219562957974665 #85, triangle 29
1.0009862461423764 #86, triangle 29
1.12231866842789 #87, triangle 29
1.0673263923836143 #88, triangle 30
1.113792429917057 #89, triangle 30
1.0659308945739194 #90, triangle 30
1.1805117060417942 #91, triangle 31
1.1178361783551447 #92, triangle 31
1.0969674096534419 #93, triangle 31
1.1031133120624679 #94, triangle 32
1.2976353803831993 #95, triangle 32
1.292463750054255 #96, triangle 32
1.0723160217101129 #97, triangle 33
1.0438806080643286 #98, triangle 33
1.0431582649388722 #99, triangle 33
1.0103531164426176 #100, triangle 34
1.0204399911833555 #101, triangle 34
1.0193908522651802 #102, triangle 34
1.0392576626562808 #103, triangle 35
1.0192157371113937 #104, triangle 35
1.0348202324720523 #105, triangle 35
1.038583416020007 #106, triangle 36
1.0990669428435405 #107, triangle 36
1.0723165663461933 #108, triangle 36
1.0516649669947347 #109, triangle 37
1.0233402990840625 #110, triangle 37
1.0564809987568031 #111, triangle 37
1.278564354205254 #112, triangle 38
1.474317988519496 #113, triangle 38
1.3058957095584196 #114, triangle 38
1.4447702156652604 #115, triangle 39
1.4511628336816558 #116, triangle 39
1.0363322257771246 #117, triangle 39
1.0980114651021367 #118, triangle 40
1.1065252933686573 #119, triangle 40
1.176640053833213 #120, triangle 40
1.0990889488613487 #121, triangle 41
1.3428714733801368 #122, triangle 41
1.2775059780209106 #123, triangle 41
1.1531265726318882 #124, triangle 42
1.1067379670320356 #125, triangle 42
1.064111554308238 #126, triangle 42
1.137229558808544 #127, triangle 43
1.0474344171331051 #128, triangle 43
1.1291916830772615 #129, triangle 43
1.1218801545285675 #130, triangle 44
1.2229054009693867 #131, triangle 44
1.1437450220174625 #132, triangle 44
1.0869372471757819 #133, triangle 45
1.0307749688847792 #134, triangle 45
1.0663166764537666 #135, triangle 45
1.1724294551046979 #136, triangle 46
1.2188190090286075 #137, triangle 46
1.0643200545620362 #138, triangle 46
1.1307129085816037 #139, triangle 47
1.0518573093578512 #140, triangle 47
1.142878903833442 #141, triangle 47
1.2025077123004002 #142, triangle 48
1.072925071359467 #143, triangle 48
1.1497559604845944 #144, triangle 48
1.1803838174857306 #145, triangle 49
1.0547095715590347 #146, triangle 49
1.2198415169996397 #147, triangle 49
1.0772721928800635 #148, triangle 50
1.2274234338567538 #149, triangle 50
1.2808900379312655 #150, triangle 50
1.0352549067074324 #151, triangle 51
1.0441884059010944 #152, triangle 51
1.0234078855084943 #153, triangle 51
1.0759942404610496 #154, triangle 52
1.11125485683622 #155, triangle 52
1.0580175396737648 #156, triangle 52
1.2208212584671525 #157, triangle 53
1.1325427581034295 #158, triangle 53
1.124671614109865 #159, triangle 53
1.1228655061723436 #160, triangle 54
1.1532847514136852 #161, triangle 54
1.0415368053940888 #162, triangle 54
1.166769811153836 #163, triangle 55
1.166039455724816 #164, triangle 55
1.0010169565194844 #165, triangle 55
1.0916593560919097 #166, triangle 56
1.066587756796331 #167, triangle 56
1.1394732291152607 #168, triangle 56
1.0803438023760037 #169, triangle 57
1.0122289908966817 #170, triangle 57
1.087718695447385 #171, triangle 57
1.0654990814844136 #172, triangle 58
1.1237153328391662 #173, triangle 58
1.1522839121785324 #174, triangle 58
1.0597186630732456 #175, triangle 59
1.0828425978112037 #176, triangle 59
1.1179095339966152 #177, triangle 59
1.0862073900399958 #178, triangle 60
1.0305805552332048 #179, triangle 60
1.0816309561686064 #180, triangle 60
1.0620682694131294 #181, triangle 61
1.048736593631371 #182, triangle 61
1.091422346393792 #183, triangle 61
1.0197974713263869 #184, triangle 62
1.0880424217787696 #185, triangle 62
1.0751949550847781 #186, triangle 62
1.173494872584791 #187, triangle 63
1.151873564223154 #188, triangle 63
1.0292585886138466 #189, triangle 63
1.0163817580852856 #190, triangle 64
1.0269328759896281 #191, triangle 64
1.0209684882596084 #192, triangle 64
1.1172480652219101 #193, triangle 65
1.1053402971868371 #194, triangle 65
1.0168919296003966 #195, triangle 65
1.0601303267780324 #196, triangle 66
1.01226563436175 #197, triangle 66
1.0663200714570253 #198, triangle 66
1.0623899891536424 #199, triangle 67
1.0457329008763554 #200, triangle 67
1.0273276786732193 #201, triangle 67
1.0305079246122815 #202, triangle 68
1.0404915563984447 #203, triangle 68
1.059154436656234 #204, triangle 68
1.0621421364639694 #205, triangle 69
1.0521790154126616 #206, triangle 69
1.095124087206914 #207, triangle 69
1.0996260086425442 #208, triangle 70
1.0367058744176345 #209, triangle 70
1.1055073946619207 #210, triangle 70
1.0287947357467597 #211, triangle 71
1.0630243121180911 #212, triangle 71
1.0525044860625685 #213, triangle 71
1.187163196614527 #214, triangle 72
1.235708772047855 #215, triangle 72
1.0679251824599438 #216, triangle 72
1.2026460720708374 #217, triangle 73
1.2776125294212792 #218, triangle 73
1.1072992371011123 #219, triangle 73
1.148898283664777 #220, triangle 74
1.056007385807559 #221, triangle 74
1.1082700851897351 #222, triangle 74
1.0219666810980708 #223, triangle 75
1.0464893813133445 #224, triangle 75
1.0403620897397658 #225, triangle 75
1.0548200441907685 #226, triangle 76
1.0476958174699469 #227, triangle 76
1.0850185149148457 #228, triangle 76
1.0440612812591519 #229, triangle 77
1.0363332817590047 #230, triangle 77
1.0648761017835304 #231, triangle 77
1.119870459770993 #232, triangle 78
1.088507527268138 #233, triangle 78
1.0439310242789934 #234, triangle 78
1.0727734689272979 #235, triangle 79
1.008530954356743 #236, triangle 79
1.0769038453123658 #237, triangle 79
1.0300025109721496 #238, triangle 80
1.0938152484367527 #239, triangle 80
1.0942769127494576 #240, triangle 80
1.1331333353965334 #241, triangle 81
1.0771716951872314 #242, triangle 81
1.078692876660158 #243, triangle 81
1.058282208180731 #244, triangle 82
1.051254649173642 #245, triangle 82
1.01419273153463 #246, triangle 82
1.071715068030239 #247, triangle 83
1.0296277521787953 #248, triangle 83
1.0528034380918827 #249, triangle 83
1.1096978476120793 #250, triangle 84
1.036255989457825 #251, triangle 84
1.0841387066059862 #252, triangle 84
1.052268636056706 #253, triangle 85
1.0345444064236453 #254, triangle 85
1.0299220185938502 #255, triangle 85
1.23738751891272 #256, triangle 86
1.0037565507400386 #257, triangle 86
1.2364635429622117 #258, triangle 86
1.1210822660485777 #259, triangle 87
1.023402013847048 #260, triangle 87
1.1043459882173532 #261, triangle 87
1.1437731622759248 #262, triangle 88
1.1070957991750583 #263, triangle 88
1.0682778563590283 #264, triangle 88
1.2078920411558316 #265, triangle 89
1.2035253145464289 #266, triangle 89
1.0068142848859971 #267, triangle 89
1.3271855382984277 #268, triangle 90
1.259596014451464 #269, triangle 90
1.100651410191032 #270, triangle 90
1.12746482672971 #271, triangle 91
1.7189487122245257 #272, triangle 91
1.6851789224890128 #273, triangle 91
1.5119925721965588 #274, triangle 92
1.4414924714591022 #275, triangle 92
1.1302096169008293 #276, triangle 92
1.3247753142476035 #277, triangle 93
1.2260132206488012 #278, triangle 93
