SKEWS FOR SHAPE PARAMETERS
1.5705920226830656 #1, triangle 1
1.5697854642151319 #2, triangle 1
1.5706103172836399 #3, triangle 1
1.56949134067253 #4, triangle 2
1.571030670066342 #5, triangle 2
1.5708415557412836 #6, triangle 2
1.5703596535674686 #7, triangle 3
1.5700625606820813 #8, triangle 3
1.5702315415303743 #9, triangle 3
1.5711613626460226 #10, triangle 4
1.5703826312556137 #11, triangle 4
1.5704554538121513 #12, triangle 4
1.5710519288746574 #13, triangle 5
1.5702763257366354 #14, triangle 5
1.5704504485979394 #15, triangle 5
1.5703381472753053 #16, triangle 6
1.5712110919769744 #17, triangle 6
1.570649888634224 #18, triangle 6
1.5703951965447314 #19, triangle 7
1.5703643404432144 #20, triangle 7
1.571035685721757 #21, triangle 7
1.5716234645479603 #22, triangle 8
1.5708030142026697 #23, triangle 8
1.5708727689663287 #24, triangle 8
1.570307006273467 #25, triangle 9
1.570172782793499 #26, triangle 9
1.570964208472239 #27, triangle 9
1.5701695681449401 #28, triangle 10
1.570537914592583 #29, triangle 10
1.5709632903275943 #30, triangle 10
1.5704560746091525 #31, triangle 11
1.5713726624151692 #32, triangle 11
1.5705072656969685 #33, triangle 11
1.5696685169242488 #34, triangle 12
1.5708939416880499 #35, triangle 12
1.570965609904306 #36, triangle 12
1.5707392950743206 #37, triangle 13
1.570266098806769 #38, triangle 13
1.571421366279336 #39, triangle 13
1.5700637764870904 #40, triangle 14
1.5706797392150371 #41, triangle 14
1.5710689636129944 #42, triangle 14
1.5707829149690402 #43, triangle 15
1.5714565812167673 #44, triangle 15
1.5704751700341486 #45, triangle 15
1.5711958173203888 #46, triangle 16
1.5710318260213325 #47, triangle 16
1.571680192742444 #48, triangle 16
1.5703044601593674 #49, triangle 17
1.5697114232279348 #50, triangle 17
1.5703560229892566 #51, triangle 17
1.5704084965322525 #52, triangle 18
1.5697022686547175 #53, triangle 18
1.5703579231308533 #54, triangle 18
1.5697883837728657 #55, triangle 19
1.5704303723101485 #56, triangle 19
1.5705869895526559 #57, triangle 19
1.5707141515864258 #58, triangle 20
1.5703066129815033 #59, triangle 20
1.5699916194441346 #60, triangle 20
1.571287547631879 #61, triangle 21
1.570232246103297 #62, triangle 21
1.5708410857075539 #63, triangle 21
1.5698660955215809 #64, triangle 22
1.5700846949503482 #65, triangle 22
1.5694508127697366 #66, triangle 22
1.5707823961512066 #67, triangle 23
1.5704913230076956 #68, triangle 23
1.5702662891404346 #69, triangle 23
1.5713578537498156 #70, triangle 24
1.5713018681927202 #71, triangle 24
1.57081376473517 #72, triangle 24
1.5692186570050215 #73, triangle 25
1.5706205978386814 #74, triangle 25
1.5703520913418514 #75, triangle 25
1.570129505145181 #76, triangle 26
1.57044501159489 #77, triangle 26
1.5700227172607413 #78, triangle 26
1.5714135247782555 #79, triangle 27
1.5714300621370911 #80, triangle 27
1.5717500510348372 #81, triangle 27
1.5704285064524797 #82, triangle 28
1.5712599618312344 #83, triangle 28
1.5711117633166416 #84, triangle 28
1.5702574567199645 #85, triangle 29
1.570880766204162 #86, triangle 29
1.5702597075283264 #87, triangle 29
1.57149693808276 #88, triangle 30
1.571180025706171 #89, triangle 30
1.5706084859176044 #90, triangle 30
1.57053853610705 #91, triangle 31
1.5708495358619965 #92, triangle 31
1.5700840357592212 #93, triangle 31
1.5695715626074738 #94, triangle 32
1.5707912466232734 #95, triangle 32
1.5707819508092278 #96, triangle 32
1.5711429656970661 #97, triangle 33
1.5702807044906077 #98, triangle 33
1.5710390000558183 #99, triangle 33
1.571121018504121 #100, triangle 34
1.571155206962432 #101, triangle 34
1.5704315200406973 #102, triangle 34
1.571138203118409 #103, triangle 35
1.5703323132130236 #104, triangle 35
1.5704706757250384 #105, triangle 35
1.5706218661127842 #106, triangle 36
1.5711893416816949 #107, triangle 36
1.5713504436098347 #108, triangle 36
1.5705163218353488 #109, triangle 37
1.5703103202261826 #110, triangle 37
1.5710928530114487 #111, triangle 37
1.5720428266841038 #112, triangle 38
1.5706067454403323 #113, triangle 38
1.5704402981201373 #114, triangle 38
1.570014266780277 #115, triangle 39
1.5700468182577814 #116, triangle 39
1.5702784347585512 #117, triangle 39
1.570841746637756 #118, triangle 40
1.5700676775287008 #119, triangle 40
1.5704760984355486 #120, triangle 40
1.5705036221248108 #121, triangle 41
1.5703093458513049 #122, triangle 41
1.5699609168137856 #123, triangle 41
1.5703695339389274 #124, triangle 42
1.5700637456732591 #125, triangle 42
1.5708710537411033 #126, triangle 42
1.5706078801074843 #127, triangle 43
1.5701124634431556 #128, triangle 43
1.570958165602525 #129, triangle 43
1.5699700808626986 #130, triangle 44
1.571051997469104 #131, triangle 44
1.5708089075636626 #132, triangle 44
1.5704357624177403 #133, triangle 45
1.5709738614225168 #134, triangle 45
1.570323760251964 #135, triangle 45
1.5700642888381722 #136, triangle 46
1.5703364424304986 #137, triangle 46
1.5707123718388918 #138, triangle 46
1.5706486383168736 #139, triangle 47
1.570116903747576 #140, triangle 47
1.5709834924981212 #141, triangle 47
1.5712350468886613 #142, triangle 48
1.5708371399212482 #143, triangle 48
1.571560401956475 #144, triangle 48
1.5700533459463801 #145, triangle 49
1.5706976934489798 #146, triangle 49
1.5702930522757208 #147, triangle 49
1.5705857702211445 #148, triangle 50
1.5699696075968579 #149, triangle 50
1.5702853697784482 #150, triangle 50
1.5710957017890004 #151, triangle 51
1.570465732734946 #152, triangle 51
1.570344699823094 #153, triangle 51
1.570979955962156 #154, triangle 52
1.570484614436491 #155, triangle 52
1.5701623093291088 #156, triangle 52
1.5704684804867406 #157, triangle 53
1.5699207579235546 #158, triangle 53
1.570766237795274 #159, triangle 53
1.570175702602281 #160, triangle 54
1.570355446037548 #161, triangle 54
1.570841024989342 #162, triangle 54
1.5702473843587195 #163, triangle 55
1.5702431858724153 #164, triangle 55
1.5707735659282211 #165, triangle 55
1.570140753954836 #166, triangle 56
1.5709001504396596 #167, triangle 56
1.5704289315963833 #168, triangle 56
1.5702993587323184 #169, triangle 57
1.5709742943207856 #170, triangle 57
1.5703440265191295 #171, triangle 57
1.5700300641084537 #172, triangle 58
1.570931111496652 #173, triangle 58
1.5705573885750623 #174, triangle 58
1.5701452141469823 #175, triangle 59
1.5709699272611766 #176, triangle 59
1.5704959208014653 #177, triangle 59
1.5705437187218578 #178, triangle 60
1.5702277360086778 #179, triangle 60
1.5710333372818586 #180, triangle 60
1.5705865769452354 #181, triangle 61
1.571356425675789 #182, triangle 61
1.57110840977044 #183, triangle 61
1.5706100280945758 #184, triangle 62
1.5712331314858894 #185, triangle 62
1.5713117299157968 #186, triangle 62
1.5713220248897681 #187, triangle 63
1.5714569915118446 #188, triangle 63
1.5708108480374319 #189, triangle 63
1.5704807393970088 #190, triangle 64
1.5711478093926996 #191, triangle 64
1.571181627751173 #192, triangle 64
1.5712616834064566 #193, triangle 65
1.5713324643669913 #194, triangle 65
1.5706888862810302 #195, triangle 65
1.5703585832498228 #196, triangle 66
1.5710141911763076 #197, triangle 66
1.5703938217560596 #198, triangle 66
1.5704413946964202 #199, triangle 67
1.5703481396483103 #200, triangle 67
1.5710334806619095 #201, triangle 67
1.5705308492706185 #202, triangle 68
1.5703157630536357 #203, triangle 68
1.5711649228871527 #204, triangle 68
1.5705930878451397 #205, triangle 69
1.5713683095220836 #206, triangle 69
1.5711158839285628 #207, triangle 69
1.5705793698553683 #208, triangle 70
1.5714381279039502 #209, triangle 70
1.5710340109033984 #210, triangle 70
1.5712906476403874 #211, triangle 71
1.571095907892487 #212, triangle 71
1.5705326554877477 #213, triangle 71
1.571576809066592 #214, triangle 72
1.571283188592087 #215, triangle 72
1.5709183528923731 #216, triangle 72
1.5716675857479767 #217, triangle 73
