TAPERS FOR SHAPE PARAMETERS
0.010300541145881205 0.013841676169049497 #1, triangle 1
0.013037935383538979 0.011920915012581712 #2, triangle 1
0.010796109346475796 0.013197245317252443 #3, triangle 1
0.01345535524008294 0.012691616944277062 #4, triangle 2
0.014223542737860077 0.010598421535511417 #5, triangle 2
0.014655718013836168 0.010239042804537043 #6, triangle 2
0.011192032849872411 0.010639151342037557 #7, triangle 3
0.009690745466242275 0.01286247619941843 #8, triangle 3
0.013037237657696805 0.009293371907997863 #9, triangle 3
0.012876472036066223 0.012672881333212593 #10, triangle 4
0.012825761095947286 0.012758300381627164 #11, triangle 4
0.012834517236013318 0.012698391273470154 #12, triangle 4
0.01298893563695696 0.012501004076725556 #13, triangle 5
0.012713391917131842 0.012964514176407699 #14, triangle 5
0.01314315915603204 0.012403910381588043 #15, triangle 5
0.011837816523806863 0.01262141493866399 #16, triangle 6
0.011755669277778436 0.012667399061512522 #17, triangle 6
0.01205749106549452 0.012185405803951851 #18, triangle 6
0.012243886455662645 0.012793430209124948 #19, triangle 7
0.012761087487682142 0.01230001056713433 #20, triangle 7
0.012419577921891165 0.012507994356323226 #21, triangle 7
0.011512763918007608 0.011767818834113878 #22, triangle 8
0.012445012375561183 0.010062664994209972 #23, triangle 8
0.012593231315009683 0.009951409027389009 #24, triangle 8
0.013078953101984363 0.014269068654792426 #25, triangle 9
0.014142526261230524 0.01330605625094264 #26, triangle 9
0.013404065904794541 0.013757048110512623 #27, triangle 9
0.01235455142539953 0.012616140004079917 #28, triangle 10
0.013001284947462818 0.011670085894506865 #29, triangle 10
0.0128433204618333 0.01177456677186338 #30, triangle 10
0.01284576639003097 0.01362106166547375 #31, triangle 11
0.013249647242753213 0.013386921160167915 #32, triangle 11
0.013536912668243516 0.012899027247487928 #33, triangle 11
0.01230508035343374 0.013056766271777376 #34, triangle 12
0.010267627085236026 0.014073863982631132 #35, triangle 12
0.010610052760270534 0.01364399347861509 #36, triangle 12
0.012369134014209937 0.01263992582516457 #37, triangle 13
