ASPECT RATIOS FOR JACOBIAN
-0.1401162790697795 #1, triangle 1
11.81104651162985 #2, triangle 1
5.46220930232649 #3, triangle 1
1.76049508151293 #4, triangle 2
2.6944781770126185 #5, triangle 2
-0.4959796672828133 #6, triangle 2
4.17909693361787 #7, triangle 3
50.60737527115063 #8, triangle 3
-0.17963481618446717 #9, triangle 3
-0.3676808530195288 #10, triangle 4
1.4849900596421557 #11, triangle 4
-0.6882906649080063 #12, triangle 4
1.2765623638106902 #13, triangle 5
1.5403298894326676 #14, triangle 5
-0.8148765677881751 #15, triangle 5
1.8095396009506408 #16, triangle 6
3.653128153380419 #17, triangle 6
-0.5360505784234584 #18, triangle 6
-0.45997458703946853 #19, triangle 7
2.5251848629838243 #20, triangle 7
-0.3567344503554888 #21, triangle 7
-0.2755822063605657 #22, triangle 8
1.7965084010292995 #23, triangle 8
2.7498552707753072 #24, triangle 8
5.02479338842975 #25, triangle 9
2.150358929736798 #26, triangle 9
-0.2936299995906215 #27, triangle 9
3.7422410417074805 #28, triangle 10
-0.2700110987791352 #29, triangle 10
-0.11063765653686931 #30, triangle 10
3.1838878567809425 #31, triangle 11
-0.13407124803934337 #32, triangle 11
-0.18318861879109707 #33, triangle 11
-0.1761868039240348 #34, triangle 12
2.0678537325169715 #35, triangle 12
1.0554644987870905 #36, triangle 12
3.730879586077169 #37, triangle 13
-0.3185566043366715 #38, triangle 13
-0.09462433611407498 #39, triangle 13
1.6973149759983646 #40, triangle 14
2.783931454116517 #41, triangle 14
-0.7721708337149659 #42, triangle 14
1.6018933504070243 #43, triangle 15
1.700194904635924 #44, triangle 15
-0.8434167720947031 #45, triangle 15
1.0312698544239067 #46, triangle 16
3.0919622718883937 #47, triangle 16
-0.5977405757777473 #48, triangle 16
1.8111815519222936 #49, triangle 17
1.8469092839448051 #50, triangle 17
-0.8780466140837137 #51, triangle 17
2.0493977475322396 #52, triangle 18
-0.4048085291557821 #53, triangle 18
-0.3971497149715113 #54, triangle 18
1.6888536509901066 #55, triangle 19
2.0704957678355775 #56, triangle 19
-0.4531226523764239 #57, triangle 19
40.15099223468492 #58, triangle 20
1.3854427937487837 #59, triangle 20
2.236027263875487 #60, triangle 20
2.142076502732885 #61, triangle 21
4.482518796992565 #62, triangle 21
-0.22997360724731114 #63, triangle 21
1.2991482044309444 #64, triangle 22
6.762777242043912 #65, triangle 22
-0.717405278681092 #66, triangle 22
3.3015216230646907 #67, triangle 23
1.087884831747993 #68, triangle 23
-0.6120410016867565 #69, triangle 23
1.4076143904995255 #70, triangle 24
1.9117793240557386 #71, triangle 24
-0.8627609973647468 #72, triangle 24
1.685548040580841 #73, triangle 25
7.064165497896191 #74, triangle 25
3.9818118829034534 #75, triangle 25
1.4115898959881061 #76, triangle 26
1.1049783065706573 #77, triangle 26
-0.7640873750462754 #78, triangle 26
1.9963754436305183 #79, triangle 27
1.20422247213983 #80, triangle 27
-0.6336967716731099 #81, triangle 27
-0.16903039073802165 #82, triangle 28
2.0366921473245685 #83, triangle 28
-0.2565246486727546 #84, triangle 28
1.5134933651409628 #85, triangle 29
2.0569455103606287 #86, triangle 29
-0.854756028099485 #87, triangle 29
-0.441447093266416 #88, triangle 30
1.405731880625274 #89, triangle 30
-0.20051291793313172 #90, triangle 30
4.826717766219487 #91, triangle 31
5.021362353889627 #92, triangle 31
1.152011922503589 #93, triangle 31
2.226728054395246 #94, triangle 32
-0.4155056449675891 #95, triangle 32
-0.2558163300064674 #96, triangle 32
1.3348379816217986 #97, triangle 33
4.474302989586795 #98, triangle 33
-0.2956535947712406 #99, triangle 33
3.734933555631826 #100, triangle 34
-0.2770225358524942 #101, triangle 34
-0.11197228174658264 #102, triangle 34
1.5868622874291431 #103, triangle 35
4.263178913738017 #104, triangle 35
-0.5019399730648356 #105, triangle 35
-0.3505592981637805 #106, triangle 36
1.5870255228487962 #107, triangle 36
3.967562495811292 #108, triangle 36
1.53378889982587 #109, triangle 37
4.424048296952461 #110, triangle 37
-0.5202060249671994 #111, triangle 37
-0.2648973030340844 #112, triangle 38
1.8221888761113647 #113, triangle 38
20.05318615152566 #114, triangle 38
-0.18839566585110018 #115, triangle 39
1.0773601314136767 #116, triangle 39
2.031497967873044 #117, triangle 39
-0.31877174767089295 #118, triangle 40
1.4042919747097597 #119, triangle 40
3.7222886979220475 #120, triangle 40
3.711869151403667 #121, triangle 41
-0.6946586928273408 #122, triangle 41
50.23357452966964 #123, triangle 41
2.0543755041358875 #124, triangle 42
4.601928519023185 #125, triangle 42
-0.6156610914152737 #126, triangle 42
5.7024123013260475 #127, triangle 43
-0.3519873159786596 #128, triangle 43
-0.017596782302664926 #129, triangle 43
-0.4806007679499869 #130, triangle 44
1.8985509627390575 #131, triangle 44
5.107939749808764 #132, triangle 44
3.432356483339996 #133, triangle 45
3.5515904572564674 #134, triangle 45
-0.964720888859047 #135, triangle 45
2.457343496092186 #136, triangle 46
3.554104067733622 #137, triangle 46
-0.6734929484316015 #138, triangle 46
6.860496311199093 #139, triangle 47
2.7883682135272663 #140, triangle 47
-0.24124149009408732 #141, triangle 47
2.5110445828951518 #142, triangle 48
6.801831918165269 #143, triangle 48
-0.24196281344173642 #144, triangle 48
5.472568745808524 #145, triangle 49
5.9266757658479445 #146, triangle 49
-0.20139210396080287 #147, triangle 49
-0.5605365582429923 #148, triangle 50
1.191486211364063 #149, triangle 50
-0.8938458018760063 #150, triangle 50
1.141139051784105 #151, triangle 51
1.575982467500233 #152, triangle 51
2.012319605772812 #153, triangle 51
-0.5890964934732602 #154, triangle 52
1.674561098557329 #155, triangle 52
-0.32605619567415656 #156, triangle 52
2.7324535092981206 #157, triangle 53
4.246771879483517 #158, triangle 53
-0.7790815294355639 #159, triangle 53
2.839999999999982 #160, triangle 54
4.404954227248238 #161, triangle 54
-0.7948680351906117 #162, triangle 54
-0.6946396598030504 #163, triangle 55
3.200267558528458 #164, triangle 55
5.038193624557539 #165, triangle 55
1.8548475693491042 #166, triangle 56
9.256747561805636 #167, triangle 56
-0.25528039796667096 #168, triangle 56
4.6238513882680845 #169, triangle 57
2.3841642228742654 #170, triangle 57
-0.17154332465599395 #171, triangle 57
-0.4428021206216866 #172, triangle 58
2.2661122351820944 #173, triangle 58
2.900601245436934 #174, triangle 58
7.6198101363406385 #175, triangle 59
-0.21634378052028586 #176, triangle 59
-0.018094496662736614 #177, triangle 59
3.6248121656550194 #178, triangle 60
2.6234184094959923 #179, triangle 60
-0.3417471784605496 #180, triangle 60
3.721775420597328 #181, triangle 61
4.97170256249025 #182, triangle 61
-0.19278495415301117 #183, triangle 61
1.9390056126756352 #184, triangle 62
1.1223021582733648 #185, triangle 62
-0.7889230997514545 #186, triangle 62
-0.27797746618920516 #187, triangle 63
2.084377365311396 #188, triangle 63
193.2882562275455 #189, triangle 63
1.0867657626990388 #190, triangle 64
3.8043100451854714 #191, triangle 64
-0.9993045897079132 #192, triangle 64
7.334820875170298 #193, triangle 65
4.929249964554059 #194, triangle 65
-0.14317908412864244 #195, triangle 65
2.3945833333331317 #196, triangle 66
-0.668174699843324 #197, triangle 66
-0.835218374804316 #198, triangle 66
1.8784673380970875 #199, triangle 67
-0.7569323308270852 #200, triangle 67
-0.946747383542005 #201, triangle 67
1.0574376271018124 #202, triangle 68
3.8786595972085425 #203, triangle 68
-0.25332471829535613 #204, triangle 68
5.746527777777894 #205, triangle 69
3.740798611111054 #206, triangle 69
-0.18562441992368506 #207, triangle 69
-0.6119434551830444 #208, triangle 70
2.8691623137938245 #209, triangle 70
4.928483163422932 #210, triangle 70
2.5585690846715776 #211, triangle 71
2.1082146263744352 #212, triangle 71
-0.7109953761248937 #213, triangle 71
3.0864575491426516 #214, triangle 72
-0.8586563213806645 #215, triangle 72
22.05315449577826 #216, triangle 72
1.4262491681455236 #217, triangle 73
2.356615537979755 #218, triangle 73
-0.7995050121670705 #219, triangle 73
6.149915142372123 #220, triangle 74
83.01391304346225 #221, triangle 74
-0.6833081190116043 #222, triangle 74
-0.19263934792872275 #223, triangle 75
6.647680636736529 #224, triangle 75
1.205572658724831 #225, triangle 75
2.3260250684728248 #226, triangle 76
-0.9011683681505193 #227, triangle 76
23.65982955366122 #228, triangle 76
5.302812641765624 #229, triangle 77
-0.9137253725972219 #230, triangle 77
4.000248508946419 #231, triangle 77
1.982405845555698 #232, triangle 78
-0.5753235653235631 #233, triangle 78
-0.2356663178091757 #234, triangle 78
1.3390776567495406 #235, triangle 79
3.1651450053707664 #236, triangle 79
-0.635876239254806 #237, triangle 79
-0.8005364873542181 #238, triangle 80
4.441572996119419 #239, triangle 80
10.68938428874776 #240, triangle 80
7.46029763197931 #241, triangle 81
11.628193832598244 #242, triangle 81
-0.2561639125422213 #243, triangle 81
3.339823694662408 #244, triangle 82
-0.1995708154506456 #245, triangle 82
-0.39925741138249554 #246, triangle 82
2.514313162916924 #247, triangle 83
-0.6411861489872654 #248, triangle 83
5.048699020405882 #249, triangle 83
1.0242125058768237 #250, triangle 84
1.045728344786649 #251, triangle 84
-0.9388012618296634 #252, triangle 84
4.235609103078922 #253, triangle 85
-0.06282957477841525 #254, triangle 85
6.232638888888739 #255, triangle 85
-0.48142479476829547 #256, triangle 86
1.5109737248841215 #257, triangle 86
-0.574261821949218 #258, triangle 86
-0.09472026209677696 #259, triangle 87
2.522251671347826 #260, triangle 87
1.379828931290474 #261, triangle 87
12.200899550223316 #262, triangle 88
9.44444444444509 #263, triangle 88
15.350877192981383 #264, triangle 88
5.665469839966607 #265, triangle 89
-0.34990235566949995 #266, triangle 89
13.329927734863713 #267, triangle 89
7.3581254661474125 #268, triangle 90
1.9383916701612318 #269, triangle 90
-0.5828795476615842 #270, triangle 90
3.424436710020339 #271, triangle 91
-0.18246467966750896 #272, triangle 91
3.4971359139041582 #273, triangle 91
1.259395227514233 #274, triangle 92
-0.5205345501955121 #275, triangle 92
-0.38283938283935365 #276, triangle 92
1.4265248855412853 #277, triangle 93
-0.6187296958535075 #278, triangle 93
-0.19560236998025807 #279, triangle 93
2.348123563951951 #280, triangle 94
-0.30164254893082393 #281, triangle 94
7.208375125375428 #282, triangle 94
3.1196617224754433 #283, triangle 95
20.625998379440894 #284, triangle 95
-0.1394123531348836 #285, triangle 95
5.309488925278037 #286, triangle 96
2.4101746807306017 #287, triangle 96
-0.7246374034097834 #288, triangle 96
-0.9420163487737244 #289, triangle 97
1.2472455013400665 #290, triangle 97
-0.9646130641606502 #291, triangle 97
2.0059385188633523 #292, triangle 98
1.9344420808354372 #293, triangle 98
-0.39934582908046273 #294, triangle 98
1.6212545807285035 #295, triangle 99
1.417166563884041 #296, triangle 99
-0.5149678086376187 #297, triangle 99
1.508292726320267 #298, triangle 100
3.1627850699688733 #299, triangle 100
-0.5105462730664903 #300, triangle 100
2.8222993628628874 #301, triangle 101
-0.6370406429962308 #302, triangle 101
-0.3810023281002941 #303, triangle 101
-0.38255850145723197 #304, triangle 102
2.097378355704688 #305, triangle 102
-0.01101029265751118 #306, triangle 102
39.8687861271624 #307, triangle 103
-0.7110215669215636 #308, triangle 103
5.664347826086908 #309, triangle 103
-0.49585530999811067 #310, triangle 104
2.366164438107713 #311, triangle 104
2.828980488352334 #312, triangle 104
-0.0007497456220099922 #313, triangle 105
1.1190303532580328 #314, triangle 105
-0.3785907958376081 #315, triangle 105
3.7228821694268293 #316, triangle 106
-0.46129541864141044 #317, triangle 106
2.6471612143550547 #318, triangle 106
4.774011392176499 #319, triangle 107
