SKEWS FOR JACOBIAN
-3.3145348837211484 #1, triangle 1
7.795930232559371 #2, triangle 1
-11.250581395350677 #3, triangle 1
0.17625918153200665 #4, triangle 2
-0.39095970307529443 #5, triangle 2
-0.17684842883549068 #6, triangle 2
-0.08485076532326404 #7, triangle 3
-0.3347878268324057 #8, triangle 3
-0.22641804437676677 #9, triangle 3
-1.9560621380639478 #10, triangle 4
0.32800053551107805 #11, triangle 4
0.9664848012471137 #12, triangle 4
0.8268107731195224 #13, triangle 5
-0.3241468580842566 #14, triangle 5
-0.042479593868201077 #15, triangle 5
0.4764273475930058 #16, triangle 6
-0.3212485325599074 #17, triangle 6
-0.21724509012644327 #18, triangle 6
-8.140883977899263 #19, triangle 7
0.15892100458194433 #20, triangle 7
0.41500522050414773 #21, triangle 7
-0.619063578474444 #22, triangle 8
0.40602452192340105 #23, triangle 8
-2.1465186042840574 #24, triangle 8
0.7455718623481755 #25, triangle 9
0.18668312224335323 #26, triangle 9
0.34169157080280854 #27, triangle 9
-0.34183383150307567 #28, triangle 10
-0.6074495005549374 #29, triangle 10
-0.4882169183131004 #30, triangle 10
-0.2532702447511648 #31, triangle 11
-0.5592580669465793 #32, triangle 11
-0.4256822835900744 #33, triangle 11
4.50356270358295 #34, triangle 12
2.076411147932852 #35, triangle 12
2.41139447977442 #36, triangle 12
-0.3840213821491814 #37, triangle 13
-0.6418881470681111 #38, triangle 13
-0.526364343230661 #39, triangle 13
1.3400982098457994 #40, triangle 14
0.6433627219669819 #41, triangle 14
1.0232070846840724 #42, triangle 14
0.8151925363578038 #43, triangle 15
-0.3993449334698115 #44, triangle 15
-0.14221489246340355 #45, triangle 15
0.1738902240269628 #46, triangle 16
-0.47634205378163275 #47, triangle 16
-0.3041860782607186 #48, triangle 16
0.6604752901049207 #49, triangle 17
-0.5047824351297389 #50, triangle 17
-0.2654906558658482 #51, triangle 17
-0.38958200721409725 #52, triangle 18
-1.7187771975630466 #53, triangle 18
-0.9132613261326668 #54, triangle 18
0.8284516912084656 #55, triangle 19
-0.0001635227471797214 #56, triangle 19
0.1939950919016386 #57, triangle 19
-0.7160846674546184 #58, triangle 20
1.0534921859926665 #59, triangle 20
-5.819279454722809 #60, triangle 20
4.3978142076516855 #61, triangle 21
0.04193399589046503 #62, triangle 21
0.16377773022327716 #63, triangle 21
-0.2386837609468546 #64, triangle 22
-1.5243975474119542 #65, triangle 22
-0.8475194736444122 #66, triangle 22
1.8359409743278134 #67, triangle 23
0.5581211005420929 #68, triangle 23
0.9096405864797938 #69, triangle 23
2.422580645161225 #70, triangle 24
0.7150596421471569 #71, triangle 24
1.2694078947367362 #72, triangle 24
-0.8844738412571976 #73, triangle 25
2.023725616717156 #74, triangle 25
6.364974883076834 #75, triangle 25
0.8657665903890248 #76, triangle 26
-0.06966483160622146 #77, triangle 26
0.2546464272491814 #78, triangle 26
0.6309478780543379 #79, triangle 27
-0.04932716390033743 #80, triangle 27
0.22442021522180094 #81, triangle 27
4.832416787264882 #82, triangle 28
0.37348164323733934 #83, triangle 28
0.6680347981262676 #84, triangle 28
1.225593537582446 #85, triangle 29
0.2927091327705162 #86, triangle 29
0.7434473567303325 #87, triangle 29
2.207235466332057 #88, triangle 30
0.7113732097725469 #89, triangle 30
1.002564589665648 #90, triangle 30
-0.2496029945553535 #91, triangle 31
0.47736394284796674 #92, triangle 31
4.570789865871233 #93, triangle 31
0.02408599205806011 #94, triangle 32
0.8286692289214763 #95, triangle 32
-2.5245006657789935 #96, triangle 32
0.5829227053140073 #97, triangle 33
-0.08227545727545829 #98, triangle 33
0.0141503267973852 #99, triangle 33
-0.3429985623600946 #100, triangle 34
-0.6222991122239973 #101, triangle 34
-0.4954359502407228 #102, triangle 34
0.27413899871385167 #103, triangle 35
-0.3419471395115429 #104, triangle 35
-0.2530783043673421 #105, triangle 35
-0.5981395599171205 #106, triangle 36
0.16261576590286397 #107, triangle 36
-2.2733060786810633 #108, triangle 36
0.16326569243582903 #109, triangle 37
-0.3903630827170693 #110, triangle 37
-0.30240619759029713 #111, triangle 37
-1.0452849918841272 #112, triangle 38
0.7575098869660183 #113, triangle 38
-24.081284495729452 #114, triangle 38
-0.39307041876445387 #115, triangle 39
0.21002995458499005 #116, triangle 39
-1.4715986065415159 #117, triangle 39
-0.5365150409698017 #118, triangle 40
0.1344629177399371 #119, triangle 40
-2.0949635592296834 #120, triangle 40
-0.6782447559228181 #121, triangle 41
-0.9305151333237058 #122, triangle 41
-0.8148734997724115 #123, triangle 41
-0.018156800101218746 #124, triangle 42
-0.5209784316851523 #125, triangle 42
-0.44689192422298196 #126, triangle 42
-0.36492877316676 #127, triangle 43
-0.5296437484259439 #128, triangle 43
-0.45479266399982565 #129, triangle 43
-0.6915763362669544 #130, triangle 44
0.02830715646973853 #131, triangle 44
-2.289660454429505 #132, triangle 44
-0.31714171015656056 #133, triangle 45
-0.8928321531529011 #134, triangle 45
-0.8103118391460473 #135, triangle 45
0.25510717325698223 #136, triangle 46
-0.48930848711645186 #137, triangle 46
-0.3936347339780608 #138, triangle 46
2.6971160295098504 #139, triangle 47
-2.4404761904760317 #140, triangle 47
-1.1392786365437928 #141, triangle 47
3.627639776681081 #142, triangle 48
0.11586548104566806 #143, triangle 48
1.8643135780420805 #144, triangle 48
9.63675385647277 #145, triangle 49
0.6978313618441309 #146, triangle 49
2.9617915180339227 #147, triangle 49
-3.0636081835089173 #148, triangle 50
0.08863551634149154 #149, triangle 50
0.6463782953672896 #150, triangle 50
-2.286154457807355 #151, triangle 51
2.4327837824377787 #152, triangle 51
9.550988280564964 #153, triangle 51
-2.001945226516508 #154, triangle 52
0.6245871719103223 #155, triangle 52
3.351146931184058 #156, triangle 52
-0.21535692861427524 #157, triangle 53
-0.7111486486486467 #158, triangle 53
-0.639490188144851 #159, triangle 53
-0.2863157894736789 #160, triangle 54
-0.7425183374083176 #161, triangle 54
-0.6771554252199395 #162, triangle 54
-0.926085496866616 #163, triangle 55
-0.08668896321070635 #164, triangle 55
-1.9843565525384836 #165, triangle 55
2.407717659983561 #166, triangle 56
-0.39033794511227426 #167, triangle 56
1.4693855819401676 #168, triangle 56
-1.8848656434709452 #169, triangle 57
-25.872816728163247 #170, triangle 57
-7.924644467569029 #171, triangle 57
-0.5990212515292936 #172, triangle 58
-0.042891573434895885 #173, triangle 58
-1.1723641829503781 #174, triangle 58
-0.257487418593021 #175, triangle 59
-0.33880493651780075 #176, triangle 59
-0.3042978007258407 #177, triangle 59
2.591212357997336 #178, triangle 60
-1.1228314274533433 #179, triangle 60
0.0012734527549040924 #180, triangle 60
-0.023822979611340375 #181, triangle 61
-11.830372582927533 #182, triangle 61
-3.748576586584986 #183, triangle 61
0.2493724063732877 #184, triangle 62
-0.8054760075434751 #185, triangle 62
-0.15079571168898742 #186, triangle 62
-1.297561860483863 #187, triangle 63
0.9546538031383073 #188, triangle 63
-254.68327402107252 #189, triangle 63
-0.27992204085894035 #190, triangle 64
-2.5729556875287742 #191, triangle 64
-1.170375521557708 #192, triangle 64
0.4864796349501395 #193, triangle 65
0.07861128688948675 #194, triangle 65
0.161560670462748 #195, triangle 65
-2.3945833333331317 #196, triangle 66
-4.489843750000429 #197, triangle 66
-3.5918749999996975 #198, triangle 66
-1.6142463287008206 #199, triangle 67
-2.835729323308305 #200, triangle 67
-2.3584034475683264 #201, triangle 67
2.251723624820174 #202, triangle 68
0.0525129945212305 #203, triangle 68
0.18743387840015602 #204, triangle 68
0.9573611111111179 #205, triangle 69
-5.537326388888757 #206, triangle 69
-2.753888888888947 #207, triangle 69
-0.8941080955694725 #208, triangle 70
0.06626039852970649 #209, triangle 70
-2.2633611368551025 #210, triangle 70
1.6139561477651152 #211, triangle 71
-0.2460050713468914 #212, triangle 71
-0.04672351215631692 #213, triangle 71
-0.8723745616364825 #214, triangle 72
-1.1086980167506617 #215, triangle 72
-1.0034690153853076 #216, triangle 72
0.23116542812777335 #217, triangle 73
-0.6352509717222763 #218, triangle 73
-0.41281653060038415 #219, triangle 73
-0.07472480299266916 #220, triangle 74
0.5164770703706247 #221, triangle 74
-0.9988080502452679 #222, triangle 74
2.8174664602683626 #223, triangle 75
1.828170015340306 #224, triangle 75
1.9748137241779045 #225, triangle 75
-1.1102274968387085 #226, triangle 76
-1.465541759018716 #227, triangle 76
-1.305268106253474 #228, triangle 76
0.6088764554664758 #229, triangle 77
1.848867738759439 #230, triangle 77
2.2855367793241195 #231, triangle 77
-0.627132936507936 #232, triangle 78
-1.333345543345545 #233, triangle 78
-0.9874454910169221 #234, triangle 78
1.8605827600162412 #235, triangle 79
0.8450590762620838 #236, triangle 79
1.3516250588789336 #237, triangle 79
-1.4276990749725273 #238, triangle 80
-0.5189850127124279 #239, triangle 80
-3.0754564755839624 #240, triangle 80
-0.0668904112580897 #241, triangle 81
1.6557811789664525 #242, triangle 81
-0.39536012621103894 #243, triangle 81
-3.3402111789208497 #244, triangle 82
-15.029933158965342 #245, triangle 82
-7.515111886079611 #246, triangle 82
-1.41857283007176 #247, triangle 83
-1.7631252949504619 #248, triangle 83
-1.6041307611052333 #249, triangle 83
0.8182694514574037 #250, triangle 84
-0.3030180107090624 #251, triangle 84
0.08550751530896382 #252, triangle 84
-0.7450695322376899 #253, triangle 85
-18.99107142857137 #254, triangle 85
-1.7615598885794261 #255, triangle 85
-5.567919075144959 #256, triangle 86
0.44451313755798944 #257, triangle 86
1.5934278350515376 #258, triangle 86
14.218438206730964 #259, triangle 87
5.389453696744414 #260, triangle 87
6.72619607105913 #261, triangle 87
-16.22488755622009 #262, triangle 88
20.43340691685226 #263, triangle 88
72.959899749367 #264, triangle 88
1.4141362330733138 #265, triangle 89
3.462806313769748 #266, triangle 89
5.595564415649897 #267, triangle 89
-0.49975138808320185 #268, triangle 90
-1.4998319931140218 #269, triangle 90
-1.382197910921315 #270, triangle 90
-1.092275596448037 #271, triangle 91
-6.076043651480754 #272, triangle 91
-2.1123244155457157 #273, triangle 91
-1.1472077324332726 #274, triangle 92
-3.841369233980762 #275, triangle 92
-2.1706071706070516 #276, triangle 92
-1.2255305932290963 #277, triangle 93
-2.7540515958325495 #278, triangle 93
-1.920947992100109 #279, triangle 93
-1.2249499869531075 #280, triangle 94
-4.136963565952284 #281, triangle 94
-2.140466831321635 #282, triangle 94
4.028110756909167 #283, triangle 95
-0.9320523208704232 #284, triangle 95
2.664007487298323 #285, triangle 95
-0.3966905110747359 #286, triangle 96
-1.2351001444307155 #287, triangle 96
-1.1248366877363767 #288, triangle 96
-2.653361101469655 #289, triangle 97
0.21504826221902856 #290, triangle 97
0.8314189581158257 #291, triangle 97
1.5015963313404643 #292, triangle 98
0.1730080975707294 #293, triangle 98
0.40055210169806527 #294, triangle 98
2.4460842973010117 #295, triangle 99
0.2942875227470447 #296, triangle 99
0.6202359133418034 #297, triangle 99
0.7072983898866344 #298, triangle 100
-0.2342826990304067 #299, triangle 100
-0.10429905887446957 #300, triangle 100
-0.32234812020897097 #301, triangle 101
-5.3821315340216325 #302, triangle 101
-1.0142020342865647 #303, triangle 101
0.9348914858096952 #304, triangle 102
0.6495805125846255 #305, triangle 102
0.734543810151102 #306, triangle 102
-2.65953757225396 #307, triangle 103
4.071805770221548 #308, triangle 103
4.554009661835703 #309, triangle 103
-0.5522390770527273 #310, triangle 104
-0.31373229034205813 #311, triangle 104
-0.7648822407131294 #312, triangle 104
1.4773201949339279 #313, triangle 105
0.6389002036659975 #314, triangle 105
0.8847464458449179 #315, triangle 105
-0.4142668586513652 #316, triangle 106
1.5693897769566834 #317, triangle 106
2.294834382839193 #318, triangle 106
-0.7730264777819793 #319, triangle 107
-1.4487859891203319 #320, triangle 107
-1.342555740873439 #321, triangle 107
0.646329102767476 #322, triangle 108
1.758293659789946 #323, triangle 108
-37.85347985345337 #324, triangle 108
-0.659698467726894 #325, triangle 109
-0.387732285443995 #326, triangle 109
-0.9152265093370835 #327, triangle 109
1.4617815482502567 #328, triangle 110
1.0165595487932837 #329, triangle 110
1.230816861157422 #330, triangle 110
1.8435409698997 #331, triangle 111
1.4346965224277866 #332, triangle 111
1.5047197393701643 #333, triangle 111
-1.4647061867674018 #334, triangle 112
-0.7043312403413841 #335, triangle 112
-4.074663812136517 #336, triangle 112
-0.5995428115783815 #337, triangle 113
-0.3701204059927238 #338, triangle 113
-0.8054206085400175 #339, triangle 113
1.0726857502854474 #340, triangle 114
-0.3568926737016445 #341, triangle 114
-0.10571599218712092 #342, triangle 114
2.517699637157451 #343, triangle 115
0.7287091373116419 #344, triangle 115
1.4408126361357263 #345, triangle 115
-2.913262041860823 #346, triangle 116
-0.1938154165614175 #347, triangle 116
1.3924861603532108 #348, triangle 116
0.2489241332623932 #349, triangle 117
1.9943872237010045 #350, triangle 117
6.438667049697927 #351, triangle 117
-2.7112900936702737 #352, triangle 118
-0.1007308705812057 #353, triangle 118
1.7926624234416466 #354, triangle 118
0.04543094496367553 #355, triangle 119
-0.6644166666666702 #356, triangle 119
-0.5266807710390088 #357, triangle 119
-1.1280391911263374 #358, triangle 120
-2.3795171689907955 #359, triangle 120
-1.673844576283622 #360, triangle 120
-0.6687686850529225 #361, triangle 121
-1.1399951215546034 #362, triangle 121
-0.9026302707099897 #363, triangle 121
-0.28773537013106876 #364, triangle 122
-0.03176424050632392 #365, triangle 122
-0.5298826487845729 #366, triangle 122
-0.09332422853054653 #367, triangle 123
-0.2838463764429635 #368, triangle 123
-0.26103172493997634 #369, triangle 123
-0.13196011653194964 #370, triangle 124
-0.337330477141572 #371, triangle 124
-0.3122138566560898 #372, triangle 124
-0.5301851608893062 #373, triangle 125
-0.6124770950189524 #374, triangle 125
-0.5764054484500246 #375, triangle 125
-0.46231356902300996 #376, triangle 126
-0.5324161113595121 #377, triangle 126
-0.5017123940880005 #378, triangle 126
-0.17267457356076682 #379, triangle 127
-0.3967885812695672 #380, triangle 127
-0.3687619390180483 #381, triangle 127
-0.03537553783852242 #382, triangle 128
-0.2864418905197092 #383, triangle 128
-0.16925435876231806 #384, triangle 128
-1.1219915721598495 #385, triangle 129
-0.03808844189728422 #386, triangle 129
19.027858386530884 #387, triangle 129
-0.13007187572453824 #388, triangle 130
1.4610622779128373 #389, triangle 130
1.6315804730984005 #390, triangle 130
-1.0199651162287484 #391, triangle 131
-0.3269460396884023 #392, triangle 131
-2.2220258477852863 #393, triangle 131
-2.5641631394165834 #394, triangle 132
0.16039080699556804 #395, triangle 132
4.916733493718719 #396, triangle 132
0.6925802139037882 #397, triangle 133
1.5028440366971716 #398, triangle 133
2.069978165939015 #399, triangle 133
-0.756003950607172 #400, triangle 134
-0.13402344553369525 #401, triangle 134
-1.7797295589535982 #402, triangle 134
-0.6000989083449327 #403, triangle 135
-0.10937698422777321 #404, triangle 135
-1.3391795640764708 #405, triangle 135
0.006505092146238415 #406, triangle 136
-0.2554692763181222 #407, triangle 136
-0.22176085813719873 #408, triangle 136
-0.013773906366231358 #409, triangle 137
-0.35727048386592974 #410, triangle 137
-0.3108622306947461 #411, triangle 137
-0.10764554954796336 #412, triangle 138
-0.18009215487486896 #413, triangle 138
-0.14844134122110805 #414, triangle 138
-0.8482951653944069 #415, triangle 139
-1.012463393626185 #416, triangle 139
-0.9388755821689985 #417, triangle 139
-0.9591617880852662 #418, triangle 140
-0.4119425081734589 #419, triangle 140
-1.6661608497723526 #420, triangle 140
-0.8512542448454761 #421, triangle 141
-0.34944255648958955 #422, triangle 141
-1.4808159504062934 #423, triangle 141
0.8465243861644721 #424, triangle 142
1.52458266636172 #425, triangle 142
1.9960920538428097 #426, triangle 142
-0.24833992813935782 #427, triangle 143
-0.6133292789710929 #428, triangle 143
-0.5661165391729913 #429, triangle 143
-0.6461671207667578 #430, triangle 144
0.08208376076000141 #431, triangle 144
-2.1177197940850463 #432, triangle 144
-0.3412673112161836 #433, triangle 145
-0.4228446030217396 #434, triangle 145
-0.3871355000347965 #435, triangle 145
0.04721078633182745 #436, triangle 146
-0.2581232954011101 #437, triangle 146
-0.2213177396943028 #438, triangle 146
0.10909727431857653 #439, triangle 147
-0.17782736064484916 #440, triangle 147
-0.14338110648790478 #441, triangle 147
-0.2597055043340998 #442, triangle 148
-0.3617859795910383 #443, triangle 148
-0.31643467257197083 #444, triangle 148
0.028588294996737238 #445, triangle 149
-0.04158158083243419 #446, triangle 149
-0.010960782039249618 #447, triangle 149
1.7687730816577776 #448, triangle 150
3.006627714310802 #449, triangle 150
4.295290306503279 #450, triangle 150
0.4268695927888788 #451, triangle 151
0.19956084200398747 #452, triangle 151
0.22543888146891455 #453, triangle 151
0.51214311889929 #454, triangle 152
0.13116129941092722 #455, triangle 152
0.1788065628592332 #456, triangle 152
0.3503022713293844 #457, triangle 153
0.29962098262719566 #458, triangle 153
0.32155225951559085 #459, triangle 153
0.19804558205449382 #460, triangle 154
0.4513489152454679 #461, triangle 154
-0.011887380530782412 #462, triangle 154
0.2173160418854093 #463, triangle 155
-0.03810853567151096 #464, triangle 155
-0.007644559569125448 #465, triangle 155
-0.403057224980406 #466, triangle 156
-0.6025770644266109 #467, triangle 156
-0.5794850177528857 #468, triangle 156
-12.443404949687567 #469, triangle 157
-4.504010055063375 #470, triangle 157
10.923057953144516 #471, triangle 157
-0.5451631282323884 #472, triangle 158
-0.6073087730428683 #473, triangle 158
-0.5803342370653067 #474, triangle 158
-0.14077825280067272 #475, triangle 159
-0.6521047976044608 #476, triangle 159
-0.43741691387013887 #477, triangle 159
0.19572853497697257 #478, triangle 160
-0.00434253551902489 #479, triangle 160
0.01566816890842834 #480, triangle 160
-0.6121058363151145 #481, triangle 161
-0.699435522340595 #482, triangle 161
-0.661540512050017 #483, triangle 161
-0.6961643688118192 #484, triangle 162
-0.7933705871414484 #485, triangle 162
-0.7509974786130127 #486, triangle 162
0.003402018248835346 #487, triangle 163
-0.18501975851858013 #488, triangle 163
-0.16342956847666237 #489, triangle 163
0.30206383917258717 #490, triangle 164
0.24966107520311573 #491, triangle 164
0.27233905437038564 #492, triangle 164
-0.4670842240720897 #493, triangle 165
-0.5885106680006521 #494, triangle 165
-0.5345203120251235 #495, triangle 165
-17.88479381443328 #496, triangle 166
-1.905947368421037 #497, triangle 166
13.452745664740473 #498, triangle 166
-7.548472497997074 #499, triangle 167
-1.0673779885398365 #500, triangle 167
12.747054747053008 #501, triangle 167
-7.220769828301945 #502, triangle 168
-13.31753155680183 #503, triangle 168
-9.922455798413058 #504, triangle 168
-2.2280366648959586 #505, triangle 169
-3.1454716679400887 #506, triangle 169
-2.7001459330756092 #507, triangle 169
-0.8610462482138584 #508, triangle 170
-3.0906282906282954 #509, triangle 170
-2.6566200215285374 #510, triangle 170
-2.2528727499150967 #511, triangle 171
-0.38556091014454896 #512, triangle 171
-8.621905039323531 #513, triangle 171
-1.6856392294220632 #514, triangle 172
-2.4304229195088887 #515, triangle 172
-2.070582428430386 #516, triangle 172
-0.64960451977402 #517, triangle 173
-1.6683766801877034 #518, triangle 173
-1.4556216275740563 #519, triangle 173
-1.7363569270187702 #520, triangle 174
-0.10269855480240418 #521, triangle 174
-17.73211781206187 #522, triangle 174
-0.04610711596874588 #523, triangle 175
-0.8759514331873264 #524, triangle 175
-0.7420146459264135 #525, triangle 175
-0.8135803738835291 #526, triangle 176
-1.1674992422626578 #527, triangle 176
-1.0047452505050836 #528, triangle 176
-0.9098119122257062 #529, triangle 177
-1.3265708071532079 #530, triangle 177
-1.1263005272407796 #531, triangle 177
-0.9087312674625349 #532, triangle 178
-1.2487429605792497 #533, triangle 178
-1.0830782558475276 #534, triangle 178
-0.3082128928653373 #535, triangle 179
-0.9141658324636327 #536, triangle 179
-0.8037503962544797 #537, triangle 179
-0.8920576671035338 #538, triangle 180
0.06861717335367723 #539, triangle 180
-3.535566773749384 #540, triangle 180
-1.2932376641464285 #541, triangle 181
0.026189722962891657 #542, triangle 181
-15.906797477225455 #543, triangle 181
0.05856028640838795 #544, triangle 182
-0.8878483399993529 #545, triangle 182
-0.7362485065710823 #546, triangle 182
-0.11268364348676368 #547, triangle 183
-0.9159685499582492 #548, triangle 183
-0.798959720372836 #549, triangle 183
-0.045293869367931366 #550, triangle 184
-0.9064894497150828 #551, triangle 184
-0.777688788238647 #552, triangle 184
0.9956011730205461 #553, triangle 185
-0.5284900284900572 #554, triangle 185
-0.1335697399526985 #555, triangle 185
-0.9141692505576855 #556, triangle 186
-1.2359367636348049 #557, triangle 186
-1.0902502428905254 #558, triangle 186
-0.32759826321695695 #559, triangle 187
-0.9209533892242912 #560, triangle 187
-0.817512502315249 #561, triangle 187
