TAPERS FOR JACOBIAN
0.5000000000000161 6.163900414937632 #1, triangle 1
-1.000000000000129 0.41501353679546993 #2, triangle 1
-1.000000000000129 -0.2649281532730184 #3, triangle 1
0.14585519412382172 0.32757585553964746 #4, triangle 2
0.4316012725344692 -0.01335809700692851 #5, triangle 2
0.2476894639556405 0.3391409671107796 #6, triangle 2
0.20462822356308502 0.16135010670560446 #7, triangle 3
0.5073810544363518 -3.9856832971801373 #8, triangle 3
0.195317598433756 0.5651087984862826 #9, triangle 3
1.2132548947511987 1.5800000000000682 #10, triangle 4
0.0388245531829304 0.37176938369780543 #11, triangle 4
0.8609029318305262 -0.10104529616725567 #12, triangle 4
-0.10049681861762086 0.4119213437115908 #13, triangle 5
0.29715227112260784 0.12517672648178566 #14, triangle 5
0.3715906828588369 0.26303252404947924 #15, triangle 5
-0.7148068313712582 0.3158216249236397 #16, triangle 6
0.21425315931219996 -0.04339051463168386 #17, triangle 6
0.47830912025827077 0.35131744040150853 #18, triangle 6
6.156077348065319 1.1861499364676198 #19, triangle 7
0.12860440279739457 0.35032622879512265 #20, triangle 7
0.6287972952816594 -0.040836236933807564 #21, triangle 7
0.5311551735070109 0.8115961083355296 #22, triangle 8
-0.6529088248650158 0.3065018958011506 #23, triangle 8
-1.7240671543603523 0.05485167464114697 #24, triangle 8
-0.01809210526313731 1.1865861411315788 #25, triangle 9
0.3256180957390845 0.35035892973679067 #26, triangle 9
0.34113890367217553 -0.04092018124781829 #27, triangle 9
0.218106780558949 -0.06980614842373128 #28, triangle 10
0.5307258601553836 0.8124301216704958 #29, triangle 10
0.1810347189871989 1.353188854489183 #30, triangle 10
0.20730115957097084 0.048403985813208726 #31, triangle 11
0.5117844887223688 1.2928374374169733 #32, triangle 11
0.19256309536031085 0.8309344030202962 #33, triangle 11
-0.6421009771987222 0.05163292024606019 #34, triangle 12
0.21910142880425126 1.3234286356231972 #35, triangle 12
0.47118599619746043 0.8211690167091171 #36, triangle 12
0.21734525993304865 -0.10818438381937909 #37, triangle 13
0.5293275010871584 0.7537473233404722 #38, triangle 13
0.18186850116632566 1.6406685236768799 #39, triangle 13
0.2855544505221178 0.8186421902199752 #40, triangle 14
0.7136470880417288 0.30777465542620136 #41, triangle 14
0.09116786589704375 0.05247733308911003 #42, triangle 14
-0.20973200402452058 0.37722328489450807 #43, triangle 15
0.27074718526100894 0.08025894473061652 #44, triangle 15
0.402403759262599 0.2921543942356613 #45, triangle 15
-0.047484876108407584 0.2921543942356613 #46, triangle 16
0.31433402964290197 -0.11820791470166443 #47, triangle 16
0.3528899810576874 0.37722328489450807 #48, triangle 16
-0.23479034590147957 0.34116635621149344 #49, triangle 17
0.26591616766467496 0.01692815854665472 #50, triangle 17
0.4083351097846901 0.3255912760232289 #51, triangle 17
0.317122851686833 0.050397877984090525 #52, triangle 18
0.875326370757185 1.311475409836054 #53, triangle 18
0.03438343834382532 0.8248847926267319 #54, triangle 18
-0.1316096823688207 0.5997834158415848 #55, triangle 19
0.28858260818781056 0.24991535671100387 #56, triangle 19
0.38130415185056726 0.14296767062724872 #57, triangle 19
0.5558611797571877 -6.937877480586936 #58, triangle 20
-0.4984564923789403 0.44010026807784663 #59, triangle 20
-3.024926971762528 -0.400627068454991 #60, triangle 20
-5.5285245901656 0.7632653061224296 #61, triangle 21
0.1565605736570666 0.2969924812030144 #62, triangle 21
0.5738925743633732 0.07196029776676614 #63, triangle 21
0.2743755098271545 0.17247860513477142 #64, triangle 22
0.672265792100395 -2.327290260366304 #65, triangle 22
0.10863646676244369 0.5453419422848774 #66, triangle 22
-0.02316555488175206 1.7653497063534551 #67, triangle 23
0.3235655108929035 0.37825831472558313 #68, triangle 23
0.34324639937718615 -0.12156031375874785 #69, triangle 23
0.07196029776672333 1.1025148445686557 #70, triangle 24
0.37176938369781254 0.3435070843624036 #71, triangle 24
0.29699248120299115 -0.02379890533144594 #72, triangle 24
0.7148398647304526 0.11881509456229926 #73, triangle 25
-0.14230406512134683 3.823983169705506 #74, triangle 25
1.9932444136499579 0.6496280506373162 #75, triangle 25
0.1055377574370676 0.5555268428192972 #76, triangle 26
0.3955634715026069 0.2307554680860699 #77, triangle 26
0.27641614216958477 0.16668281810254232 #78, triangle 26
0.17399198123913764 0.5649022124896157 #79, triangle 27
0.4635140298000768 0.2351497801860744 #80, triangle 27
0.2244202152218128 0.16146387939247178 #81, triangle 27
-1.9950795947900497 -6.897260273974187 #82, triangle 28
0.17653882898866552 0.44016678248785285 #83, triangle 28
0.5383448583537921 -0.40104347826087644 #84, triangle 28
0.24519751748594715 0.7137319218726662 #85, triangle 29
0.5880276285494982 0.2855757033057201 #86, triangle 29
0.14904486894712934 0.09113347256502344 #87, triangle 29
-0.28063571727309417 -1.0 #88, triangle 30
0.25796124684078897 0.5000000000000066 #89, triangle 30
0.4183130699087969 -1.0 #90, triangle 30
0.6304446460980028 -0.05119080208047956 #91, triangle 31
-0.26151870284156237 0.8492543329302749 #92, triangle 31
5.8554396423242245 1.2419146183699745 #93, triangle 31
0.5588662193618924 0.2634082385584052 #94, triangle 32
-0.48366562575069705 -0.24859083682613256 #95, triangle 32
-3.2897470039948193 0.4114521238546143 #96, triangle 32
-0.5826086956521759 0.444526841850717 #97, triangle 33
0.2235872235872265 0.15796866888569908 #98, triangle 33
0.464705882352936 0.2380347076378913 #99, triangle 33
0.22258473213289273 -0.07026921002304927 #100, triangle 34
0.5391577509674508 0.8115961083355187 #101, triangle 34
0.1760637853783426 1.3561575742512875 #102, triangle 34
-0.5884342399847426 0.2931888451955703 #103, triangle 35
0.22312479089996642 -0.11444545869466154 #104, triangle 35
0.4653690758673766 0.3760500846456036 #105, triangle 35
0.5464616654257776 0.6765609007164813 #106, triangle 36
-0.5495891125700985 0.2756164383561634 #107, triangle 36
-2.388512834260413 0.10675675675675825 #108, triangle 36
-0.4790262739456284 0.27661149987041317 #109, triangle 37
0.23280079612425397 -0.18174628282188854 #110, triangle 37
0.4517181612131457 0.39533001497308806 #111, triangle 37
0.5875577475340203 1.2365002209456493 #112, triangle 38
-0.37059994951335723 0.35392856318256427 #113, triangle 38
-12.259407927744208 -0.05021768503227557 #114, triangle 38
0.53851874437594 0.7716022579244436 #115, triangle 39
-0.5996134892260276 0.2987371744277837 #116, triangle 39
-2.002419198761386 0.06890227927692005 #117, triangle 39
0.5484061061847489 0.6707674024516375 #118, triangle 40
-0.5383534606763966 0.27393784913705904 #119, triangle 40
-2.5011421733926325 0.1092960051433424 #120, triangle 40
0.2260313082450777 -0.37938894665280537 #121, triangle 41
0.5459015023138825 0.5848821309413124 #122, triangle 41
0.1721566977995693 -9.983502170767542 #123, triangle 41
-0.5634776282284536 0.24779047208450078 #124, triangle 42
0.2251440544787862 -0.34937637564196533 #125, triangle 42
0.46248124062030876 0.4314683153013934 #126, triangle 42
0.22275960170696926 -0.27024358130348586 #127, triangle 43
0.5394944707740891 0.6261809903244192 #128, triangle 43
0.17586726998491442 6.711304347825954 #129, triangle 43
0.5467599986408049 0.609745750728241 #130, triangle 44
-0.5478412302030686 0.2537274686096539 #131, triangle 44
-2.405259126882921 0.13793620488009858 #132, triangle 44
-0.5959454034524236 0.22690058479532127 #133, triangle 45
0.22253631503820223 -0.5427435387673957 #134, triangle 45
0.4662146285791005 0.45998608211551895 #135, triangle 45
-0.7338466300394461 0.27595355245030384 #136, triangle 46
0.21308372997570205 -0.1847633211092887 #137, triangle 46
0.48004617892593293 0.39611687282500235 #138, triangle 46
-0.07686116700210653 0.34828428976439696 #139, triangle 47
0.3043676069154221 0.031191363228454397 #140, triangle 47
0.3636147443518821 0.31871031897804697 #141, triangle 47
0.25568411683794506 0.6111683959528255 #142, triangle 48
0.6150297519556044 0.2542586130633507 #143, triangle 48
0.13531042910185634 0.1372263603798246 #144, triangle 48
-0.07686116700194842 0.690229913231043 #145, triangle 49
0.3043676069153518 0.2794360358746692 #146, triangle 49
0.36361474435202135 0.10087964367247201 #147, triangle 49
1.5688778673278398 0.6793160967472827 #148, triangle 50
0.07126879582451742 0.2764019988895084 #149, triangle 50
0.7651394932173469 0.10555936856554854 #150, triangle 50
0.7136467547957465 -0.2508492291612201 #151, triangle 51
-0.14349753449223296 0.6359154261875448 #152, triangle 51
2.0078712611505374 5.054910242871692 #153, triangle 51
0.7651394932173128 1.0995828988529397 #154, triangle 52
-0.09968711976361574 0.3432463993771952 #155, triangle 52
1.5688778673279224 -0.023165554881739533 #156, triangle 52
-0.5860827834433002 0.23029637760702482 #157, triangle 53
0.22331081081081045 -0.5050215208034434 #158, triangle 53
0.465102164677322 0.45520643988574455 #159, triangle 53
-0.5964912280701739 0.22479614529280958 #160, triangle 54
0.22249388753056382 -0.5676898222940249 #161, triangle 54
0.4662756598240459 0.46297731045932566 #162, triangle 54
0.5241718889883674 0.5832970856894296 #163, triangle 55
-0.7110367892976678 0.24322799097065437 #164, triangle 55
-1.5100354191264143 0.15153432458082916 #165, triangle 55
0.3420763526503631 0.5745169171540678 #166, triangle 56
1.0866409616693387 0.23945801582829085 #167, triangle 56
-0.020338622084980697 0.15622366596895793 #168, triangle 56
0.3708836239010574 0.14809006144459247 #169, triangle 57
1.5579335793355245 -15.171260997067359 #170, triangle 57
-0.0983350676378812 0.5898549646708764 #171, triangle 57
0.5155920068874924 0.5881991772579352 #172, triangle 58
-0.795227326826935 0.2452681543339962 #173, triangle 58
-1.2955550783765926 0.14895507140160272 #174, triangle 58
0.1960213558724317 -0.24050131054381982 #175, triangle 59
0.49388972742608184 0.6415122215473562 #176, triangle 59
