ASPECT RATIOS FOR SHAPE PARAMETERS
3.775854097447286 #1, triangle 1
3.238798190065685 #2, triangle 1
2.5117902996991686 #3, triangle 1
1.6074060276228423 #4, triangle 2
1.759741090880714 #5, triangle 2
2.072439894652883 #6, triangle 2
4.498699939099207 #7, triangle 3
3.0515499681560243 #8, triangle 3
4.58748930474787 #9, triangle 3
2.0896657196914994 #10, triangle 4
1.227811845068707 #11, triangle 4
2.1131060040894942 #12, triangle 4
1.4760109783429558 #13, triangle 5
1.5556744285935236 #14, triangle 5
1.2613752674560375 #15, triangle 5
4.980034960165644 #16, triangle 6
4.84277246696805 #17, triangle 6
3.3210020977761343 #18, triangle 6
2.959969379382267 #19, triangle 7
2.1667361399569707 #20, triangle 7
2.4585945667415414 #21, triangle 7
3.2884990188385816 #22, triangle 8
4.986744234886316 #23, triangle 8
4.9235614698303865 #24, triangle 8
1.5581509331394892 #25, triangle 9
2.5328465878293605 #26, triangle 9
2.670408733089662 #27, triangle 9
4.994616551020534 #28, triangle 10
3.3220287945820473 #29, triangle 10
5.047966926720699 #30, triangle 10
3.9292887462476562 #31, triangle 11
2.9072576695861283 #32, triangle 11
4.203755837880192 #33, triangle 11
4.324125241233908 #34, triangle 12
7.17549107490205 #35, triangle 12
6.321715247157881 #36, triangle 12
5.2667071664209795 #37, triangle 13
3.5421701283330838 #38, triangle 13
5.364166295479924 #39, triangle 13
7.014559437249054 #40, triangle 14
7.0342372477497905 #41, triangle 14
3.2261547622130875 #42, triangle 14
1.918016418522661 #43, triangle 15
1.8661831503380977 #44, triangle 15
1.4311525030012957 #45, triangle 15
2.0025005348488714 #46, triangle 16
2.750905559085672 #47, triangle 16
2.3119874871156068 #48, triangle 16
2.277115122191864 #49, triangle 17
2.187665386660293 #50, triangle 17
1.651056349595937 #51, triangle 17
1.9437662800217186 #52, triangle 18
1.6486326112780505 #53, triangle 18
1.5479707543494237 #54, triangle 18
1.4437554958470573 #55, triangle 19
2.0703876410519175 #56, triangle 19
1.8695702353479917 #57, triangle 19
1.679005532280417 #58, triangle 20
2.397323339988001 #59, triangle 20
2.386682364222789 #60, triangle 20
5.191554238143517 #61, triangle 21
4.195635858100979 #62, triangle 21
3.9157624075328163 #63, triangle 21
1.332862852771519 #64, triangle 22
1.2207816025630018 #65, triangle 22
1.4359299130374032 #66, triangle 22
1.8929261031995908 #67, triangle 23
1.4199077321847353 #68, triangle 23
1.9209504912704056 #69, triangle 23
2.820110092336474 #70, triangle 24
2.4893955933272527 #71, triangle 24
1.8683792425304055 #72, triangle 24
1.8913199053032923 #73, triangle 25
1.5360637076070012 #74, triangle 25
1.5959312420085592 #75, triangle 25
1.447461643790346 #76, triangle 26
1.2247118504709769 #77, triangle 26
1.3462101568447598 #78, triangle 26
2.0182217581991106 #79, triangle 27
1.6262814903029281 #80, triangle 27
1.7198386481097414 #81, triangle 27
1.866276849104127 #82, triangle 28
1.8968150621997188 #83, triangle 28
1.4082172977564715 #84, triangle 28
3.656585525741004 #85, triangle 29
3.647565368924069 #86, triangle 29
1.7853337129074454 #87, triangle 29
1.3837355374895617 #88, triangle 30
2.1867418571939354 #89, triangle 30
2.290296409117371 #90, triangle 30
4.018144490307621 #91, triangle 31
3.594000351614553 #92, triangle 31
4.97430962933752 #93, triangle 31
4.120970237975496 #94, triangle 32
4.356808247078948 #95, triangle 32
5.44108425028941 #96, triangle 32
4.3311103556479225 #97, triangle 33
4.686876647930405 #98, triangle 33
3.2494476704798716 #99, triangle 33
4.8566196877348755 #100, triangle 34
3.194903305594324 #101, triangle 34
4.818109371354987 #102, triangle 34
5.492536836238479 #103, triangle 35
5.646549660854993 #104, triangle 35
3.747718846495316 #105, triangle 35
4.262455987903145 #106, triangle 36
6.050002523839005 #107, triangle 36
6.3485334903600075 #108, triangle 36
5.401382018913369 #109, triangle 37
5.785591949879205 #110, triangle 37
3.9516245283492633 #111, triangle 37
1.825258832797504 #112, triangle 38
2.561065462633464 #113, triangle 38
2.4524031876882515 #114, triangle 38
5.155320056061898 #115, triangle 39
7.096158637393876 #116, triangle 39
7.5977797612663664 #117, triangle 39
4.74574839480262 #118, triangle 40
6.517527127314743 #119, triangle 40
6.981005127978474 #120, triangle 40
7.143651969499867 #121, triangle 41
4.631061058117101 #122, triangle 41
7.116581537330632 #123, triangle 41
7.421655980585228 #124, triangle 42
7.682168493984335 #125, triangle 42
5.087051603193708 #126, triangle 42
8.35666162801596 #127, triangle 43
5.6052372291893535 #128, triangle 43
7.915919905843335 #129, triangle 43
4.819001183668222 #130, triangle 44
6.933168639498626 #131, triangle 44
7.230240906501894 #132, triangle 44
9.846926868653876 #133, triangle 45
9.79468159075498 #134, triangle 45
6.360614528072599 #135, triangle 45
6.2190141294721135 #136, triangle 46
5.927102315699744 #137, triangle 46
4.17742287176983 #138, triangle 46
4.695931160025027 #139, triangle 47
2.3567508029053563 #140, triangle 47
4.793815384499654 #141, triangle 47
5.830509420128935 #142, triangle 48
7.296756489194603 #143, triangle 48
5.275524576776504 #144, triangle 48
5.194032272811837 #145, triangle 49
6.090610901515776 #146, triangle 49
3.9392064240892006 #147, triangle 49
2.157009995805126 #148, triangle 50
1.346606217182397 #149, triangle 50
2.24328270850162 #150, triangle 50
1.1571248792891873 #151, triangle 51
1.279968907775367 #152, triangle 51
1.3834446350752683 #153, triangle 51
1.416217605964876 #154, triangle 52
1.8682401152185921 #155, triangle 52
1.7949143938000438 #156, triangle 52
9.268754381448097 #157, triangle 53
9.437189722020593 #158, triangle 53
6.1564105040280594 #159, triangle 53
10.441000164546418 #160, triangle 54
10.67514957465116 #161, triangle 54
6.9766852642563 #162, triangle 54
5.787261224360733 #163, triangle 55
8.726537879968417 #164, triangle 55
8.39088056925479 #165, triangle 55
7.021278821865111 #166, triangle 56
9.172253397076751 #167, triangle 56
7.092736375491346 #168, triangle 56
3.9047579392128844 #169, triangle 57
4.937449585367901 #170, triangle 57
3.781601248189796 #171, triangle 57
7.019496576886614 #172, triangle 58
10.837365379112923 #173, triangle 58
10.727181253452565 #174, triangle 58
14.096741334087332 #175, triangle 59
9.763399358060608 #176, triangle 59
14.733173755375391 #177, triangle 59
2.3669185508001824 #178, triangle 60
2.2930831441799424 #179, triangle 60
2.9507168144419764 #180, triangle 60
3.7548190342347483 #181, triangle 61
2.888782373314259 #182, triangle 61
2.966943094330681 #183, triangle 61
2.4024499602434877 #184, triangle 62
2.5806645651481106 #185, triangle 62
1.5782668417191663 #186, triangle 62
1.753148016991484 #187, triangle 63
2.28008762186416 #188, triangle 63
2.0092785444744345 #189, triangle 63
1.0802521323284486 #190, triangle 64
1.1076260077256326 #191, triangle 64
1.16542022740872 #192, triangle 64
3.565593853269642 #193, triangle 65
5.073139012583222 #194, triangle 65
4.159350157441454 #195, triangle 65
3.5152406508703273 #196, triangle 66
7.068852974965735 #197, triangle 66
7.256777109152467 #198, triangle 66
2.7986351365977367 #199, triangle 67
6.058363691651168 #200, triangle 67
6.044378984534307 #201, triangle 67
4.191535132606976 #202, triangle 68
3.662519314273408 #203, triangle 68
3.0357780168237545 #204, triangle 68
5.567965897702458 #205, triangle 69
3.412541169372704 #206, triangle 69
4.894267981103489 #207, triangle 69
4.648954986728683 #208, triangle 70
6.971017544927484 #209, triangle 70
6.685934185383092 #210, triangle 70
2.968125464905474 #211, triangle 71
2.494551159729532 #212, triangle 71
2.2664130554576136 #213, triangle 71
8.723076460004066 #214, triangle 72
6.169537091788307 #215, triangle 72
9.20930505979806 #216, triangle 72
2.121757572487682 #217, triangle 73
2.462239397574004 #218, triangle 73
1.896247253287576 #219, triangle 73
5.294372594951008 #220, triangle 74
6.832470223427876 #221, triangle 74
7.599295051764837 #222, triangle 74
9.582598972997259 #223, triangle 75
13.24123330781182 #224, triangle 75
10.507608247003164 #225, triangle 75
7.529968571389551 #226, triangle 76
5.660026302848299 #227, triangle 76
8.231731217784105 #228, triangle 76
12.044757066834274 #229, triangle 77
7.182733096071043 #230, triangle 77
10.602632537341647 #231, triangle 77
2.7620775800211224 #232, triangle 78
2.151073223365686 #233, triangle 78
2.9976882247563683 #234, triangle 78
6.37717130056568 #235, triangle 79
6.321772290074712 #236, triangle 79
2.982528014028584 #237, triangle 79
7.5650431423478235 #238, triangle 80
11.609842883568872 #239, triangle 80
11.39044692756342 #240, triangle 80
5.3099862829500415 #241, triangle 81
7.411489841174753 #242, triangle 81
6.395943421208901 #243, triangle 81
2.729932601819441 #244, triangle 82
5.661284609878526 #245, triangle 82
5.736354655682827 #246, triangle 82
10.924696530760205 #247, triangle 83
7.3062793655790985 #248, triangle 83
11.177856189594007 #249, triangle 83
1.151329935238301 #250, triangle 84
1.1059760907206417 #251, triangle 84
1.0626776502374429 #252, triangle 84
2.106808685752787 #253, triangle 85
2.152827590932748 #254, triangle 85
1.2677187129649925 #255, triangle 85
1.2452972869447634 #256, triangle 86
1.535951555891906 #257, triangle 86
1.4677905038248766 #258, triangle 86
5.98726776638077 #259, triangle 87
10.013879306890768 #260, triangle 87
10.91913879813569 #261, triangle 87
6.191304966500444 #262, triangle 88
10.177003284984657 #263, triangle 88
11.159798113765778 #264, triangle 88
13.192750376868146 #265, triangle 89
6.527003182084662 #266, triangle 89
12.65335196747651 #267, triangle 89
14.338763268936548 #268, triangle 90
12.79662767253798 #269, triangle 90
9.978109053287994 #270, triangle 90
2.4936333936155965 #271, triangle 91
2.132381312505991 #272, triangle 91
1.8033586394639365 #273, triangle 91
2.046714238740335 #274, triangle 92
1.8806823965772772 #275, triangle 92
2.410571168576563 #276, triangle 92
2.8596519658249764 #277, triangle 93
2.461300407701754 #278, triangle 93
3.314413841587125 #279, triangle 93
2.730819276644874 #280, triangle 94
2.0558766862489346 #281, triangle 94
2.3818820892305648 #282, triangle 94
13.351091881270404 #283, triangle 95
17.927918491979373 #284, triangle 95
14.39790681595717 #285, triangle 95
11.256863053192845 #286, triangle 96
10.443176902800518 #287, triangle 96
7.63806908595605 #288, triangle 96
1.9968131761631869 #289, triangle 97
1.2715313995533428 #290, triangle 97
2.0676463272612597 #291, triangle 97
1.5942804584673016 #292, triangle 98
1.9693220283791097 #293, triangle 98
1.6483404122009044 #294, triangle 98
1.2289413420525637 #295, triangle 99
1.4850657398905929 #296, triangle 99
1.3410479276476321 #297, triangle 99
3.720795150382344 #298, triangle 100
3.6724852804800205 #299, triangle 100
2.494038752730834 #300, triangle 100
2.0087185780020507 #301, triangle 101
2.2507894542702616 #302, triangle 101
1.5553157587198667 #303, triangle 101
4.062188616101004 #304, triangle 102
6.1699206868353444 #305, triangle 102
6.911958746206069 #306, triangle 102
24.763399439048683 #307, triangle 103
20.510902655441647 #308, triangle 103
18.07246676793277 #309, triangle 103
17.15299748685419 #310, triangle 104
26.53679585053521 #311, triangle 104
26.676937854291506 #312, triangle 104
2.2965787318341233 #313, triangle 105
2.125391006430594 #314, triangle 105
2.7482467298080686 #315, triangle 105
4.840052124760437 #316, triangle 106
3.4226642813450034 #317, triangle 106
3.9619593408746487 #318, triangle 106
12.705703251954304 #319, triangle 107
12.907848960756443 #320, triangle 107
8.384360612602457 #321, triangle 107
6.173121945528759 #322, triangle 108
4.490392821390194 #323, triangle 108
7.152931610923437 #324, triangle 108
16.106795918644305 #325, triangle 109
24.905373665166703 #326, triangle 109
25.04292454432881 #327, triangle 109
9.531424625199367 #328, triangle 110
8.137920464518018 #329, triangle 110
6.060676222859915 #330, triangle 110
13.738378814940923 #331, triangle 111
19.00279681545245 #332, triangle 111
15.066867187808967 #333, triangle 111
8.836288416542732 #334, triangle 112
12.611851817936348 #335, triangle 112
13.265762026523722 #336, triangle 112
18.537796818373025 #337, triangle 113
28.655420056852684 #338, triangle 113
28.82212185768304 #339, triangle 113
2.158834613089657 #340, triangle 114
1.9423736014546933 #341, triangle 114
1.6545107364687697 #342, triangle 114
3.9559198503145017 #343, triangle 115
3.9335627105697686 #344, triangle 115
1.9221001846474202 #345, triangle 115
2.4883560026724045 #346, triangle 116
3.041128235858026 #347, triangle 116
3.4248928244892856 #348, triangle 116
4.273268061202577 #349, triangle 117
2.085153988183398 #350, triangle 117
4.222560713807312 #351, triangle 117
2.3284462632124994 #352, triangle 118
3.068286393043703 #353, triangle 118
3.2978385356872235 #354, triangle 118
4.084885849179799 #355, triangle 119
4.428200902499534 #356, triangle 119
3.082228176358465 #357, triangle 119
3.423715314154718 #358, triangle 120
2.3455087924274016 #359, triangle 120
3.308792852589071 #360, triangle 120
4.54599233310857 #361, triangle 121
3.1955241876517384 #362, triangle 121
4.1264095378628305 #363, triangle 121
13.41009448361979 #364, triangle 122
20.1372863923561 #365, triangle 122
20.587307279083316 #366, triangle 122
21.427411884706032 #367, triangle 123
21.887939551552797 #368, triangle 123
14.24654563498752 #369, triangle 123
19.9369119414569 #370, triangle 124
20.43377726268291 #371, triangle 124
13.33494202254768 #372, triangle 124
17.717997470151825 #373, triangle 125
11.408391779049952 #374, triangle 125
17.613490001327193 #375, triangle 125
19.676786850950933 #376, triangle 126
12.729137881677744 #377, triangle 126
19.429800496796016 #378, triangle 126
18.454790800455314 #379, triangle 127
18.970019279352037 #380, triangle 127
12.40864299517502 #381, triangle 127
5.090740578455009 #382, triangle 128
3.6753093852914764 #383, triangle 128
4.40925117629685 #384, triangle 128
3.511074400787783 #385, triangle 129
4.674758497060847 #386, triangle 129
5.071869116461416 #387, triangle 129
14.72991924049603 #388, triangle 130
10.685586938534202 #389, triangle 130
11.666630155163551 #390, triangle 130
6.896975299788397 #391, triangle 131
10.587871899214951 #392, triangle 131
10.667969836954112 #393, triangle 131
2.5778619000976093 #394, triangle 132
3.6093160595875395 #395, triangle 132
