ASPECT RATIOS FOR JACOBIAN
3.3145348837211444 #1, triangle 1
1.5591860465115956 #2, triangle 1
2.2501162790697258 #3, triangle 1
1.76049508151293 #4, triangle 2
1.8580050179697765 #5, triangle 2
2.016211683592643 #6, triangle 2
4.179096933617888 #7, triangle 3
3.075154277520295 #8, triangle 3
5.566849574266772 #9, triangle 3
1.9697838345864684 #10, triangle 4
1.4849900596421557 #11, triangle 4
2.5283498759304703 #12, triangle 4
1.695656757326536 #13, triangle 5
1.5403298894326676 #14, triangle 5
1.2271797220949754 #15, triangle 5
8.10034802784211 #16, triangle 6
3.6531281533804023 #17, triangle 6
1.8654956085319998 #18, triangle 6
2.90193417034271 #19, triangle 7
2.525184862983853 #20, triangle 7
3.6510123397627687 #21, triangle 7
1.81664813297438 #22, triangle 8
8.89511619236986 #23, triangle 8
3.678639729318894 #24, triangle 8
1.4383166468691462 #25, triangle 9
2.150358929736798 #26, triangle 9
3.405646566747989 #27, triangle 9
3.7422410417074805 #28, triangle 10
1.8485543894524354 #29, triangle 10
9.038513931888607 #30, triangle 10
3.1838878567809425 #31, triangle 11
1.8723698714023334 #32, triangle 11
5.458854412458727 #33, triangle 11
1.2620664080328667 #34, triangle 12
2.067853732517009 #35, triangle 12
2.7255279733234996 #36, triangle 12
3.730879586077169 #37, triangle 13
1.7406615302869282 #38, triangle 13
10.568105849582327 #39, triangle 13
1.6973149759983646 #40, triangle 14
-0.3469032474054266 #41, triangle 14
1.2950502095358 #42, triangle 14
2.255820476858304 #43, triangle 15
1.7001949046359472 #44, triangle 15
1.1856534433343175 #45, triangle 15
1.0312698544239067 #46, triangle 16
3.0919622718883937 #47, triangle 16
1.6729665686470336 #48, triangle 16
2.9360089811956045 #49, triangle 17
1.8469092839448051 #50, triangle 17
1.1388916988690299 #51, triangle 17
2.0493977475322396 #52, triangle 18
1.455281979872149 #53, triangle 18
2.517942131902909 #54, triangle 18
1.8425199026978865 #55, triangle 19
2.0704957678355775 #56, triangle 19
2.2069079856313945 #57, triangle 19
1.7085196410887824 #58, triangle 20
2.8418112723776083 #59, triangle 20
2.251087611271009 #60, triangle 20
5.255815109343874 #61, triangle 21
4.482518796992534 #62, triangle 21
4.348325062034665 #63, triangle 21
1.2991482044309444 #64, triangle 22
1.108020129833662 #65, triangle 22
1.3939122414020175 #66, triangle 22
1.6802456802455894 #67, triangle 23
1.087884831747993 #68, triangle 23
1.6338774644902 #69, triangle 23
3.4017421602783537 #70, triangle 24
1.9117793240557386 #71, triangle 24
1.1590695488721 #72, triangle 24
2.102220972729847 #73, triangle 25
1.289640993199403 #74, triangle 25
1.095523200435434 #75, triangle 25
1.4115898959881061 #76, triangle 26
1.1049783065706573 #77, triangle 26
1.3087508479503893 #78, triangle 26
1.9963754436305183 #79, triangle 27
1.204222472139864 #80, triangle 27
1.5780418091128392 #81, triangle 27
1.8583493052228184 #82, triangle 28
2.0366921473245685 #83, triangle 28
1.7265259783625282 #84, triangle 28
1.5134933651409628 #85, triangle 29
2.056945510360699 #86, triangle 29
1.1699244780097766 #87, triangle 29
1.039901477832517 #88, triangle 30
1.405731880625274 #89, triangle 30
1.4891365688487048 #90, triangle 30
6.096796182685863 #91, triangle 31
4.2861947200269 #92, triangle 31
4.905445060319486 #93, triangle 31
2.2267280543952666 #94, triangle 32
3.5414160446409 #95, triangle 32
5.608629147106958 #96, triangle 32
5.713338582024596 #97, triangle 33
4.474302989586795 #98, triangle 33
3.382336686194296 #99, triangle 33
3.734933555631826 #100, triangle 34
1.8586415779000232 #101, triangle 34
1.6752140773501298 #102, triangle 34
1.586862287429118 #103, triangle 35
4.263178913738017 #104, triangle 35
1.9922700993388214 #105, triangle 35
1.9825584883023393 #106, triangle 36
1.587025522848773 #107, triangle 36
4.64260023584909 #108, triangle 36
1.5337888998258893 #109, triangle 37
4.424048296952461 #110, triangle 37
1.922315298180298 #111, triangle 37
1.2917347906261538 #112, triangle 38
3.2770526705544647 #113, triangle 38
2.0778638996541257 #114, triangle 38
2.936051461545751 #115, triangle 39
1.0773601314136767 #116, triangle 39
6.12237382870292 #117, triangle 39
2.2247734613021 #118, triangle 40
1.404291974709791 #119, triangle 40
5.252868788618314 #120, triangle 40
3.711869151403667 #121, triangle 41
1.2719900696593767 #122, triangle 41
2.617031513110427 #123, triangle 41
2.054375504135866 #124, triangle 42
4.601928519023185 #125, triangle 42
1.6242702583351711 #126, triangle 42
5.7024123013260475 #127, triangle 43
2.1863335242561965 #128, triangle 43
1.5337107641499477 #129, triangle 43
1.7164265639433272 #130, triangle 44
1.8985509627390784 #131, triangle 44
4.638695002564503 #132, triangle 44
3.432356483339996 #133, triangle 45
3.5515904572564674 #134, triangle 45
1.0365692414753005 #135, triangle 45
15.426404792598765 #136, triangle 46
3.554104067733611 #137, triangle 46
1.4847965406746317 #138, triangle 46
2.0628911459935955 #139, triangle 47
2.788368213527407 #140, triangle 47
4.145223939754256 #141, triangle 47
2.5110445828951518 #142, triangle 48
6.801831918165269 #143, triangle 48
4.132866475537141 #144, triangle 48
7.370678157381137 #145, triangle 49
5.9266757658479445 #146, triangle 49
4.965437970669812 #147, triangle 49
1.7219928768010273 #148, triangle 50
1.191486211364063 #149, triangle 50
3.187851429476477 #150, triangle 50
1.232702717187426 #151, triangle 51
1.5456156450745224 #152, triangle 51
1.3583173710789036 #153, triangle 51
1.029277897105473 #154, triangle 52
2.2394767967717164 #155, triangle 52
1.5742405742405376 #156, triangle 52
2.7324535092981477 #157, triangle 53
4.246771879483517 #158, triangle 53
1.2835627109841625 #159, triangle 53
2.84000000000001 #160, triangle 54
4.404954227248238 #161, triangle 54
1.2580704667035585 #162, triangle 54
1.1842184762249988 #163, triangle 55
-0.022550896119715468 #164, triangle 55
3.5478209132827616 #165, triangle 55
1.854847569349076 #166, triangle 56
8.57350377687409 #167, triangle 56
3.9172612075391653 #168, triangle 56
4.623851388268237 #169, triangle 57
4.945361357972521 #170, triangle 57
5.687515558874642 #171, triangle 57
1.7735064070560858 #172, triangle 58
-0.010258910271009326 #173, triangle 58
5.273293404399523 #174, triangle 58
7.619810136340624 #175, triangle 59
2.8794117338756107 #176, triangle 59
55.26542233470239 #177, triangle 59
3.6248121656550194 #178, triangle 60
2.6234184094959923 #179, triangle 60
