SKEWS FOR JACOBIAN
-0.14011627906977547 #1, triangle 1
-2.362209302325543 #2, triangle 1
-1.0924418604650972 #3, triangle 1
0.1762591815320059 #4, triangle 2
0.5109124087591197 #5, triangle 2
-0.17684842883549068 #6, triangle 2
-0.08485076532326365 #7, triangle 3
0.019193298582776387 #8, triangle 3
-0.22641804437676769 #9, triangle 3
-0.0954266765274252 #10, triangle 4
0.32800053551108366 #11, triangle 4
-0.2816694064823286 #12, triangle 4
-0.9105377681069483 #13, triangle 5
-0.3241468580842566 #14, triangle 5
-0.042479593868201077 #15, triangle 5
-0.46888650196920667 #16, triangle 6
-0.3212485325599089 #17, triangle 6
-0.21724509012644327 #18, triangle 6
-0.09202525724976693 #19, triangle 7
0.15892100458194394 #20, triangle 7
-0.2354388843314207 #21, triangle 7
-0.24504458065191467 #22, triangle 8
-0.4974224283658572 #23, triangle 8
-0.3482474323000321 #24, triangle 8
-0.18558282208589294 #25, triangle 9
0.18668312224335323 #26, triangle 9
0.3416915708028039 #27, triangle 9
-0.3418338315030735 #28, triangle 10
-0.24045798508702146 #29, triangle 10
-0.48821691831310265 #30, triangle 10
-0.2532702447511656 #31, triangle 11
-0.12803589767070697 #32, triangle 11
-0.4256822835900744 #33, triangle 11
1.5905693747147418 #34, triangle 12
2.0764111479328236 #35, triangle 12
1.1929603556872959 #36, triangle 12
-0.38402138214918036 #37, triangle 13
-0.2851103123545253 #38, triangle 13
-0.5263643432306621 #39, triangle 13
1.3400982098458045 #40, triangle 14
1.5011047874121286 #41, triangle 14
1.0232070846840657 #42, triangle 14
-0.8711017159910757 #43, triangle 15
-0.3993449334698026 #44, triangle 15
-0.14221489246340355 #45, triangle 15
0.17389022402696738 #46, triangle 16
-0.47634205378163275 #47, triangle 16
-0.3041860782607186 #48, triangle 16
-0.9340024854220452 #49, triangle 17
-0.5047824351297389 #50, triangle 17
-0.2654906558658482 #51, triangle 17
-0.38958200721409725 #52, triangle 18
-0.1618389004871308 #53, triangle 18
-0.9132613261326668 #54, triangle 18
-0.3879078838796845 #55, triangle 19
-0.0001635227471797214 #56, triangle 19
0.19399509190164116 #57, triangle 19
0.020357262044861706 #58, triangle 20
-0.46276664303667253 #59, triangle 20
-0.17069291034236778 #60, triangle 20
-0.09267402384937636 #61, triangle 21
0.04193399589046532 #62, triangle 21
0.16377773022327716 #63, triangle 21
-0.2386837609468546 #64, triangle 22
0.08754453205464206 #65, triangle 22
-0.8475194736444122 #66, triangle 22
-0.27720427720426416 #67, triangle 23
0.5581211005421014 #68, triangle 23
0.9096405864797938 #69, triangle 23
-0.9975609756096331 #70, triangle 24
0.7150596421471487 #71, triangle 24
1.2694078947367362 #72, triangle 24
0.9065208088156567 #73, triangle 25
-0.09021034319152017 #74, triangle 25
0.571034654080239 #75, triangle 25
0.8657665903890401 #76, triangle 26
-0.06966483160622146 #77, triangle 26
0.2546464272491691 #78, triangle 26
0.6309478780543379 #79, triangle 27
-0.049327163900328964 #80, triangle 27
0.22442021522180094 #81, triangle 27
0.01882231604730361 #82, triangle 28
0.37348164323733934 #83, triangle 28
-0.22241132557148388 #84, triangle 28
1.225593537582446 #85, triangle 29
0.29270913277051763 #86, triangle 29
0.7434473567303325 #87, triangle 29
0.2079802955665078 #88, triangle 30
0.7113732097725469 #89, triangle 30
-0.2978273137697551 #90, triangle 30
0.1361434108527107 #91, triangle 31
-0.09733228717144016 #92, triangle 31
0.051379195746095244 #93, triangle 31
0.024085992058057608 #94, triangle 32
0.14158549562085723 #95, triangle 32
0.2760829085711059 #96, triangle 32
-0.22494197853205805 #97, triangle 33
-0.08227545727545829 #98, triangle 33
0.014150326797385355 #99, triangle 33
-0.3429985623600946 #100, triangle 34
-0.2395081360655639 #101, triangle 34
0.37861108497223395 #102, triangle 34
0.2741389987138513 #103, triangle 35
-0.3419471395115429 #104, triangle 35
-0.2530783043673407 #105, triangle 35
-0.29561941647692175 #106, triangle 36
0.16261576590286161 #107, triangle 36
-0.37592791328257313 #108, triangle 36
0.16326569243583108 #109, triangle 37
-0.3903630827170693 #110, triangle 37
-0.30240619759029314 #111, triangle 37
-0.19618665618642253 #112, triangle 38
-0.7340432743912767 #113, triangle 38
-0.40076209576334854 #114, triangle 38
-0.16324387021941575 #115, triangle 39
0.21002995458499005 #116, triangle 39
-0.22547956093055188 #117, triangle 39
-0.2670620180552939 #118, triangle 40
0.13446291773993452 #119, triangle 40
-0.3382493945534513 #120, triangle 40
-0.6782447559228181 #121, triangle 41
-0.586900275425497 #122, triangle 41
-0.06393293980495982 #123, triangle 41
-0.01815680010122119 #124, triangle 42
-0.5209784316851523 #125, triangle 42
-0.4468919242229811 #126, triangle 42
-0.36492877316676 #127, triangle 43
-0.3039672183008105 #128, triangle 43
0.059342149881315684 #129, triangle 43
-0.404873273142607 #130, triangle 44
0.028307156469736104 #131, triangle 44
-0.4809266728521782 #132, triangle 44
-0.31714171015656056 #133, triangle 45
