TAPERS FOR JACOBIAN
-0.5000000000000161 0.2605683213471323 #1, triangle 1
0.19999999999998969 -0.628756805130883 #2, triangle 1
-0.19999999999998969 -0.12862384372900718 #3, triangle 1
-0.14585519412382172 -0.32757585553964746 #4, triangle 2
-0.5941605839416016 0.012680545195632508 #5, triangle 2
0.2476894639556405 -0.3391409671107796 #6, triangle 2
-0.2046282235630841 -0.16135010670560446 #7, triangle 3
-0.4928306160174548 0.23524441144086275 #8, triangle 3
0.1953175984337578 -0.5651087984862826 #9, triangle 3
0.3148841758713604 -0.2969924812030144 #10, triangle 4
-0.0388245531829304 -0.37176938369780543 #11, triangle 4
0.35230757906619947 0.07196029776675655 #12, triangle 4
0.07168169101647338 -0.6359898798228814 #13, triangle 5
-0.29715227112260784 -0.12517672648178566 #14, triangle 5
-0.3715906828588369 0.26303252404947924 #15, triangle 5
0.18522019334049564 -1.1995359628770002 #16, triangle 6
-0.21425315931220093 0.04339051463168386 #17, triangle 6
-0.47830912025827077 0.35131744040150853 #18, triangle 6
0.26058231992516545 -0.3167628096369219 #19, triangle 7
-0.1286044027973931 -0.35032622879512265 #20, triangle 7
0.41499589827728517 0.03510243201150967 #21, triangle 7
-0.4722971721288359 0.36128994498420014 #22, triangle 8
0.18077927883876205 -1.3561575742512633 #23, triangle 8
-0.21833947626252184 0.07026921002304548 #24, triangle 8
-0.016871165644152884 0.3167317155947702 #25, triangle 9
0.3256180957390845 0.35035892973679067 #26, triangle 9
0.3411389036721709 0.04092018124781829 #27, triangle 9
-0.218106780558949 0.06980614842373128 #28, triangle 10
-0.4726371306348761 0.3611249159528748 #29, triangle 10
0.1810347189871989 -1.353188854489183 #30, triangle 10
-0.20730115957097084 -0.048403985813208726 #31, triangle 11
-0.4887460017399359 0.30993263931414494 #32, triangle 11
0.19256309536031085 -0.8309344030202962 #33, triangle 11
0.17994066636240383 0.06507244083810018 #34, triangle 12
-0.2191014288042473 -1.3234286356231972 #35, triangle 12
0.532567617636173 0.3594247029716421 #36, triangle 12
-0.21734525993304865 0.10818438381937909 #37, triangle 13
-0.4737516884544074 0.3740701381509047 #38, triangle 13
0.18186850116632566 -1.6406685236768799 #39, triangle 13
-0.2855544505221178 -0.8186421902199752 #40, triangle 14
-0.3848008034817527 1.3317892298783949 #41, triangle 14
0.09116786589704375 -0.05247733308911003 #42, triangle 14
0.11405123103706338 -0.7412622720897687 #43, triangle 15
-0.2707471852610052 -0.08025894473061652 #44, triangle 15
-0.402403759262599 0.2921543942356613 #45, triangle 15
0.047484876108407584 -0.2921543942356613 #46, triangle 16
0.31433402964290197 -0.11820791470166443 #47, triangle 16
0.3528899810576874 -0.37722328489450807 #48, triangle 16
0.1210782907943913 -0.9355599214145424 #49, triangle 17
-0.26591616766467496 -0.01692815854665472 #50, triangle 17
-0.4083351097846901 0.3255912760232289 #51, triangle 17
0.317122851686833 0.050397877984090525 #52, triangle 18
0.3499478079332035 -0.30888030888030954 #53, triangle 18
-0.03438343834382532 0.8248847926267319 #54, triangle 18
-0.08622008851548069 0.42868199911543137 #55, triangle 19
0.28858260818781056 0.24991535671100387 #56, triangle 19
0.38130415185056404 -0.14296767062724872 #57, triangle 19
-0.45434106757064274 0.2413048044893944 #58, triangle 20
0.1664948121415286 -0.5787738656654922 #59, triangle 20
-0.23091560497717428 -0.15393882604913267 #60, triangle 20
0.23918409032880375 -0.37176938369779927 #61, triangle 21
-0.1565605736570677 -0.2969924812030144 #62, triangle 21
-0.5738925743633732 0.07196029776676614 #63, triangle 21
0.2743755098271545 0.17247860513477142 #64, triangle 22
0.39801104226114525 -0.22574972405664942 #65, triangle 22
-0.10863646676244369 0.5453419422848774 #66, triangle 22
0.02120102120102585 -0.29124460495023735 #67, triangle 23
-0.3235655108929035 -0.37825831472558313 #68, triangle 23
-0.34324639937718615 -0.12156031375874785 #69, triangle 23
-0.1010452961672019 -0.32331250640172443 #70, triangle 24
-0.37176938369781254 -0.3435070843624036 #71, triangle 24
-0.29699248120299115 -0.02379890533144594 #72, triangle 24
0.38445490531721493 0.2264267641270743 #73, triangle 25
-0.09068480151825636 0.26748749141567724 #74, triangle 25
0.2858526891069531 0.4063954279493811 #75, triangle 25
-0.1055377574370676 -0.5555268428192972 #76, triangle 26
0.3955634715026069 0.2307554680860699 #77, triangle 26
0.27641614216958477 -0.16668281810254232 #78, triangle 26
0.17399198123913764 0.5649022124896157 #79, triangle 27
-0.4635140298000637 -0.2351497801860744 #80, triangle 27
-0.2244202152218128 0.16146387939247178 #81, triangle 27
0.22216134334610224 -0.2412553905126948 #82, triangle 28
-0.17653882898866552 -0.44016678248785285 #83, triangle 28
0.4667543418558691 0.15400026712968562 #84, triangle 28
0.24519751748594715 0.7137319218726662 #85, triangle 29
-0.5880276285495183 -0.2855757033057201 #86, triangle 29
-0.14904486894712934 0.09113347256502344 #87, triangle 29
-0.13221674876846995 0.2000000000000042 #88, triangle 30
0.25796124684078897 0.5000000000000066 #89, triangle 30
-0.6213318284423991 -0.2000000000000042 #90, triangle 30
0.41428145497911945 -0.0424903431038385 #91, triangle 31
-0.1278148293448491 0.35429628384059103 #92, triangle 31
0.2611498836822936 0.31300945549396886 #93, triangle 31
-0.5588662193618874 -0.2634082385584052 #94, triangle 32
-0.1648113284767204 0.12464671352996785 #95, triangle 32
0.23234337088796336 0.6371116620074914 #96, triangle 32
-0.17493472584856584 0.5712924211660388 #97, triangle 33
0.2235872235872265 0.15796866888569908 #98, triangle 33
0.464705882352941 -0.2380347076378913 #99, triangle 33
0.22258473213289273 -0.07026921002304927 #100, triangle 34
0.46614499279680993 -0.36128994498419525 #101, triangle 34
0.5953232332737318 -0.3065018958011523 #102, triangle 34
0.5884342399847333 -0.2931888451955703 #103, triangle 35
0.22312479089996642 -0.11444545869466154 #104, triangle 35
0.4653690758673741 -0.3760500846456036 #105, triangle 35
0.4608198370613538 -0.39652069586082705 #106, triangle 36
0.5495891125700906 -0.2756164383561634 #107, triangle 36
0.22631241387630707 -0.18632075471698384 #108, triangle 36
0.47902627394563446 -0.27661149987041317 #109, triangle 37
0.23280079612425397 -0.18174628282188854 #110, triangle 37
0.45171816121314146 -0.39533001497308806 #111, triangle 37
-0.4351535047161042 0.3133552823131528 #112, triangle 38
0.1492910005084463 -0.8513746181616215 #113, triangle 38
-0.2450037603409364 -0.0418177272159004 #114, triangle 38
0.4666237071881913 -0.36982310093652276 #115, triangle 39
0.5996134892260276 -0.2987371744277837 #116, triangle 39
0.2222520567954814 -0.09511754068716181 #117, triangle 39
0.45944611623095216 -0.3985381225728 #118, triangle 40
0.5383534606764085 -0.27393784913705904 #119, triangle 40
0.2272821628033427 -0.19419492185471868 #120, triangle 40
0.2260313082450777 -0.37938894665280537 #121, triangle 41
0.4612189343793959 -0.4366328305553963 #122, triangle 41
0.5528950241483297 -0.24389260890777606 #123, triangle 41
0.5634776282284477 -0.24779047208450078 #124, triangle 42
0.2251440544787862 -0.34937637564196533 #125, triangle 42
0.46248124062030876 -0.4314683153013934 #126, triangle 42
0.22275960170696926 -0.27024358130348586 #127, triangle 43
0.4658935879945449 -0.4161434299114914 #128, triangle 43
0.5930824008138171 -0.25967296951752766 #129, triangle 43
0.4606078996032461 -0.42373381026316204 #130, triangle 44
0.5478412302030746 -0.2537274686096539 #131, triangle 44
0.22646180767548127 -0.3077180384898468 #132, triangle 44
0.5959454034524236 -0.22690058479532127 #133, triangle 45
0.22253631503820223 -0.5427435387673957 #134, triangle 45
0.4662146285791005 -0.45998608211551895 #135, triangle 45
0.18647383840965726 -2.6581481762341497 #136, triangle 46
-0.21308372997570274 0.1847633211092887 #137, triangle 46
-0.48004617892593293 0.39611687282500235 #138, triangle 46
0.058787319175214195 -0.8859103794698406 #139, triangle 47
-0.30436760691543746 -0.031191363228454397 #140, triangle 47
-0.3636147443518821 0.31871031897804697 #141, triangle 47
-0.25568411683794506 -0.6111683959528255 #142, triangle 48
0.6150297519556044 0.2542586130633507 #143, triangle 48
0.13531042910185634 -0.1372263603798246 #144, triangle 48
-0.05878731917507349 0.3919712702875766 #145, triangle 49
0.3043676069153518 0.2794360358746692 #146, triangle 49
0.36361474435204055 -0.10087964367247201 #147, triangle 49
0.2973887700660303 -0.3955803788246691 #148, triangle 50
-0.07126879582451742 -0.2764019988895084 #149, triangle 50
0.3713263607681679 -0.18270373010216592 #150, triangle 50
0.38480090036980147 -0.12521194730663723 #151, triangle 51
-0.09116800101263746 0.4119525827651878 #152, triangle 51
0.2855543670240543 0.2630075270589517 #153, triangle 51
-0.371326360768139 0.32356551089290647 #154, triangle 52
0.07126879582453959 -0.9202671676059512 #155, triangle 52
-0.29738877006605063 -0.02120102120101457 #156, triangle 52
0.586082783443306 -0.23029637760702482 #157, triangle 53
0.22331081081081045 -0.5050215208034434 #158, triangle 53
0.465102164677322 -0.45520643988574455 #159, triangle 53
0.5964912280701797 -0.22479614529280958 #160, triangle 54
0.22249388753056382 -0.5676898222940249 #161, triangle 54
0.4662756598240489 -0.46297731045932566 #162, triangle 54
-0.4779591836734711 0.43752039151712835 #163, triangle 55
0.18496606925352418 8.979166666666325 #164, triangle 55
-0.21448935099781982 0.3847389558232933 #165, triangle 55
-0.3420763526503579 -0.5745169171540678 #166, triangle 56
-0.32470349034225454 -5.678675188843805 #167, triangle 56
-0.020338622084980697 -0.15622366596895793 #168, triangle 56
-0.37088362390106966 -0.14809006144459247 #169, triangle 57
-0.2977853011708285 0.24594715373717588 #170, triangle 57
0.07057505601194543 0.4339019773053024 #171, triangle 57
-0.4853233470105037 0.4348023419416333 #172, triangle 58
0.19020439535413056 12.958376690946313 #173, triangle 58
-0.20956145408570348 0.36853673278751337 #174, triangle 58
-0.19602135587243208 0.24050131054381982 #175, triangle 59
-0.5062633558190405 0.4096374175829944 #176, triangle 59
0.2039394598555196 -4.454286618158626 #177, triangle 59
0.03359980765764382 0.4287135608397168 #178, triangle 60
-0.34953693638849564 -0.14299920445505107 #179, triangle 60
-0.31751422022245207 0.24989120027852596 #180, triangle 60
0.3495631004651666 0.24839975704340417 #181, triangle 61
0.3174892840470135 -0.14493774334578147 #182, triangle 61
-0.03364980170650585 -0.5959397632763523 #183, triangle 61
-0.32378707925611183 -0.3708836239010565 #184, triangle 62
-0.3430182697055396 -0.09833506763787553 #185, triangle 62
0.020736728864496002 -0.2977853011708285 #186, triangle 62
-0.4293453376453747 0.3035576519807593 #187, triangle 63
0.14362896132049618 -0.7958463996213238 #188, triangle 63
-0.2494080771142784 -0.0602660481234107 #189, triangle 63
-0.31973688789892446 -0.17394757744241396 #190, triangle 64
-0.34721284683979675 0.2244593586875426 #191, triangle 64
0.029107887939598013 -0.5427974947807906 #192, triangle 64
-0.12320641832239095 0.3200625325690523 #193, triangle 65
0.26442501294368026 0.3468736707783879 #194, triangle 65
-0.6401732295291249 -0.028443782576338072 #195, triangle 65
-0.9999999999997687 0.0 #196, triangle 66
-0.5000000000000867 0.33333333333333764 #197, triangle 66
0.19999999999996299 -1.0 #198, triangle 66
-0.16131210262756365 -0.035164440184505374 #199, triangle 67
-0.5651778266474481 0.3167317155947702 #200, triangle 67
0.2352760106710621 -0.8727647122575176 #201, triangle 67
0.22443016076746594 -0.36740313236557776 #202, triangle 68
-0.17398070002917884 -0.30092000754448256 #203, triangle 68
-0.5427402921065828 0.06502606648355322 #204, triangle 68
0.2000000000000185 0.291649546827791 #205, triangle 69
0.5 -0.08110989183256725 #206, triangle 69
-0.2000000000000185 0.3777972568835763 #207, triangle 69
-0.47374977102032906 0.42110443866222036 #208, triangle 70
0.18186707158900842 -11.07532846715292 #209, triangle 70
-0.21734656821208512 0.29437657817512386 #210, triangle 70
0.20000000000000265 -0.6463194861605267 #211, triangle 71
-0.20000000000000265 -0.12034212760605102 #212, triangle 71
-0.4999999999999938 0.26642890858551577 #213, triangle 71
-0.21500544736114394 0.42313676286072904 #214, triangle 72
-0.4771955953000756 0.44361816933189707 #215, triangle 72
0.18440970423264594 5.282414307004659 #216, triangle 72
0.06774068322981203 -0.29051981822158696 #217, triangle 73
0.30733560534107707 -0.12426057761936599 #218, triangle 73
0.36038602406836995 -0.3790850352149254 #219, triangle 73
-0.5331156287370066 -0.13511220064114077 #220, triangle 74
-0.179616031142174 0.25583093335496115 #221, triangle 74
0.21939557201784654 0.42103088998026206 #222, triangle 74
0.1725047984644949 0.21061306716725553 #223, triangle 75
-0.22572679313053623 -3.288272602910029 #224, triangle 75
0.54529644268776 0.40261852851801483 #225, triangle 75
-0.21995614798315408 0.39560424733866845 #226, triangle 76
-0.46994317824418724 0.4392935743015429 #227, triangle 76
0.17899595230681992 7.470605228946849 #228, triangle 76
-0.3246894059182394 2.427294176083399 #229, triangle 77
-0.020373393909288155 -0.10201473329191345 #230, triangle 77
-0.3420908092273989 -0.6875611612482354 #231, triangle 77
-0.24999999999999808 0.060807999818460065 #232, triangle 78
-0.4285714285714323 0.35787218065768495 #233, triangle 78
0.14285714285714038 -1.2975038395351812 #234, triangle 78
-0.2563334682314876 -0.8728662006177763 #235, triangle 79
0.6168098818475101 0.31674726393483754 #236, triangle 79
0.13443240697126382 -0.035133435169379494 #237, triangle 79
-0.46621462857910223 0.46873697373905837 #238, triangle 80
0.17611816348320838 1.8895478131949774 #239, triangle 80
-0.22253631503819912 0.6189266433788545 #240, triangle 80
0.4560239955154038 0.1252444058222878 #241, triangle 81
0.22971261328840495 -0.2629844872557558 #242, triangle 81
-0.16790318616868943 -0.41198137821661435 #243, triangle 81
-0.3333333333333333 0.000029004843812970064 #244, triangle 82
-0.3333333333333333 0.33334622375187845 #245, triangle 82
0.0 0.33332044316402343 #246, triangle 82
-0.22850209118603343 0.6416840848014292 #247, triangle 83
-0.4577247328693328 0.4711427472104666 #248, triangle 83
0.16931116917773198 1.7746933505487266 #249, triangle 83
0.10525591002984086 0.4595204513399104 #250, triangle 84
-0.39534317702417954 -0.17078136930517435 #251, triangle 84
-0.2766004824642834 0.22722960151801994 #252, triangle 84
-0.6210131332082487 0.17078136930517435 #253, triangle 85
0.2578475336322826 -0.4595204513399104 #254, triangle 85
-0.1323722149410131 -0.22722960151801994 #255, triangle 85
-0.300115874855163 0.34326498832080576 #256, triangle 86
0.0664605873261192 0.32354746317510646 #257, triangle 86
-0.36829268292682843 0.023210675293137962 #258, triangle 86
0.17010331193403425 -0.0643712574850311 #259, triangle 87
-0.22781755607419452 -0.7841907151819207 #260, triangle 87
0.5494876703074162 0.30128563443264655 #261, triangle 87
0.3830806065443381 -0.062003326557010754 #262, triangle 88
-0.08875177978165626 0.3655515142785162 #263, triangle 88
0.2870404753063113 0.30260039160454166 #264, triangle 88
-0.37143711381300654 1.2515778019586357 #265, triangle 89
0.07144191840546821 -0.043668782109396065 #266, triangle 89
-0.29728965354703535 -0.8455577822311369 #267, triangle 89
0.1935625689858355 3.4308929607827543 #268, triangle 90
-0.2063354706264101 0.47681546052338214 #269, triangle 90
-0.4902170390124393 0.45141372327415263 #270, triangle 90
0.3844549053172081 -0.6851071624839973 #271, triangle 91
0.28585268910693185 -0.47549676426148935 #272, triangle 91
-0.09068480151827935 -0.21615715393471777 #273, triangle 91
-0.3235655108929035 0.11119698579846413 #274, triangle 92
-0.34324639937718615 0.37502716800695957 #275, triangle 92
0.02120102120102585 -1.667439837634119 #276, triangle 92
-0.2854746868205917 0.18706247230837983 #277, triangle 93
-0.3848933702150453 0.39671245215041206 #278, triangle 93
0.0912969058591274 -2.705169628432912 #279, triangle 93
0.349960859354616 -0.46908348225681096 #280, triangle 94
0.3171104274954993 -0.4503390963797854 #281, triangle 94
-0.034408279586014424 -0.2337970486901143 #282, triangle 94
-0.3635429565033923 -0.5728002837526294 #283, triangle 95
-0.30443329888853166 -5.2824143070044 #284, triangle 95
-0.07665567341120404 -0.15715111185669706 #285, triangle 95
0.18445136418896707 3.0961154080124893 #286, triangle 96
-0.21496685054031153 0.4942017740684024 #287, triangle 96
-0.47725265134484873 0.45377468416533767 #288, triangle 96
0.30445301277688197 -0.35001962237825096 #289, triangle 97
-0.05863092192775195 -0.3170544944059135 #290, triangle 97
0.3635214161529854 -0.04005023723134578 #291, triangle 97
-0.15398506298070763 0.33299829905673717 #292, triangle 98
0.24126761971407062 0.33366853606652874 #293, triangle 98
-0.5786873246310021 -0.0007528812184987899 #294, triangle 98
-0.17004719989794653 0.3130401695928681 #295, triangle 99
0.22786612864941397 0.35426360935134865 #296, triangle 99
-0.5495860787295641 -0.04243067131383602 #297, triangle 99
0.17991715271331737 -0.783117545539026 #298, triangle 100
-0.21912274915902605 -0.06475354433865468 #299, triangle 100
-0.4711549482317286 0.3010722849116197 #300, triangle 100
0.4014181679396387 0.022559276428543315 #301, triangle 101
0.27155749529979634 -0.3229152820909403 #302, triangle 101
-0.11285233272092694 -0.34391677279771676 #303, triangle 101
0.02695840255792314 0.14769975786924797 #304, triangle 102
0.34479965601031715 0.5906040268456375 #305, triangle 102
-1.1173220558643921 -0.2462526766595267 #306, triangle 102
