ASPECT RATIOS FOR SHAPE PARAMETERS
3.7758540974584456 #1, triangle 1
3.2387981900560767 #2, triangle 1
2.5117902996990824 #3, triangle 1
1.6074060276229172 #4, triangle 2
1.7597410908806765 #5, triangle 2
2.0724398946529248 #6, triangle 2
4.498699939099207 #7, triangle 3
3.0515499681560847 #8, triangle 3
4.587489304747876 #9, triangle 3
2.0896657197110486 #10, triangle 4
1.227811845057108 #11, triangle 4
2.1131060041094023 #12, triangle 4
1.4760109783521862 #13, triangle 5
1.5556744285935236 #14, triangle 5
1.2613752674638994 #15, triangle 5
4.980034960165625 #16, triangle 6
4.842772466968224 #17, triangle 6
3.3210020977762085 #18, triangle 6
2.9599693793826125 #19, triangle 7
2.1667361399569707 #20, triangle 7
2.4585945667477036 #21, triangle 7
3.2884990188359606 #22, triangle 8
4.986744234886306 #23, triangle 8
4.9235614698303865 #24, triangle 8
1.558150933133242 #25, triangle 9
2.5328465878293605 #26, triangle 9
2.6704087330893627 #27, triangle 9
4.994616551020534 #28, triangle 10
3.3220287945821307 #29, triangle 10
5.047966926720606 #30, triangle 10
3.929288746245968 #31, triangle 11
2.9072576695861283 #32, triangle 11
4.203755837880187 #33, triangle 11
4.324125241251283 #34, triangle 12
7.175491074959226 #35, triangle 12
6.321715247132696 #36, triangle 12
5.266707166420888 #37, triangle 13
3.5421701283305858 #38, triangle 13
5.364166295479944 #39, triangle 13
7.014559437112963 #40, triangle 14
7.0342372477497905 #41, triangle 14
3.2261547622755833 #42, triangle 14
1.9180164185330495 #43, triangle 15
1.8661831503480624 #44, triangle 15
1.431152503001329 #45, triangle 15
2.002500534848791 #46, triangle 16
2.750905559085672 #47, triangle 16
2.3119874871158217 #48, triangle 16
2.2771151221919075 #49, triangle 17
2.1876653866447544 #50, triangle 17
1.6510563495959936 #51, triangle 17
1.9437662800217186 #52, triangle 18
1.648632611268038 #53, triangle 18
1.5479707543494237 #54, triangle 18
1.4437554958470573 #55, triangle 19
2.0703876410519175 #56, triangle 19
1.8695702353477452 #57, triangle 19
1.6790055322802784 #58, triangle 20
2.3973233399880858 #59, triangle 20
2.386682364222789 #60, triangle 20
5.191554238124671 #61, triangle 21
4.195635858070451 #62, triangle 21
3.915762407533049 #63, triangle 21
1.332862852771519 #64, triangle 22
1.2207816025631133 #65, triangle 22
1.4359299130408318 #66, triangle 22
1.8929261031996374 #67, triangle 23
1.4199077321928113 #68, triangle 23
1.9209504912921453 #69, triangle 23
2.820110092336474 #70, triangle 24
2.4893955933271315 #71, triangle 24
1.8683792425540025 #72, triangle 24
1.891319905292097 #73, triangle 25
1.536063707616101 #74, triangle 25
1.595931241999005 #75, triangle 25
1.447461643790346 #76, triangle 26
1.2247118504709769 #77, triangle 26
1.3462101568444944 #78, triangle 26
2.0182217581991106 #79, triangle 27
1.6262814902751106 #80, triangle 27
1.719838648081349 #81, triangle 27
1.8662768491039667 #82, triangle 28
1.8968150621995392 #83, triangle 28
1.4082172977999858 #84, triangle 28
3.656585525741004 #85, triangle 29
3.647565368878232 #86, triangle 29
1.7853337129074454 #87, triangle 29
1.3837355374769644 #88, triangle 30
2.1867418571939354 #89, triangle 30
2.2902964091174915 #90, triangle 30
4.018144490317529 #91, triangle 31
3.594000351614553 #92, triangle 31
