SKEWS FOR SHAPE PARAMETERS
1.5707974098801467 #1, triangle 1
1.5708003519798186 #2, triangle 1
1.5707993985862247 #3, triangle 1
1.5708035120932249 #4, triangle 2
1.570809249994069 #5, triangle 2
1.570798623494334 #6, triangle 2
1.5708040863410704 #7, triangle 3
1.5708204916350639 #8, triangle 3
1.5707896374184573 #9, triangle 3
1.5707972662654575 #10, triangle 4
1.5707972936090702 #11, triangle 4
1.570795467891419 #12, triangle 4
1.570796010050112 #13, triangle 5
1.5707963952208428 #14, triangle 5
1.5707977873015129 #15, triangle 5
1.570789513427362 #16, triangle 6
1.5708047338932647 #17, triangle 6
1.5708216179953438 #18, triangle 6
1.5707969284741188 #19, triangle 7
1.5707987997749662 #20, triangle 7
1.570792486142466 #21, triangle 7
1.570823733229794 #22, triangle 8
1.5707884649145771 #23, triangle 8
1.5708049759642317 #24, triangle 8
1.5707947233333688 #25, triangle 9
1.5707946757509816 #26, triangle 9
1.5707974216363116 #27, triangle 9
1.5708052113017525 #28, triangle 10
1.5708246667525654 #29, triangle 10
1.5707881201028895 #30, triangle 10
1.5708117728768833 #31, triangle 11
1.5708378512609902 #32, triangle 11
1.5707873015060405 #33, triangle 11
1.5707914460039574 #34, triangle 12
1.570794254962565 #35, triangle 12
1.5707907852910494 #36, triangle 12
1.5708065306762804 #37, triangle 13
1.5708278899010182 #38, triangle 13
1.5707874217071118 #39, triangle 13
1.5707946520652802 #40, triangle 14
1.570797968630966 #41, triangle 14
1.5707941492627837 #42, triangle 14
1.5707958843025616 #43, triangle 15
1.5707969560760702 #44, triangle 15
1.5707988084459574 #45, triangle 15
1.5707986261338585 #46, triangle 16
1.5707956744474314 #47, triangle 16
1.5707998642746848 #48, triangle 16
1.5707953884154349 #49, triangle 17
1.570797754249447 #50, triangle 17
1.570801093477013 #51, triangle 17
1.5707960244770094 #52, triangle 18
1.5707982027014453 #53, triangle 18
1.5707953629352838 #54, triangle 18
1.570792897528874 #55, triangle 19
1.5707943638572315 #56, triangle 19
1.5708011698070563 #57, triangle 19
1.570800859357046 #58, triangle 20
1.5707951819082073 #59, triangle 20
1.5707975221441484 #60, triangle 20
1.570795829196763 #61, triangle 21
1.570802083136869 #62, triangle 21
1.5708070567942631 #63, triangle 21
1.570796958708336 #64, triangle 22
1.570799451171546 #65, triangle 22
1.5707965335077074 #66, triangle 22
1.5707957568536797 #67, triangle 23
1.5707939332452803 #68, triangle 23
1.5707958530771016 #69, triangle 23
1.5707967819440356 #70, triangle 24
1.570795023718586 #71, triangle 24
1.570795317844124 #72, triangle 24
1.570796585494374 #73, triangle 25
1.5707954228614573 #74, triangle 25
1.570794456917414 #75, triangle 25
1.5707962973883984 #76, triangle 26
1.5707957766804193 #77, triangle 26
1.5707962141879106 #78, triangle 26
1.570796312215315 #79, triangle 27
1.570795543440315 #80, triangle 27
1.5707959902146293 #81, triangle 27
1.5707961237588741 #82, triangle 28
1.5707964915302368 #83, triangle 28
1.5707954702072318 #84, triangle 28
1.5707950539458029 #85, triangle 29
1.570795030758303 #86, triangle 29
1.570794713464584 #87, triangle 29
1.570795220249506 #88, triangle 30
1.5707951426074591 #89, triangle 30
1.5707955089689747 #90, triangle 30
1.5708034678100686 #91, triangle 31
1.570791595546256 #92, triangle 31
1.5707955476707716 #93, triangle 31
1.570784787047148 #94, triangle 32
1.5707900127308896 #95, triangle 32
1.5707967469146484 #96, triangle 32
1.5707877161230128 #97, triangle 33
1.570800949875947 #98, triangle 33
1.5708185559795929 #99, triangle 33
1.570804444488065 #100, triangle 34
1.570824156722211 #101, triangle 34
1.570804944340237 #102, triangle 34
1.5708052594049662 #103, triangle 35
1.570803605554487 #104, triangle 35
1.570823032026143 #105, triangle 35
1.5708264362458786 #106, triangle 36
1.5708071273049038 #107, triangle 36
1.5708038923822525 #108, triangle 36
1.5708092424219473 #109, triangle 37
1.570804004313197 #110, triangle 37
1.570830321463358 #111, triangle 37
1.5708427136323628 #112, triangle 38
1.5707865984197835 #113, triangle 38
1.5708110273513485 #114, triangle 38
1.5708348792898887 #115, triangle 39
1.570811072705003 #116, triangle 39
1.5708052255175027 #117, triangle 39
1.570844465761476 #118, triangle 40
1.5708147235383993 #119, triangle 40
1.5708073617502163 #120, triangle 40
1.5708129950171543 #121, triangle 41
1.5708513466874903 #122, triangle 41
1.570813458433998 #123, triangle 41
1.5708191690220878 #124, triangle 42
1.570814118382415 #125, triangle 42
1.570862389146922 #126, triangle 42
1.5708139898065312 #127, triangle 43
1.57086756836249 #128, triangle 43
1.5708225346076947 #129, triangle 43
1.5708534409977593 #130, triangle 44
1.5708165084253372 #131, triangle 44
1.5708111878773312 #132, triangle 44
1.5708240779339002 #133, triangle 45
1.5708251486902132 #134, triangle 45
1.5708876610897111 #135, triangle 45
1.5707809786672902 #136, triangle 46
1.570818237005749 #137, triangle 46
1.5708574691869122 #138, triangle 46
1.5707979860112682 #139, triangle 47
1.5707983158848637 #140, triangle 47
1.5707977571115963 #141, triangle 47
1.5707866403279866 #142, triangle 48
1.570795453613164 #143, triangle 48
1.5707899104712126 #144, triangle 48
1.5708012892012004 #145, triangle 49
1.570795012317697 #146, triangle 49
1.570792389192185 #147, triangle 49
1.5707975397120129 #148, triangle 50
1.5707974789415302 #149, triangle 50
1.570795440719775 #150, triangle 50
1.5707957966123827 #151, triangle 51
1.5707979083714347 #152, triangle 51
1.5707956584879417 #153, triangle 51
1.5707984733178462 #154, triangle 52
1.570796002408263 #155, triangle 52
1.5707968916756083 #156, triangle 52
1.5708266844893457 #157, triangle 53
1.5708230217393442 #158, triangle 53
1.5708885367672496 #159, triangle 53
1.5708304339989032 #160, triangle 54
1.5708254534302133 #161, triangle 54
1.570898316267261 #162, triangle 54
1.5708928138166782 #163, triangle 55
1.5707707383970049 #164, triangle 55
1.5708302795991045 #165, triangle 55
1.5707803050102085 #166, triangle 56
1.5707962457889904 #167, triangle 56
1.5707869050852403 #168, triangle 56
1.570802119608197 #169, triangle 57
1.5707961655629348 #170, triangle 57
1.57078598270653 #171, triangle 57
1.5709085842712018 #172, triangle 58
1.5707627704670066 #173, triangle 58
1.5708324080445173 #174, triangle 58
1.5708482099477705 #175, triangle 59
1.5709406985008807 #176, triangle 59
1.570758447173464 #177, triangle 59
1.5707922292215928 #178, triangle 60
1.570798666230697 #179, triangle 60
1.570796583405966 #180, triangle 60
1.570796042393669 #181, triangle 61
1.5707924552812125 #182, triangle 61
1.5707897409949816 #183, triangle 61
1.5707952056306762 #184, triangle 62
1.5707969615304296 #185, triangle 62
1.5707953199309348 #186, triangle 62
1.5708638145941805 #187, triangle 63
1.570791424027046 #188, triangle 63
1.5708235516913236 #189, triangle 63
1.5707962961592752 #190, triangle 64
1.5707967209784348 #191, triangle 64
1.5707965280315286 #192, triangle 64
1.57078474533895 #193, triangle 65
1.5707938541158688 #194, triangle 65
1.570779656075842 #195, triangle 65
1.5707941905443341 #196, triangle 66
1.5707981053828184 #197, triangle 66
1.5707978029828185 #198, triangle 66
1.570798184265565 #199, triangle 67
1.5707977373747073 #200, triangle 67
1.5707977607420562 #201, triangle 67
1.5707911075983791 #202, triangle 68
1.5708136046736492 #203, triangle 68
1.5708350158878213 #204, triangle 68
