TAPERS FOR SHAPE PARAMETERS
0.000744351657904352 0.00021710024326341307 #1, triangle 1
0.0004224644967054896 0.0006893860670290748 #2, triangle 1
0.0006071028159229882 0.00039802493959437905 #3, triangle 1
0.0008391231990381431 0.0012096129291953302 #4, triangle 2
0.0012656336454180117 0.0009615315750023865 #5, triangle 2
0.0006709289531360941 0.0013734871350530324 #6, triangle 2
0.00046558592350941496 0.0015558415300901414 #7, triangle 3
0.0012813922392675623 0.0012512095649980747 #8, triangle 3
0.00043371072321069654 0.0015711200785820014 #9, triangle 3
0.0002489542017177881 0.0004386189669848226 #10, triangle 4
0.00033621331442270817 0.0003275432813056954 #11, triangle 4
0.00024162253570658699 0.00044107215404489607 #12, triangle 4
0.00031013964498645207 0.0004532064299437517 #13, triangle 5
0.00029922433378894153 0.00046527597249077424 #14, triangle 5
0.0003972293039293817 0.0004189608332480657 #15, triangle 5
0.00041753090007480516 0.0016066590790417819 #16, triangle 6
0.00046585541884510827 0.0015843625526851225 #17, triangle 6
0.0013120250039962203 0.0012679005065242355 #18, triangle 6
0.00024742918459408217 0.0007156779662592177 #19, triangle 7
0.00037891707100815047 0.0006123180349034592 #20, triangle 7
0.00045367192950198916 0.0006522551191453849 #21, triangle 7
0.0013525166845747172 0.001331565414226862 #22, triangle 8
0.0004456322414482486 0.0016655294643751132 #23, triangle 8
0.0004686962697215069 0.0016549445808384262 #24, triangle 8
0.0004107933233559947 0.00035919688822964613 #25, triangle 9
0.00028561670396560584 0.0005237488196296524 #26, triangle 9
0.00023821509783009215 0.00053778351342643 #27, triangle 9
0.00047159527224409516 0.0016831152893862582 #28, triangle 10
0.0013726647633802687 0.0013549144645591605 #29, triangle 10
0.0004519362188629611 0.001692080573978956 #30, triangle 10
0.000702065969740765 0.002025732807434882 #31, triangle 11
0.0017424765893993565 0.001605489515343001 #32, triangle 11
0.0005664901548964027 0.0020952889914219027 #33, triangle 11
0.0004720892662221455 0.0006860772223078561 #34, triangle 12
0.00019140871143550372 0.0008837912210569526 #35, triangle 12
0.0008295476433183173 0.00043764522688809286 #36, triangle 12
0.0004927105621206133 0.0017701268250244232 #37, triangle 13
0.0014516753611860157 0.0014193626678623852 #38, triangle 13
0.0004560423048000541 0.001786429633029899 #39, triangle 13
0.00020314039070970042 0.0005604266511851076 #40, triangle 14
0.000199493249067604 0.0005612121777964725 #41, triangle 14
0.00038006788915769977 0.00037696427059646974 #42, triangle 14
0.0002938631174415521 0.0005554862528497804 #43, triangle 15
0.00030225618976869565 0.000547929000574136 #44, triangle 15
0.00047983299967153893 0.00046572271544117127 #45, triangle 15
0.0005937847959467707 0.0003827525358363973 #46, triangle 16
0.0002596853372687175 0.0006959540928771275 #47, triangle 16
0.00044298648345361647 0.0006380217624142482 #48, triangle 16
0.000336720575368914 0.0007455327485832859 #49, triangle 17
0.0003556416334777373 0.0007307430258991352 #50, triangle 17
0.0006348266927249346 0.0006066885485158055 #51, triangle 17
0.00027342226644077244 0.0005268777618098099 #52, triangle 18
0.0003808007741597605 0.0004852323975176212 #53, triangle 18
0.0003296592248603766 0.0004701854896098975 #54, triangle 18
0.0005906819366480139 0.0007447313321278956 #55, triangle 19
0.0004521848327159472 0.0008918229285902071 #56, triangle 19
0.0005771012711562702 0.000847468750704357 #57, triangle 19
0.0005962054994821831 0.0005931749563687201 #58, triangle 20
0.0003136861352178806 0.0007124152722070051 #59, triangle 20
0.0003158332902168312 0.0007108324184396722 #60, triangle 20
0.00021493322631734187 0.0011062513736358809 #61, triangle 21
0.0004324991349542492 0.0009944982411931782 #62, triangle 21
0.0009607564118552357 0.0007398839929510975 #63, triangle 21
0.0005251211385747116 0.0006958137466836409 #64, triangle 22
0.0006659157093716368 0.0006193075625146573 #65, triangle 22
0.0005032782600639109 0.0007222156478150099 #66, triangle 22
0.0005386605253468423 0.00029214781611822913 #67, triangle 23
0.00045910341189859725 0.0004665287176361465 #68, triangle 23
0.00028770285604554085 0.00054263325556353 #69, triangle 23
0.000440085749614658 0.00016891025826531452 #70, triangle 24
0.00041347688212644223 0.00025765202686707717 #71, triangle 24
0.00026028376296124186 0.0003582092458658622 #72, triangle 24
0.0002796322860226451 0.0005256648808401297 #73, triangle 25
0.0004737302098668537 0.00033066020097881105 #74, triangle 25
0.000387455552166225 0.00048287370319574115 #75, triangle 25
0.0002080767474616132 0.00030105345078578746 #76, triangle 26
0.00027692173095259854 0.0002579570211514745 #77, triangle 26
0.00021702503415826498 0.0002903330717205748 #78, triangle 26
0.00016136976502233703 0.00032563099885843096 #79, triangle 27
0.00029230696180134076 0.0002456837673989701 #80, triangle 27
0.00018827179408021882 0.0003005973526933414 #81, triangle 27
0.0001776013993552325 0.0003232551628080479 #82, triangle 28
0.00017468928393058817 0.00032588917160617447 #83, triangle 28
0.00028079687669062194 0.00027588244405598184 #84, triangle 28
0.00020968231644124532 0.0005017754435034982 #85, triangle 29
0.0005011561652350638 0.00021213634784774 #86, triangle 29
0.00034824567589736294 0.0003506156025923011 #87, triangle 29
0.00036211664670418597 0.00032397497763365625 #88, triangle 30
0.0002641392639902718 0.00045521933672821495 #89, triangle 30
0.00046587326539961304 0.00023111496268427378 #90, triangle 30
0.0005679047849125136 0.0008462351324626046 #91, triangle 31
0.00043139555175068274 0.0008003267527283495 #92, triangle 31
0.00019622143502305364 0.0009415528106869928 #93, triangle 31
0.00100002030605466 0.0007609497974849653 #94, triangle 32
0.00045055015800513337 0.0010282371783193773 #95, triangle 32
0.0002124192506402179 0.001149084072760432 #96, triangle 32
0.0004991705021459785 0.001472137959562077 #97, triangle 33
0.00037730719773505653 0.0015314070719114376 #98, triangle 33
0.0011580684716670892 0.0012751276413505343 #99, triangle 33
0.00045910857979626326 0.001677549281448458 #100, triangle 34
0.0013474365193654227 0.0013606207775430507 #101, triangle 34
0.0016708850237484411 0.00047346550613895216 #102, triangle 34
0.0016226772921989503 0.00045349054891087956 #103, triangle 35
0.00040168907322100033 0.0016452702529660371 #104, triangle 35
0.0012955680450913866 0.001340383801955669 #105, triangle 35
0.001353116172708301 0.0014359628409156683 #106, triangle 36
0.0017107676356570903 0.0004854397352350895 #107, triangle 36
0.0003860078013175047 0.0017524674299371269 #108, triangle 36
0.0018131402554811109 0.0005575776338923109 #109, triangle 37
0.00041302098426331983 0.0018765185122111853 #110, triangle 37
0.0014251146668198156 0.0015508392691010427 #111, triangle 37
0.0019309556686727847 0.0018366910421960363 #112, triangle 38
0.000931821102205183 0.0022872856938216043 #113, triangle 38
0.0010007367262300328 0.0022382366863169874 #114, triangle 38
0.001505019996651456 0.0016379076409618345 #115, triangle 39
0.0019216453993666734 0.0005507706927672619 #116, triangle 39
0.000383049947475909 0.0019884054408387587 #117, triangle 39
0.0016850394698243725 0.00183444815350165 #118, triangle 40
0.0021497824388520504 0.0006283755474774757 #119, triangle 40
0.00044459540459251774 0.002224908041366032 #120, triangle 40
0.0005529640133740454 0.0023365466041617208 #121, triangle 41
0.0018724666803353843 0.0018812848460805977 #122, triangle 41
0.0023321153019237656 0.0005640763700588237 #123, triangle 41
0.0025344591687155803 0.0006587231369213605 #124, triangle 42
0.0005464715728238586 0.0025785573996400914 #125, triangle 42
0.0020105000924239866 0.0020983018367715257 #126, triangle 42
0.0005215991612381429 0.002689374594295342 #127, triangle 43
0.0020593737184124283 0.002202580997872925 #128, triangle 43
0.0026174933373127734 0.000707774178353072 #129, triangle 43
0.0018635983102591232 0.0019629156388469796 #130, triangle 44
0.0023544474441936215 0.000634295643042072 #131, triangle 44
0.0005097217712352928 0.0024043600462468743 #132, triangle 44
0.003001567725789302 0.0006533175433891258 #133, triangle 45
0.0006749109460930741 0.002993594359863556 #134, triangle 45
0.002412388942554033 0.00239648447030356 #135, triangle 45
0.0005557035230143567 0.0024982264066589852 #136, triangle 46
0.0006961152867194889 0.0024388901234110518 #137, triangle 46
0.0020475062822376423 0.001929653270417212 #138, triangle 46
0.0002233806682771484 0.0005423488326655643 #139, triangle 47
0.00038421532266559464 0.0003623140041575193 #140, triangle 47
0.000547972168549212 0.0001991988644756627 #141, triangle 47
0.0006465681696490546 0.000968880465453455 #142, triangle 48
0.0010838816794321766 0.00015684440341852117 #143, triangle 48
0.0009216155087941402 0.0004688867413976991 #144, triangle 48
0.0007523725486296364 0.00043693922555349413 #145, triangle 49
0.0008147250079936376 0.00016751689157407557 #146, triangle 49
0.0006552167469319901 0.00041078293644791357 #147, triangle 49
0.0002707390639222917 0.0004678535122905426 #148, triangle 50
0.00036966141617498935 0.00033660615834782805 #149, triangle 50
0.00024229832903212336 0.00047711802025471426 #150, triangle 50
0.0005230244419147176 0.00045642198147505014 #151, triangle 51
0.0005500872502212687 0.00046582141667249186 #152, triangle 51
0.0005718903399961222 0.0004197840262434737 #153, triangle 51
0.0004553706195508648 0.00043610119549576133 #154, triangle 52
0.00028262305137951107 0.00052301766631274 #155, triangle 52
0.0002937985616626496 0.0005126510865118238 #156, triangle 52
0.002999671567670231 0.0007105076921157327 #157, triangle 53
0.0006377396063877404 0.00302680444345012 #158, triangle 53
0.002390599718457442 0.002444706938241912 #159, triangle 53
0.0031487630110886783 0.0007411290373478622 #160, triangle 54
0.0006448753058974546 0.003183874262028358 #161, triangle 54
0.0025038493997058377 0.002573910783740535 #162, triangle 54
0.0025373597067982327 0.002416761611730486 #163, triangle 55
0.000625252887726821 0.0031157778467465445 #164, triangle 55
0.0007842115602740478 0.0030552676796289017 #165, triangle 55
0.000860668737541869 0.0011865680767578477 #166, triangle 56
0.00014790569868370826 0.0013561963533456915 #167, triangle 56
0.0011925908123507517 0.000521606669415017 #168, triangle 56
0.0009749961432103669 0.0004474790004432867 #169, triangle 57
0.0010963700837126505 0.00022224204626205275 #170, triangle 57
0.0009594971869009605 0.0007199854455301042 #171, triangle 57
0.002679744690918813 0.002645879826527234 #172, triangle 58
0.0007008104145115921 0.0033296784379440525 #173, triangle 58
0.0007475072368336983 0.0033127086772088885 #174, triangle 58
0.0009105259413111403 0.003721156999063225 #175, triangle 59
0.0030968427622285006 0.002930901371451366 #176, triangle 59
0.0006737676884529307 0.00380423015400875 #177, triangle 59
0.000645850338905874 0.000481342644063454 #178, triangle 60
0.0006356969621705101 0.0003602168546865351 #179, triangle 60
0.000721114122214335 0.00024539603231029614 #180, triangle 60
0.0008968827710295643 0.0002396825684431396 #181, triangle 61
0.0007866808687641677 0.00041081246698394835 #182, triangle 61
0.0005820310773678649 0.0007972523064410098 #183, triangle 61
0.0002416339267065365 0.0004190991067829571 #184, triangle 62
0.0001914977496718006 0.00043436551560896566 #185, triangle 62
0.00033968766450727676 0.00028397676519113487 #186, triangle 62
0.002539928417259114 0.002203814558802964 #187, triangle 63
0.0012747850268968598 0.0028965961768384605 #188, triangle 63
0.0014909698263222606 0.002719144316631574 #189, triangle 63
0.0002877831007273397 0.0003108070702851005 #190, triangle 64
0.0003147204009475677 0.0002947255406547923 #191, triangle 64
0.0002797310192709514 0.0003228268134397798 #192, triangle 64
0.0006854186554081442 0.0012181725860185544 #193, triangle 65
0.0003055301772921088 0.0014530523697499813 #194, triangle 65
0.0013156962208966225 0.0008527542212311172 #195, triangle 65
0.00038925012544144776 0.00036043815025046976 #196, triangle 66
0.0005519830027739696 0.00021599517364785138 #197, triangle 66
0.00018208216562629558 0.0005592720584396006 #198, triangle 66
0.0003539181145300628 0.0003515521802497868 #199, triangle 67
0.0005207236718931611 0.00018987329731170812 #200, triangle 67
0.00019260076389639044 0.0005201223234363956 #201, triangle 67
0.0005174214842896778 0.002065276210519505 #202, triangle 68
0.0007685866310290921 0.0019305522001274657 #203, triangle 68
0.00175762650475881 0.001492620676835642 #204, triangle 68
0.0008625010630526912 0.00020765875055970168 #205, triangle 69
0.0006752277859609654 0.0004646584435731479 #206, triangle 69
0.0008086400148467536 0.00043947450469593096 #207, triangle 69
0.0020481091562690678 0.0019450403765772695 #208, triangle 70
0.0005396181943574475 0.002507976809800052 #209, triangle 70
0.0006674774821940529 0.0024561589978194204 #210, triangle 70
0.0007955719878609084 0.0023534754041572674 #211, triangle 71
0.0010785080582076344 0.0021575692507363855 #212, triangle 71
0.0020565442951549075 0.0016779118534457416 #213, triangle 71
0.0006782826917583994 0.002550309839946951 #214, triangle 72
0.002144788126565455 0.0020050064989872436 #215, triangle 72
0.0004924865656657237 0.002620423808094419 #216, triangle 72
0.002870656958195431 0.0015422935080150772 #217, triangle 73
0.001259060383786971 0.0030924205831423706 #218, triangle 73
0.0022910662074138027 0.002713819130488235 #219, triangle 73
0.0015546571489221054 0.0013626635592449404 #220, triangle 74
0.0005596193307560767 0.0017661039065970286 #221, triangle 74
0.0003211443868899045 0.0018625761207994621 #222, triangle 74
0.00048283144964610613 0.0009870555753185093 #223, triangle 75
0.00009969233323788196 0.001160283638254911 #224, triangle 75
0.0010335985360392795 0.0006878654474580231 #225, triangle 75
0.000801647961723681 0.0026832858838042634 #226, triangle 76
0.0023263742861196575 0.002082881757439617 #227, triangle 76
0.0004899302151004652 0.0028055367042692826 #228, triangle 76
0.00016129961452730608 0.000863939966761261 #229, triangle 77
0.0006671590893799991 0.0004547440764009847 #230, triangle 77
0.0004182830833866341 0.0008105716272161678 #231, triangle 77
0.0013771145833332832 0.0032224359841560037 #232, triangle 78
0.0028437666666941753 0.002582586901655306 #233, triangle 78
0.001168321197008353 0.0033570637863665105 #234, triangle 78
0.00019232932464638376 0.0005436945937805588 #235, triangle 79
0.0005413278828364369 0.00020315132308059352 #236, triangle 79
0.00036249496599137927 0.00037182042156078885 #237, triangle 79
0.002806902016943798 0.002741005496280655 #238, triangle 80
0.0007016227304171665 0.003477240419874603 #239, triangle 80
0.0007933283567469012 0.003444228296920226 #240, triangle 80
0.001194631480516283 0.0014340203289804178 #241, triangle 81
0.0002659293217912376 0.0016941870870594519 #242, triangle 81
0.0005538001695749133 0.001573841218136251 #243, triangle 81
0.0003609196890146533 0.0003749281890153562 #244, triangle 82
0.000539920262104762 0.0002093337679655391 #245, triangle 82
0.0005434882117454283 0.00019333403292125947 #246, triangle 82
0.0008209043463490988 0.0035014163355289907 #247, triangle 83
0.0028634341467623625 0.002782928970440116 #248, triangle 83
0.0007095233604193145 0.003541753416906518 #249, triangle 83
0.0002575889537984405 0.0002932162151149657 #250, triangle 84
0.0002873829207563128 0.00026832209231754053 #251, triangle 84
0.00026518699692411134 0.00028170130476882105 #252, triangle 84
0.0004110062226016364 0.00023532061554562745 #253, triangle 85
0.0002218694492654029 0.00041547076764480924 #254, triangle 85
0.0003029973986870304 0.00031882127743371197 #255, triangle 85
0.0004077758870324155 0.0003895112282873197 #256, triangle 86
0.00045287023681059226 0.00029501728998301634 #257, triangle 86
0.0003041315797399415 0.0004427076808820025 #258, triangle 86
0.0011160834768803728 0.0008622110426418612 #259, triangle 87
0.0006645775085460916 0.0014433894090714679 #260, triangle 87
0.001507219593560326 0.00035744473215461607 #261, triangle 87
0.0006776584599053819 0.0005146185366670629 #262, triangle 88
0.0008688198274549551 0.0004064622930889658 #263, triangle 88
0.0009098041953232236 0.00020908999725749355 #264, triangle 88
0.00017586891455957692 0.0006120840914486708 #265, triangle 89
0.0004305269392508968 0.00038013940713726703 #266, triangle 89
0.00023761217973843464 0.0005994406820473055 #267, triangle 89
0.0005620822820135905 0.004318278354864021 #268, triangle 90
0.0012325837594967723 0.004079458815747602 #269, triangle 90
0.003602291962851647 0.0031253219726150782 #270, triangle 90
0.00023834243590579904 0.0005767489994964322 #271, triangle 91
0.00037030091959151497 0.0005333385564929725 #272, triangle 91
0.0004904690412505775 0.00033474592387411546 #273, triangle 91
0.00034496673441293513 0.0006199714278004467 #274, triangle 92
0.0005942932522975681 0.0004938168872813878 #275, triangle 92
0.0002792911402386384 0.0006728264382555687 #276, triangle 92
0.00035980871081284915 0.0007957343411656126 #277, triangle 93
0.0007382336253011792 0.0006195782399511717 #278, triangle 93
0.00026276496073038166 0.0008566726025882474 #279, triangle 93
0.0002798364882890765 0.0007575074939610403 #280, triangle 94
0.0005609640907887174 0.0006572626969648188 #281, triangle 94
0.0007074578714422052 0.0003497156534999619 #282, triangle 94
0.0012464716561662933 0.0016410007795173854 #283, triangle 95
0.00012301683109866853 0.0019015831897955325 #284, triangle 95
0.0017041196106033752 0.0006650790396746557 #285, triangle 95
0.0006501355712148889 0.003950671946804941 #286, triangle 96
0.0010486129241387356 0.003805209695284774 #287, triangle 96
0.0032542736395574224 0.0029639831496178397 #288, triangle 96
0.0002552878145791303 0.00042424902835982054 #289, triangle 97
0.00033854443877063254 0.0003123883109436377 #290, triangle 97
0.0002335180788340437 0.00043170816895490334 #291, triangle 97
0.00032374271914404007 0.00047572641469267814 #292, triangle 98
0.00026993702527231716 0.0005287291738494476 #293, triangle 98
0.00048372480476053083 0.0003857556461171369 #294, triangle 98
0.00020703109931862173 0.0002496893925495158 #295, triangle 99
0.0001872588764979205 0.00027447788286374296 #296, triangle 99
0.00026082947385505797 0.00021735388136371654 #297, triangle 99
0.002581714712106929 0.008163336938844693 #298, triangle 100
0.0026803719173747807 0.008110168434905446 #299, triangle 100
0.006683461346259774 0.006579078573146505 #300, triangle 100
0.004730429586256349 0.007082974180187098 #301, triangle 101
0.003507222239205532 0.007497622088262698 #302, triangle 101
0.004766806323176711 0.006232544624729035 #303, triangle 101
0.001007917416158186 0.0007218274097468513 #304, triangle 102
0.0006345951520877265 0.0012421804729446835 #305, triangle 102
0.0013147569520601564 0.0003056498230731336 #306, triangle 102
0.00015360925023513394 0.0022355418834581913 #307, triangle 103
0.0020345579586027993 0.0007338451180098564 #308, triangle 103
0.001508030734205504 0.0019097934381932208 #309, triangle 103
0.006551674072837681 0.006594920892912197 #310, triangle 104
0.0016998864129227262 0.00820283206074769 #311, triangle 104
0.0016359731528007295 0.008224463300651803 #312, triangle 104
0.0006939934273249071 0.00036510428316690463 #313, triangle 105
0.000542376076015764 0.000667627331036184 #314, triangle 105
0.0002765288784100124 0.0007591761360123758 #315, triangle 105
0.0008608998185063904 0.0001879338871567875 #316, triangle 106
0.000723951959878992 0.0004068714542908063 #317, triangle 106
0.0005093333224684953 0.0007789016144823572 #318, triangle 106
0.0035651884628001306 0.0008020685215759574 #319, triangle 107
0.0007224818628929711 0.0035934373368368294 #320, triangle 107
0.0028397208191905552 0.0028961304046143626 #321, triangle 107
0.0010111560396730156 0.0005628984261208438 #322, triangle 108
0.0005576522763394515 0.0008623983553356617 #323, triangle 108
0.00021536677875745662 0.0010884482577545843 #324, triangle 108
0.00649012319488153 0.006534922973904611 #325, triangle 109
0.0016888105771436705 0.008126104931045978 #326, triangle 109
0.0016227327164950046 0.008148514026752552 #327, triangle 109
0.00014427962405514646 0.0008698697837300882 #328, triangle 110
0.0008037704891573455 0.00045298345694026423 #329, triangle 110
0.0004314353717939248 0.0006936427926422637 #330, triangle 110
0.0006270909904878717 0.0012907848542800186 #331, triangle 111
0.00010088060025494103 0.0015180807723719617 #332, triangle 111
0.0013517537942653484 0.0008976237597467997 #333, triangle 111
0.002855880401338444 0.003041622655290336 #334, triangle 112
0.003633789976635094 0.0009151541753195721 #335, triangle 112
0.0006532429473012529 0.0037268034947260218 #336, triangle 112
0.006519134997328319 0.00656654607384635 #337, triangle 113
0.0016918355602523732 0.008164156599404615 #338, triangle 113
0.00162162117276911 0.008187869495247229 #339, triangle 113
0.0019398427941947163 0.004167959560062244 #340, triangle 114
0.0021927361371949913 0.0039534858954717676 #341, triangle 114
0.003648787782940944 0.0032444898543758046 #342, triangle 114
0.0007708436889086395 0.0019131918180971537 #343, triangle 115
0.0019077778936312823 0.0007928917927898894 #344, triangle 115
0.001312746035554035 0.0013335913907988764 #345, triangle 115
0.0007020732433128307 0.0008089381964293284 #346, triangle 116
0.0008942860417800704 0.0003781267817336549 #347, triangle 116
0.00028710111557485806 0.0009490357625977309 #348, triangle 116
0.00022200105598511438 0.0005749669896362129 #349, triangle 117
0.0004016353307549249 0.0003883942958062165 #350, triangle 117
0.00023626780365379853 0.0005715454797827611 #351, triangle 117
0.0008484047326517517 0.0009244413539801559 #352, triangle 118
0.001061192574066365 0.0004211413090283944 #353, triangle 118
0.0003561032746396954 0.0011001729163430233 #354, triangle 118
0.0011531240268362606 0.0004016638706896311 #355, triangle 119
0.0003070523955468471 0.0012006038093161488 #356, triangle 119
0.0009080236209851436 0.0010016556660604084 #357, triangle 119
0.00036821000510017067 0.0011282958289595562 #358, triangle 120
0.0008965306182850841 0.0009338834791597672 #359, triangle 120
0.00110919767205609 0.00040151937565674104 #360, triangle 120
0.0003196987006902241 0.0013036075091333252 #361, triangle 121
0.0009713900988103101 0.0010929582146462686 #362, triangle 121
